election_id,tier,block,prefecture,total_ballots,valid_votes,invalid_votes,invalid_rate_pct,source_page
h26-12-14,pr,北海道,北海道,2562059,2499864,62195,2.43,32
h26-12-14,pr,東北,青森県,528741,508174,20567,3.89,32
h26-12-14,pr,東北,岩手県,606598,583119,23479,3.87,32
h26-12-14,pr,東北,宮城県,936566,914340,22226,2.37,32
h26-12-14,pr,東北,秋田県,498174,482765,15409,3.09,32
h26-12-14,pr,東北,山形県,556945,536113,20832,3.74,32
h26-12-14,pr,東北,福島県,845083,817388,27695,3.28,32
h26-12-14,pr,東北,計,3972107,3841899,130208,3.28,32
h26-12-14,pr,北関東,茨城県,1332068,1287222,44846,3.37,32
h26-12-14,pr,北関東,栃木県,813013,785812,27201,3.35,32
h26-12-14,pr,北関東,群馬県,835994,810339,25655,3.07,32
h26-12-14,pr,北関東,埼玉県,3069471,3004496,64975,2.12,32
h26-12-14,pr,北関東,計,6050546,5887869,162677,2.69,32
h26-12-14,pr,南関東,千葉県,2598376,2546805,51571,1.98,32
h26-12-14,pr,南関東,神奈川県,3979529,3893057,86472,2.17,32
h26-12-14,pr,南関東,山梨県,410176,396507,13669,3.33,32
h26-12-14,pr,南関東,計,6988081,6836369,151712,2.17,32
h26-12-14,pr,東京都,東京都,5897078,5763396,133682,2.27,32
h26-12-14,pr,北陸信越,新潟県,1018688,995314,23374,2.29,32
h26-12-14,pr,北陸信越,富山県,422451,408792,13659,3.23,32
h26-12-14,pr,北陸信越,石川県,461925,446527,15398,3.33,32
h26-12-14,pr,北陸信越,福井県,322811,313093,9718,3.01,32
h26-12-14,pr,北陸信越,長野県,964745,943297,21448,2.22,32
h26-12-14,pr,北陸信越,計,3190620,3107023,83597,2.62,32
h26-12-14,pr,東海,岐阜県,882999,855455,27544,3.12,32
h26-12-14,pr,東海,静岡県,1699044,1654551,44493,2.62,32
h26-12-14,pr,東海,愛知県,3200336,3122731,77605,2.42,32
h26-12-14,pr,東海,三重県,838298,816709,21589,2.58,32
h26-12-14,pr,東海,計,6620677,6449446,171231,2.59,32
h26-12-14,pr,近畿,滋賀県,602230,591050,11180,1.86,32
h26-12-14,pr,近畿,京都府,1064269,1040182,24087,2.26,32
h26-12-14,pr,近畿,大阪府,3607267,3532741,74526,2.07,32
h26-12-14,pr,近畿,兵庫県,2306242,2254820,51422,2.23,32
h26-12-14,pr,近畿,奈良県,634866,617138,17728,2.79,32
h26-12-14,pr,近畿,和歌山県,422903,409740,13163,3.11,32
h26-12-14,pr,近畿,計,8637777,8445671,192106,2.22,32
h26-12-14,pr,中国,鳥取県,259292,251520,7772,3.00,32
h26-12-14,pr,中国,島根県,343155,333857,9298,2.71,32
h26-12-14,pr,中国,岡山県,792922,774713,18209,2.30,32
h26-12-14,pr,中国,広島県,1157311,1131190,26121,2.26,32
h26-12-14,pr,中国,山口県,625616,611244,14372,2.30,32
h26-12-14,pr,中国,計,3178296,3102524,75772,2.38,32
h26-12-14,pr,四国,徳島県,303993,294622,9371,3.08,32
h26-12-14,pr,四国,香川県,414517,399896,14621,3.53,32
h26-12-14,pr,四国,愛媛県,584268,569970,14298,2.45,32
h26-12-14,pr,四国,高知県,317013,305540,11473,3.62,32
h26-12-14,pr,四国,計,1619791,1570028,49763,3.07,32
h26-12-14,pr,九州,福岡県,2013236,1958623,54613,2.71,32
h26-12-14,pr,九州,佐賀県,393334,382859,10475,2.66,32
h26-12-14,pr,九州,長崎県,589183,570885,18298,3.11,32
h26-12-14,pr,九州,熊本県,738437,709280,29157,3.95,32
h26-12-14,pr,九州,大分県,546675,527828,18847,3.45,32
h26-12-14,pr,九州,宮崎県,459626,448263,11363,2.47,32
h26-12-14,pr,九州,鹿児島県,695125,674913,20212,2.91,32
h26-12-14,pr,九州,沖縄県,580082,557707,22375,3.86,32
h26-12-14,pr,九州,計,6015698,5830358,185340,3.08,32
h26-12-14,pr,,合計,54732730,53334447,1398283,2.55,32
