election_id,tier,block,prefecture,total_ballots,valid_votes,invalid_votes,invalid_rate_pct,source_page
h26-12-14,smd,,北海道,2562620,2487343,75277,2.94,31
h26-12-14,smd,,青森県,528884,515506,13378,2.53,31
h26-12-14,smd,,岩手県,606701,593951,12750,2.10,31
h26-12-14,smd,,宮城県,937685,912197,25488,2.72,31
h26-12-14,smd,,秋田県,498435,488096,10339,2.07,31
h26-12-14,smd,,山形県,557133,546885,10248,1.84,31
h26-12-14,smd,,福島県,845200,826350,18850,2.23,31
h26-12-14,smd,,茨城県,1332167,1286257,45910,3.45,31
h26-12-14,smd,,栃木県,812985,783502,29483,3.63,31
h26-12-14,smd,,群馬県,836120,799122,36998,4.42,31
h26-12-14,smd,,埼玉県,3069800,2965218,104582,3.41,31
h26-12-14,smd,,千葉県,2599002,2503667,95335,3.67,31
h26-12-14,smd,,東京都,5898427,5681717,216710,3.67,31
h26-12-14,smd,,神奈川県,3980117,3855817,124300,3.12,31
h26-12-14,smd,,新潟県,1018821,995204,23617,2.32,31
h26-12-14,smd,,富山県,422534,407644,14890,3.52,31
h26-12-14,smd,,石川県,461955,441329,20626,4.46,31
h26-12-14,smd,,福井県,322832,315277,7555,2.34,31
h26-12-14,smd,,山梨県,410217,400066,10151,2.47,31
h26-12-14,smd,,長野県,964838,943409,21429,2.22,31
h26-12-14,smd,,岐阜県,883060,855979,27081,3.07,31
h26-12-14,smd,,静岡県,1699297,1660198,39099,2.30,31
h26-12-14,smd,,愛知県,3200459,3105966,94493,2.95,31
h26-12-14,smd,,三重県,838427,814434,23993,2.86,31
h26-12-14,smd,,滋賀県,602293,590797,11496,1.91,31
h26-12-14,smd,,京都府,1064410,1038241,26169,2.46,31
h26-12-14,smd,,大阪府,3607254,3432636,174618,4.84,31
h26-12-14,smd,,兵庫県,2306484,2213230,93254,4.04,31
h26-12-14,smd,,奈良県,634944,612523,22421,3.53,31
h26-12-14,smd,,和歌山県,422944,409602,13342,3.15,31
h26-12-14,smd,,鳥取県,259341,252139,7202,2.78,31
h26-12-14,smd,,島根県,343198,334822,8376,2.44,31
h26-12-14,smd,,岡山県,793019,769309,23710,2.99,31
h26-12-14,smd,,広島県,1157381,1119584,37797,3.27,31
h26-12-14,smd,,山口県,625747,610678,15069,2.41,31
h26-12-14,smd,,徳島県,304084,293105,10979,3.61,31
h26-12-14,smd,,香川県,414589,402781,11808,2.85,31
h26-12-14,smd,,愛媛県,584328,573223,11105,1.90,31
h26-12-14,smd,,高知県,317077,306954,10123,3.19,31
h26-12-14,smd,,福岡県,2013297,1923817,89480,4.44,31
h26-12-14,smd,,佐賀県,393354,386076,7278,1.85,31
h26-12-14,smd,,長崎県,589214,566960,22254,3.78,31
h26-12-14,smd,,熊本県,738424,696009,42415,5.74,31
h26-12-14,smd,,大分県,546780,532861,13919,2.55,31
h26-12-14,smd,,宮崎県,459697,444904,14793,3.22,31
h26-12-14,smd,,鹿児島県,695175,675298,19877,2.86,31
h26-12-14,smd,,沖縄県,580602,569107,11495,1.98,31
h26-12-14,smd,,合計,54741352,52939790,1801562,3.29,31
