election_id,kind,prefecture,age_band,count,source_page
h26-12-14,candidacy,北海道,25歳～29歳,1,8
h26-12-14,candidacy,北海道,30歳～34歳,1,8
h26-12-14,candidacy,北海道,35歳～39歳,1,8
h26-12-14,candidacy,北海道,40歳～44歳,8,8
h26-12-14,candidacy,北海道,45歳～49歳,2,8
h26-12-14,candidacy,北海道,50歳～54歳,4,8
h26-12-14,candidacy,北海道,55歳～59歳,6,8
h26-12-14,candidacy,北海道,60歳～64歳,6,8
h26-12-14,candidacy,北海道,65歳～69歳,8,8
h26-12-14,candidacy,北海道,70歳以上,2,8
h26-12-14,candidacy,北海道,計,39,8
h26-12-14,candidacy,青森県,25歳～29歳,,8
h26-12-14,candidacy,青森県,30歳～34歳,,8
h26-12-14,candidacy,青森県,35歳～39歳,,8
h26-12-14,candidacy,青森県,40歳～44歳,2,8
h26-12-14,candidacy,青森県,45歳～49歳,3,8
h26-12-14,candidacy,青森県,50歳～54歳,1,8
h26-12-14,candidacy,青森県,55歳～59歳,3,8
h26-12-14,candidacy,青森県,60歳～64歳,,8
h26-12-14,candidacy,青森県,65歳～69歳,3,8
h26-12-14,candidacy,青森県,70歳以上,,8
h26-12-14,candidacy,青森県,計,12,8
h26-12-14,candidacy,岩手県,25歳～29歳,,8
h26-12-14,candidacy,岩手県,30歳～34歳,2,8
h26-12-14,candidacy,岩手県,35歳～39歳,,8
h26-12-14,candidacy,岩手県,40歳～44歳,,8
h26-12-14,candidacy,岩手県,45歳～49歳,2,8
h26-12-14,candidacy,岩手県,50歳～54歳,1,8
h26-12-14,candidacy,岩手県,55歳～59歳,3,8
h26-12-14,candidacy,岩手県,60歳～64歳,2,8
h26-12-14,candidacy,岩手県,65歳～69歳,2,8
h26-12-14,candidacy,岩手県,70歳以上,1,8
h26-12-14,candidacy,岩手県,計,13,8
h26-12-14,candidacy,宮城県,25歳～29歳,,8
h26-12-14,candidacy,宮城県,30歳～34歳,3,8
h26-12-14,candidacy,宮城県,35歳～39歳,3,8
h26-12-14,candidacy,宮城県,40歳～44歳,2,8
h26-12-14,candidacy,宮城県,45歳～49歳,3,8
h26-12-14,candidacy,宮城県,50歳～54歳,4,8
h26-12-14,candidacy,宮城県,55歳～59歳,4,8
h26-12-14,candidacy,宮城県,60歳～64歳,1,8
