election_id,tier,scope,block,prefecture,electors_male,electors_female,electors_total,voters_male,voters_female,voters_total,abstainers_male,abstainers_female,abstainers_total,source_page
h26-12-14,smd,all,,北海道,2117074,2430594,4547668,1225788,1336903,2562691,891286,1093691,1984977,9
h26-12-14,smd,all,,青森県,527245,602244,1129489,256932,271979,528911,270313,330265,600578,9
h26-12-14,smd,all,,岩手県,511675,567308,1078983,296185,310526,606711,215490,256782,472272,9
h26-12-14,smd,all,,宮城県,918465,986276,1904741,464714,472986,937700,453751,513290,967041,9
h26-12-14,smd,all,,秋田県,415290,478323,893613,240069,258376,498445,175221,219947,395168,9
h26-12-14,smd,all,,山形県,448045,493959,942004,275754,281404,557158,172291,212555,384846,9
h26-12-14,smd,all,,福島県,778938,830597,1609535,416530,428673,845203,362408,401924,764332,9
h26-12-14,smd,all,,茨城県,1198248,1213460,2411708,672235,659958,1332193,526013,553502,1079515,9
h26-12-14,smd,all,,栃木県,803307,819438,1622745,414496,398495,812991,388811,420943,809754,9
h26-12-14,smd,all,,群馬県,792514,824112,1616626,419011,417122,836133,373503,406990,780493,9
h26-12-14,smd,all,,埼玉県,2951576,2955278,5906854,1563365,1506507,3069872,1388211,1448771,2836982,9
h26-12-14,smd,all,,千葉県,2524460,2548168,5072628,1312354,1286707,2599061,1212106,1261461,2473567,9
h26-12-14,smd,all,,東京都,5325129,5525471,10850600,2923123,2975553,5898676,2402006,2549918,4951924,9
h26-12-14,smd,all,,神奈川県,3682826,3703942,7386768,2010428,1969818,3980246,1672398,1734124,3406522,9
h26-12-14,smd,all,,新潟県,927187,1005892,1933079,513931,504912,1018843,413256,500980,914236,9
h26-12-14,smd,all,,富山県,424854,465418,890272,211251,211295,422546,213603,254123,467726,9
h26-12-14,smd,all,,石川県,447704,491908,939612,228572,233387,461959,219132,258521,477653,9
h26-12-14,smd,all,,福井県,309533,336190,645723,160349,162494,322843,149184,173696,322880,9
h26-12-14,smd,all,,山梨県,336327,356883,693210,200341,209878,410219,135986,147005,282991,9
h26-12-14,smd,all,,長野県,839847,899393,1739240,480752,484112,964864,359095,415281,774376,9
h26-12-14,smd,all,,岐阜県,803494,865272,1668766,435903,447166,883069,367591,418106,785697,9
h26-12-14,smd,all,,静岡県,1495630,1560340,3055970,844594,854746,1699340,651036,705594,1356630,9
h26-12-14,smd,all,,愛知県,2944650,2961575,5906225,1631208,1569303,3200511,1313442,1392272,2705714,9
h26-12-14,smd,all,,三重県,720005,771842,1491847,409630,428804,838434,310375,343038,653413,9
h26-12-14,smd,all,,滋賀県,545466,574246,1119712,300975,301327,602302,244491,272919,517410,9
h26-12-14,smd,all,,京都府,987478,1100169,2087647,520902,543525,1064427,466576,556644,1023220,9
h26-12-14,smd,all,,大阪府,3404733,3714711,7119444,1738348,1869361,3607709,1666385,1845350,3511735,9
h26-12-14,smd,all,,兵庫県,2145028,2390117,4535145,1114519,1192031,2306550,1030509,1198086,2228595,9
h26-12-14,smd,all,,奈良県,535193,606861,1142054,306114,328857,634971,229079,278004,507083,9
h26-12-14,smd,all,,和歌山県,386300,442175,828475,200838,222109,422947,185462,220066,405528,9
h26-12-14,smd,all,,鳥取県,224625,252328,476953,123992,135354,259346,100633,116974,217607,9
h26-12-14,smd,all,,島根県,272616,306746,579362,165083,178117,343200,107533,128629,236162,9
h26-12-14,smd,all,,岡山県,744531,822580,1567111,382541,410492,793033,361990,412088,774078,9
h26-12-14,smd,all,,広島県,1105012,1209015,2314027,561344,596055,1157399,543668,612960,1156628,9
h26-12-14,smd,all,,山口県,549359,629653,1179012,292774,332981,625755,256585,296672,553257,9
