election_id,block,rank,party,votes,share_pct,is_total_row,source_page
h26-12-14,北海道,1,自由民主党,744748,29.79,false,33
h26-12-14,北海道,2,民主党,688922,27.56,false,33
h26-12-14,北海道,3,公明党,307534,12.30,false,33
h26-12-14,北海道,4,日本共産党,302251,12.09,false,33
h26-12-14,北海道,5,維新の党,247342,9.89,false,33
h26-12-14,北海道,6,支持政党なし,104854,4.19,false,33
h26-12-14,北海道,7,社会民主党,53604,2.14,false,33
h26-12-14,北海道,8,次世代の党,38342,1.53,false,33
h26-12-14,北海道,9,幸福実現党,12267,0.49,false,33
h26-12-14,北海道,,__TOTAL__,2499864,100.00,true,33
h26-12-14,東北,1,自由民主党,1265372,32.94,false,34
h26-12-14,東北,2,民主党,863539,22.48,false,34
h26-12-14,東北,3,維新の党,499437,13.00,false,34
h26-12-14,東北,4,公明党,431169,11.22,false,34
h26-12-14,東北,5,日本共産党,379811,9.89,false,34
h26-12-14,東北,6,生活の党,181487,4.72,false,34
h26-12-14,東北,7,社会民主党,131857,3.43,false,34
h26-12-14,東北,8,次世代の党,71026,1.85,false,34
h26-12-14,東北,9,幸福実現党,18201,0.47,false,34
h26-12-14,東北,,__TOTAL__,3841899,100.00,true,34
h26-12-14,北関東,1,自由民主党,2034586,34.56,false,35
h26-12-14,北関東,2,民主党,1049602,17.83,false,35
h26-12-14,北関東,3,公明党,868102,14.74,false,35
h26-12-14,北関東,4,維新の党,816014,13.86,false,35
h26-12-14,北関東,5,日本共産党,686893,11.67,false,35
h26-12-14,北関東,6,次世代の党,167632,2.85,false,35
h26-12-14,北関東,7,生活の党,131013,2.23,false,35
h26-12-14,北関東,8,社会民主党,109038,1.85,false,35
h26-12-14,北関東,9,幸福実現党,24989,0.42,false,35
h26-12-14,北関東,,__TOTAL__,5887869,100.00,true,35
h26-12-14,南関東,1,自由民主党,2321609,33.96,false,36
h26-12-14,南関東,2,民主党,1203572,17.61,false,36
h26-12-14,南関東,3,維新の党,1053221,15.41,false,36
h26-12-14,南関東,4,公明党,875712,12.81,false,36
h26-12-14,南関東,5,日本共産党,813634,11.90,false,36
h26-12-14,南関東,6,次世代の党,236596,3.46,false,36
h26-12-14,南関東,7,生活の党,175431,2.57,false,36
h26-12-14,南関東,8,社会民主党,132542,1.94,false,36
h26-12-14,南関東,9,幸福実現党,24052,0.35,false,36
h26-12-14,南関東,,__TOTAL__,6836369,100.00,true,36
h26-12-14,東京都,1,自由民主党,1847986,32.06,false,37
h26-12-14,東京都,2,民主党,939795,16.31,false,37
h26-12-14,東京都,3,日本共産党,885927,15.37,false,37
h26-12-14,東京都,4,維新の党,816047,14.16,false,37
h26-12-14,東京都,5,公明党,700127,12.15,false,37
h26-12-14,東京都,6,次世代の党,253107,4.39,false,37
h26-12-14,東京都,7,生活の党,156170,2.71,false,37
h26-12-14,東京都,8,社会民主党,129992,2.26,false,37
h26-12-14,東京都,9,幸福実現党,17648,0.31,false,37
h26-12-14,東京都,10,新党改革,16597,0.29,false,37
h26-12-14,東京都,,__TOTAL__,5763396,100.00,true,37
h26-12-14,北陸信越,1,自由民主党,1122585,36.13,false,38
h26-12-14,北陸信越,2,民主党,690721,22.23,false,38
h26-12-14,北陸信越,3,維新の党,432249,13.91,false,38
h26-12-14,北陸信越,4,日本共産党,315071,10.14,false,38
h26-12-14,北陸信越,5,公明党,293194,9.44,false,38
h26-12-14,北陸信越,6,社会民主党,99242,3.19,false,38
h26-12-14,北陸信越,7,生活の党,75981,2.45,false,38
h26-12-14,北陸信越,8,次世代の党,58361,1.88,false,38
h26-12-14,北陸信越,9,幸福実現党,19619,0.63,false,38
h26-12-14,北陸信越,,__TOTAL__,3107023,100.00,true,38
h26-12-14,東海,1,自由民主党,2147672,33.30,false,39
h26-12-14,東海,2,民主党,1491764,23.13,false,39
h26-12-14,東海,3,維新の党,964240,14.95,false,39
h26-12-14,東海,4,公明党,804089,12.47,false,39
h26-12-14,東海,5,日本共産党,618695,9.59,false,39
h26-12-14,東海,6,次世代の党,147080,2.28,false,39
h26-12-14,東海,7,社会民主党,128131,1.99,false,39
h26-12-14,東海,8,生活の党,106346,1.65,false,39
h26-12-14,東海,9,幸福実現党,41429,0.64,false,39
h26-12-14,東海,,__TOTAL__,6449446,100.00,true,39
h26-12-14,近畿,1,自由民主党,2442006,28.91,false,40
h26-12-14,近畿,2,維新の党,2202932,26.08,false,40
h26-12-14,近畿,3,公明党,1236217,14.64,false,40
