election_id,block,prefecture,party,votes,source_page
h26-12-14,北海道,北海道,自由民主党,744748,29
h26-12-14,北海道,北海道,民主党,688922,29
h26-12-14,北海道,北海道,維新の党,247342,29
h26-12-14,北海道,北海道,公明党,307534,29
h26-12-14,北海道,北海道,日本共産党,302251,29
h26-12-14,北海道,北海道,次世代の党,38342,29
h26-12-14,東北,青森県,自由民主党,183186,29
h26-12-14,東北,青森県,民主党,104139,29
h26-12-14,東北,青森県,維新の党,71680,29
h26-12-14,東北,青森県,公明党,57564,29
h26-12-14,東北,青森県,日本共産党,54709,29
h26-12-14,東北,青森県,次世代の党,7800,29
h26-12-14,東北,岩手県,自由民主党,167149,29
h26-12-14,東北,岩手県,民主党,119121,29
h26-12-14,東北,岩手県,維新の党,47561,29
h26-12-14,東北,岩手県,公明党,47085,29
h26-12-14,東北,岩手県,日本共産党,62846,29
h26-12-14,東北,岩手県,次世代の党,7400,29
h26-12-14,東北,宮城県,自由民主党,294612,29
h26-12-14,東北,宮城県,民主党,193011,29
h26-12-14,東北,宮城県,維新の党,128019,29
h26-12-14,東北,宮城県,公明党,116977,29
h26-12-14,東北,宮城県,日本共産党,97523,29
h26-12-14,東北,宮城県,次世代の党,28041,29
h26-12-14,東北,秋田県,自由民主党,172976,29
h26-12-14,東北,秋田県,民主党,98285,29
h26-12-14,東北,秋田県,維新の党,84367,29
h26-12-14,東北,秋田県,公明党,51634,29
h26-12-14,東北,秋田県,日本共産党,37881,29
h26-12-14,東北,秋田県,次世代の党,7642,29
h26-12-14,東北,山形県,自由民主党,200995,29
h26-12-14,東北,山形県,民主党,125248,29
h26-12-14,東北,山形県,維新の党,54702,29
h26-12-14,東北,山形県,公明党,65829,29
h26-12-14,東北,山形県,日本共産党,44833,29
h26-12-14,東北,山形県,次世代の党,7958,29
h26-12-14,東北,福島県,自由民主党,246454,29
h26-12-14,東北,福島県,民主党,223735,29
h26-12-14,東北,福島県,維新の党,113108,29
h26-12-14,東北,福島県,公明党,92080,29
h26-12-14,東北,福島県,日本共産党,82019,29
h26-12-14,東北,福島県,次世代の党,12185,29
h26-12-14,東北,計,自由民主党,1265372,29
h26-12-14,東北,計,民主党,863539,29
h26-12-14,東北,計,維新の党,499437,29
h26-12-14,東北,計,公明党,431169,29
h26-12-14,東北,計,日本共産党,379811,29
h26-12-14,東北,計,次世代の党,71026,29
h26-12-14,北関東,茨城県,自由民主党,493772,29
h26-12-14,北関東,茨城県,民主党,228712,29
h26-12-14,北関東,茨城県,維新の党,170718,29
h26-12-14,北関東,茨城県,公明党,190742,29
h26-12-14,北関東,茨城県,日本共産党,122146,29
h26-12-14,北関東,茨城県,次世代の党,26098,29
h26-12-14,北関東,栃木県,自由民主党,293628,29
h26-12-14,北関東,栃木県,民主党,166476,29
h26-12-14,北関東,栃木県,維新の党,101022,29
h26-12-14,北関東,栃木県,公明党,110355,29
h26-12-14,北関東,栃木県,日本共産党,63835,29
h26-12-14,北関東,栃木県,次世代の党,18372,29
h26-12-14,北関東,群馬県,自由民主党,309905,29
h26-12-14,北関東,群馬県,民主党,119404,29
h26-12-14,北関東,群馬県,維新の党,121537,29
h26-12-14,北関東,群馬県,公明党,113434,29
h26-12-14,北関東,群馬県,日本共産党,90329,29
h26-12-14,北関東,群馬県,次世代の党,18329,29
h26-12-14,北関東,埼玉県,自由民主党,937281,29
h26-12-14,北関東,埼玉県,民主党,535010,29
h26-12-14,北関東,埼玉県,維新の党,422737,29
h26-12-14,北関東,埼玉県,公明党,453571,29
h26-12-14,北関東,埼玉県,日本共産党,410583,29
h26-12-14,北関東,埼玉県,次世代の党,104833,29
h26-12-14,北関東,計,自由民主党,2034586,29
h26-12-14,北関東,計,民主党,1049602,29
h26-12-14,北関東,計,維新の党,816014,29
h26-12-14,北関東,計,公明党,868102,29
h26-12-14,北関東,計,日本共産党,686893,29
h26-12-14,北関東,計,次世代の党,167632,29
h26-12-14,南関東,千葉県,自由民主党,861787,29
h26-12-14,南関東,千葉県,民主党,462344,29
h26-12-14,南関東,千葉県,維新の党,353113,29
h26-12-14,南関東,千葉県,公明党,356477,29
h26-12-14,南関東,千葉県,日本共産党,294117,29
h26-12-14,南関東,千葉県,次世代の党,90623,29
h26-12-14,南関東,神奈川県,自由民主党,1322461,29
h26-12-14,南関東,神奈川県,民主党,657974,29
h26-12-14,南関東,神奈川県,維新の党,644576,29
h26-12-14,南関東,神奈川県,公明党,468245,29
h26-12-14,南関東,神奈川県,日本共産党,476309,29
h26-12-14,南関東,神奈川県,次世代の党,139395,29
h26-12-14,南関東,山梨県,自由民主党,137361,29
h26-12-14,南関東,山梨県,民主党,83254,29
h26-12-14,南関東,山梨県,維新の党,55532,29
h26-12-14,南関東,山梨県,公明党,50990,29
h26-12-14,南関東,山梨県,日本共産党,43208,29
h26-12-14,南関東,山梨県,次世代の党,6578,29
h26-12-14,南関東,計,自由民主党,2321609,29
h26-12-14,南関東,計,民主党,1203572,29
h26-12-14,南関東,計,維新の党,1053221,29
h26-12-14,南関東,計,公明党,875712,29
h26-12-14,南関東,計,日本共産党,813634,29
h26-12-14,南関東,計,次世代の党,236596,29
h26-12-14,東京都,東京都,自由民主党,1847986,29
h26-12-14,東京都,東京都,民主党,939795,29
h26-12-14,東京都,東京都,維新の党,816047,29
h26-12-14,東京都,東京都,公明党,700127,29
h26-12-14,東京都,東京都,日本共産党,885927,29
h26-12-14,東京都,東京都,次世代の党,253107,29
h26-12-14,北陸信越,新潟県,自由民主党,355758,29
h26-12-14,北陸信越,新潟県,民主党,255327,29
h26-12-14,北陸信越,新潟県,維新の党,111609,29
h26-12-14,北陸信越,新潟県,公明党,83223,29
h26-12-14,北陸信越,新潟県,日本共産党,89794,29
h26-12-14,北陸信越,新潟県,次世代の党,16707,29
h26-12-14,北陸信越,富山県,自由民主党,189471,29
h26-12-14,北陸信越,富山県,民主党,42078,29
h26-12-14,北陸信越,富山県,維新の党,69170,29
h26-12-14,北陸信越,富山県,公明党,38394,29
h26-12-14,北陸信越,富山県,日本共産党,29410,29
h26-12-14,北陸信越,富山県,次世代の党,8473,29
h26-12-14,北陸信越,石川県,自由民主党,188098,29
h26-12-14,北陸信越,石川県,民主党,101040,29
h26-12-14,北陸信越,石川県,維新の党,53620,29
h26-12-14,北陸信越,石川県,公明党,43212,29
h26-12-14,北陸信越,石川県,日本共産党,33244,29
h26-12-14,北陸信越,石川県,次世代の党,8712,29
h26-12-14,北陸信越,福井県,自由民主党,143387,29
h26-12-14,北陸信越,福井県,民主党,48809,29
h26-12-14,北陸信越,福井県,維新の党,48748,29
h26-12-14,北陸信越,福井県,公明党,30757,29
h26-12-14,北陸信越,福井県,日本共産党,22500,29
h26-12-14,北陸信越,福井県,次世代の党,5315,29
h26-12-14,北陸信越,長野県,自由民主党,245871,29
h26-12-14,北陸信越,長野県,民主党,243467,29
h26-12-14,北陸信越,長野県,維新の党,149102,29
h26-12-14,北陸信越,長野県,公明党,97608,29
h26-12-14,北陸信越,長野県,日本共産党,140123,29
h26-12-14,北陸信越,長野県,次世代の党,19154,29
h26-12-14,北陸信越,計,自由民主党,1122585,29
h26-12-14,北陸信越,計,民主党,690721,29
h26-12-14,北陸信越,計,維新の党,432249,29
