election_id,prefecture,party,votes_male,votes_female,votes_total,source_page
h26-12-14,北海道,自由民主党,951860,87118,1038978,26
h26-12-14,北海道,民主党,788229,134091,922320,26
h26-12-14,北海道,維新の党,82586,,82586,26
h26-12-14,北海道,公明党,86722,,86722,26
h26-12-14,青森県,自由民主党,285531,,285531,26
h26-12-14,青森県,民主党,38106,49142,87248,26
h26-12-14,青森県,維新の党,62254,28282,90536,26
h26-12-14,青森県,公明党,,,,26
h26-12-14,岩手県,自由民主党,177650,46409,224059,26
h26-12-14,岩手県,民主党,157126,,157126,26
h26-12-14,岩手県,維新の党,,,,26
h26-12-14,岩手県,公明党,,,,26
h26-12-14,宮城県,自由民主党,465169,,465169,26
h26-12-14,宮城県,民主党,113710,149152,262862,26
h26-12-14,宮城県,維新の党,60653,,60653,26
h26-12-14,宮城県,公明党,,,,26
h26-12-14,秋田県,自由民主党,242530,,242530,26
h26-12-14,秋田県,民主党,114483,,114483,26
h26-12-14,秋田県,維新の党,88483,,88483,26
h26-12-14,秋田県,公明党,,,,26
h26-12-14,山形県,自由民主党,196423,79872,276295,26
h26-12-14,山形県,民主党,152430,,152430,26
h26-12-14,山形県,維新の党,,,,26
h26-12-14,山形県,公明党,,,,26
h26-12-14,福島県,自由民主党,371352,,371352,26
h26-12-14,福島県,民主党,212861.569,97643,310504.569,26
h26-12-14,福島県,維新の党,56856,,56856,26
h26-12-14,福島県,公明党,,,,26
h26-12-14,茨城県,自由民主党,636777,65638,702415,26
h26-12-14,茨城県,民主党,264494,,264494,26
h26-12-14,茨城県,維新の党,55103,,55103,26
h26-12-14,茨城県,公明党,,,,26
h26-12-14,栃木県,自由民主党,450926,,450926,26
h26-12-14,栃木県,民主党,188022,,188022,26
h26-12-14,栃木県,維新の党,,,,26
h26-12-14,栃木県,公明党,,,,26
h26-12-14,群馬県,自由民主党,332447,114458,446905,26
h26-12-14,群馬県,民主党,99356,,99356,26
h26-12-14,群馬県,維新の党,53038,,53038,26
h26-12-14,群馬県,公明党,,,,26
h26-12-14,埼玉県,自由民主党,1221194,178897,1400091,26
h26-12-14,埼玉県,民主党,623287,73513,696800,26
h26-12-14,埼玉県,維新の党,198545,,198545,26
h26-12-14,埼玉県,公明党,,,,26
h26-12-14,千葉県,自由民主党,1265183,,1265183,26
h26-12-14,千葉県,民主党,510869,29656,540525,26
h26-12-14,千葉県,維新の党,105130,69667,174797,26
h26-12-14,千葉県,公明党,,,,26
h26-12-14,東京都,自由民主党,2273091.776,288171,2561262.776,26
h26-12-14,東京都,民主党,1004307,299932,1304239,26
h26-12-14,東京都,維新の党,395318,46156,441474,26
h26-12-14,東京都,公明党,88499,,88499,26
h26-12-14,神奈川県,自由民主党,1734141,118537,1852678,26
h26-12-14,神奈川県,民主党,541994,82612,624606,26
h26-12-14,神奈川県,維新の党,446623,,446623,26
h26-12-14,神奈川県,公明党,78746,,78746,26
h26-12-14,新潟県,自由民主党,402378,77137,479515,26
h26-12-14,新潟県,民主党,215872,158646,374518,26
h26-12-14,新潟県,維新の党,,,,26
h26-12-14,新潟県,公明党,,,,26
h26-12-14,富山県,自由民主党,291974,,291974,26
h26-12-14,富山県,民主党,,,,26
h26-12-14,富山県,維新の党,39249,,39249,26
h26-12-14,富山県,公明党,,,,26
h26-12-14,石川県,自由民主党,258389,,258389,26
h26-12-14,石川県,民主党,64940,59590,124530,26
h26-12-14,石川県,維新の党,,,,26
h26-12-14,石川県,公明党,,,,26
