election_id,block,party,votes,seats,seats_male,seats_female,source_page
h26-12-14,北海道,幸福実現党,12267,0,0,0,44
h26-12-14,北海道,日本共産党,302251,1,1,0,44
h26-12-14,北海道,自由民主党,744748,3,3,0,44
h26-12-14,北海道,公明党,307534,1,1,0,44
h26-12-14,北海道,社会民主党,53604,0,0,0,45
h26-12-14,北海道,民主党,688922,2,1,1,45
h26-12-14,北海道,維新の党,247342,1,1,0,45
h26-12-14,北海道,次世代の党,38342,0,0,0,45
h26-12-14,北海道,支持政党なし,104854,0,0,0,46
h26-12-14,東北,維新の党,499437,2,2,0,47
h26-12-14,東北,生活の党,181487,0,0,0,47
h26-12-14,東北,公明党,431169,2,2,0,47
h26-12-14,東北,日本共産党,379811,1,0,1,47
h26-12-14,東北,民主党,863539,4,2,2,48
h26-12-14,東北,幸福実現党,18201,0,0,0,48
h26-12-14,東北,自由民主党,1265372,5,4,1,48
h26-12-14,東北,次世代の党,71026,0,0,0,48
h26-12-14,東北,社会民主党,131857,0,0,0,49
h26-12-14,北関東,民主党,1049602,4,3,1,50
h26-12-14,北関東,維新の党,816014,3,3,0,50
h26-12-14,北関東,次世代の党,167632,0,0,0,50
h26-12-14,北関東,自由民主党,2034586,8,5,3,50
h26-12-14,北関東,日本共産党,686893,2,1,1,51
h26-12-14,北関東,生活の党,131013,0,0,0,51
h26-12-14,北関東,公明党,868102,3,3,0,51
h26-12-14,北関東,幸福実現党,24989,0,0,0,51
h26-12-14,北関東,社会民主党,109038,0,0,0,52
h26-12-14,南関東,生活の党,175431,0,0,0,53
h26-12-14,南関東,公明党,875712,3,2,1,53
h26-12-14,南関東,幸福実現党,24052,0,0,0,53
h26-12-14,南関東,民主党,1203572,4,3,1,53
h26-12-14,南関東,社会民主党,132542,0,0,0,54
h26-12-14,南関東,維新の党,1053221,4,3,1,54
h26-12-14,南関東,次世代の党,236596,0,0,0,54
h26-12-14,南関東,日本共産党,813634,3,1,2,54
h26-12-14,南関東,自由民主党,2321609,8,6,2,55
h26-12-14,東京都,自由民主党,1847986,6,5,1,56
h26-12-14,東京都,新党改革,16597,0,0,0,56
h26-12-14,東京都,次世代の党,253107,0,0,0,56
h26-12-14,東京都,民主党,939795,3,3,0,56
h26-12-14,東京都,公明党,700127,2,1,1,57
h26-12-14,東京都,社会民主党,129992,0,0,0,57
h26-12-14,東京都,維新の党,816047,3,3,0,57
h26-12-14,東京都,幸福実現党,17648,0,0,0,57
h26-12-14,東京都,生活の党,156170,0,0,0,58
h26-12-14,東京都,日本共産党,885927,3,2,1,58
h26-12-14,北陸信越,日本共産党,315071,1,1,0,59
h26-12-14,北陸信越,民主党,690721,3,1,2,59
h26-12-14,北陸信越,社会民主党,99242,0,0,0,59
h26-12-14,北陸信越,生活の党,75981,0,0,0,59
h26-12-14,北陸信越,自由民主党,1122585,5,5,0,60
h26-12-14,北陸信越,維新の党,432249,1,1,0,60
h26-12-14,北陸信越,公明党,293194,1,1,0,60
h26-12-14,北陸信越,次世代の党,58361,0,0,0,60
h26-12-14,北陸信越,幸福実現党,19619,0,0,0,61
h26-12-14,東海,幸福実現党,41429,0,0,0,62
h26-12-14,東海,社会民主党,128131,0,0,0,62
h26-12-14,東海,維新の党,964240,3,3,0,62
h26-12-14,東海,次世代の党,147080,0,0,0,62
h26-12-14,東海,日本共産党,618695,2,1,1,63
h26-12-14,東海,公明党,804089,3,3,0,63
h26-12-14,東海,生活の党,106346,0,0,0,63
h26-12-14,東海,民主党,1491764,5,5,0,63
h26-12-14,東海,自由民主党,2147672,8,8,0,64
h26-12-14,近畿,幸福実現党,35830,0,0,0,65
h26-12-14,近畿,維新の党,2202932,8,7,1,65
h26-12-14,近畿,次世代の党,175279,0,0,0,65
h26-12-14,近畿,自由民主党,2442006,9,9,0,65
h26-12-14,近畿,生活の党,97398,0,0,0,66
h26-12-14,近畿,社会民主党,124494,0,0,0,66
h26-12-14,近畿,日本共産党,1084154,4,4,0,66
h26-12-14,近畿,民主党,1047361,4,4,0,66
h26-12-14,近畿,公明党,1236217,4,3,1,67
h26-12-14,中国,自由民主党,1183903,5,4,1,68
h26-12-14,中国,民主党,529819,2,2,0,68
h26-12-14,中国,次世代の党,109016,0,0,0,68
h26-12-14,中国,公明党,516892,2,2,0,68
h26-12-14,中国,幸福実現党,18015,0,0,0,69
h26-12-14,中国,日本共産党,285224,1,1,0,69
h26-12-14,中国,社会民主党,65349,0,0,0,69
h26-12-14,中国,維新の党,394306,1,1,0,69
h26-12-14,四国,次世代の党,44515,0,0,0,70
h26-12-14,四国,維新の党,200882,1,1,0,70
h26-12-14,四国,幸福実現党,10762,0,0,0,70
h26-12-14,四国,民主党,326803,1,1,0,70
h26-12-14,四国,自由民主党,547185,3,3,0,71
h26-12-14,四国,公明党,247776,1,1,0,71
h26-12-14,四国,社会民主党,33257,0,0,0,71
h26-12-14,四国,日本共産党,158848,0,0,0,71
h26-12-14,九州,日本共産党,532454,2,2,0,72
h26-12-14,九州,次世代の党,113965,0,0,0,72
h26-12-14,九州,幸福実現党,37299,0,0,0,72
h26-12-14,九州,生活の党,104895,0,0,0,72
h26-12-14,九州,公明党,1033424,4,4,0,73
h26-12-14,九州,維新の党,756029,3,3,0,73
h26-12-14,九州,自由民主党,2001264,8,7,1,73
h26-12-14,九州,社会民主党,306935,1,1,0,73
h26-12-14,九州,民主党,944093,3,3,0,74
