election_id,kind,section,status,party,male,female,total,dual_male,dual_female,dual_total,source_page
h29-10-22,candidacy,smd,新,自由民主党,13,1,14,,,,3
h29-10-22,candidacy,smd,新,公明党,,,,,,,3
h29-10-22,candidacy,smd,新,日本共産党,151,44,195,,,,3
h29-10-22,candidacy,smd,新,日本維新の会,24,3,27,,,,3
h29-10-22,candidacy,smd,新,社会民主党,13,3,16,,,,3
h29-10-22,candidacy,smd,新,希望の党,66,32,98,,,,3
h29-10-22,candidacy,smd,前,自由民主党,240,19,259,,,,3
h29-10-22,candidacy,smd,前,公明党,9,,9,,,,3
h29-10-22,candidacy,smd,前,日本共産党,7,4,11,,,,3
h29-10-22,candidacy,smd,前,日本維新の会,14,,14,,,,3
h29-10-22,candidacy,smd,前,社会民主党,2,,2,,,,3
h29-10-22,candidacy,smd,前,希望の党,53,2,55,,,,3
h29-10-22,candidacy,smd,元,自由民主党,4,,4,,,,3
h29-10-22,candidacy,smd,元,公明党,,,,,,,3
h29-10-22,candidacy,smd,元,日本共産党,,,,,,,3
h29-10-22,candidacy,smd,元,日本維新の会,5,1,6,,,,3
h29-10-22,candidacy,smd,元,社会民主党,1,,1,,,,3
h29-10-22,candidacy,smd,元,希望の党,41,4,45,,,,3
h29-10-22,candidacy,smd,計,自由民主党,257,20,277,,,,3
h29-10-22,candidacy,smd,計,公明党,9,,9,,,,3
h29-10-22,candidacy,smd,計,日本共産党,158,48,206,,,,3
h29-10-22,candidacy,smd,計,日本維新の会,43,4,47,,,,3
h29-10-22,candidacy,smd,計,社会民主党,16,3,19,,,,3
h29-10-22,candidacy,smd,計,希望の党,160,38,198,,,,3
h29-10-22,candidacy,pr,新,自由民主党,41,2,43,12,1,13,3
h29-10-22,candidacy,pr,新,公明党,18,2,20,,,,3
h29-10-22,candidacy,pr,新,日本共産党,27,17,44,8,9,17,3
h29-10-22,candidacy,pr,新,日本維新の会,27,3,30,24,3,27,3
h29-10-22,candidacy,pr,新,社会民主党,14,4,18,13,3,16,3
h29-10-22,candidacy,pr,新,希望の党,83,41,124,66,32,98,3
h29-10-22,candidacy,pr,前,自由民主党,235,22,257,222,19,241,3
h29-10-22,candidacy,pr,前,公明党,21,3,24,,,,3
h29-10-22,candidacy,pr,前,日本共産党,15,6,21,7,4,11,3
h29-10-22,candidacy,pr,前,日本維新の会,14,,14,14,,14,3
h29-10-22,candidacy,pr,前,社会民主党,2,,2,2,,2,3
h29-10-22,candidacy,pr,前,希望の党,54,2,56,52,2,54,3
h29-10-22,candidacy,pr,元,自由民主党,12,1,13,4,,4,3
h29-10-22,candidacy,pr,元,公明党,,,,,,,3
h29-10-22,candidacy,pr,元,日本共産党,,,,,,,3
h29-10-22,candidacy,pr,元,日本維新の会,7,1,8,5,1,6,3
h29-10-22,candidacy,pr,元,社会民主党,1,,1,1,,1,3
h29-10-22,candidacy,pr,元,希望の党,50,4,54,41,4,45,3
h29-10-22,candidacy,pr,計,自由民主党,288,25,313,238,20,258,3
h29-10-22,candidacy,pr,計,公明党,39,5,44,,,,3
h29-10-22,candidacy,pr,計,日本共産党,42,23,65,15,13,28,3
h29-10-22,candidacy,pr,計,日本維新の会,48,4,52,43,4,47,3
h29-10-22,candidacy,pr,計,社会民主党,17,4,21,16,3,19,3
h29-10-22,candidacy,pr,計,希望の党,187,47,234,159,38,197,3
h29-10-22,candidacy,total,新,自由民主党,42,2,44,,,,3
h29-10-22,candidacy,total,新,公明党,18,2,20,,,,3
h29-10-22,candidacy,total,新,日本共産党,170,52,222,,,,3
h29-10-22,candidacy,total,新,日本維新の会,27,3,30,,,,3
h29-10-22,candidacy,total,新,社会民主党,14,4,18,,,,3
h29-10-22,candidacy,total,新,希望の党,83,41,124,,,,3
h29-10-22,candidacy,total,前,自由民主党,253,22,275,,,,3
h29-10-22,candidacy,total,前,公明党,30,3,33,,,,3
h29-10-22,candidacy,total,前,日本共産党,15,6,21,,,,3
h29-10-22,candidacy,total,前,日本維新の会,14,,14,,,,3
h29-10-22,candidacy,total,前,社会民主党,2,,2,,,,3
h29-10-22,candidacy,total,前,希望の党,55,2,57,,,,3
h29-10-22,candidacy,total,元,自由民主党,12,1,13,,,,3
h29-10-22,candidacy,total,元,公明党,,,,,,,3
h29-10-22,candidacy,total,元,日本共産党,,,,,,,3
h29-10-22,candidacy,total,元,日本維新の会,7,1,8,,,,3
h29-10-22,candidacy,total,元,社会民主党,1,,1,,,,3
h29-10-22,candidacy,total,元,希望の党,50,4,54,,,,3
h29-10-22,candidacy,total,計,自由民主党,307,25,332,,,,3
h29-10-22,candidacy,total,計,公明党,48,5,53,,,,3
h29-10-22,candidacy,total,計,日本共産党,185,58,243,,,,3
h29-10-22,candidacy,total,計,日本維新の会,48,4,52,,,,3
h29-10-22,candidacy,total,計,社会民主党,17,4,21,,,,3
h29-10-22,candidacy,total,計,希望の党,188,47,235,,,,3
h29-10-22,candidacy,smd,新,立憲民主党,21,11,32,,,,4
h29-10-22,candidacy,smd,新,日本のこころ,,,,,,,4
h29-10-22,candidacy,smd,新,幸福実現党,,,,,,,4
h29-10-22,candidacy,smd,新,新党大地,,,,,,,4
h29-10-22,candidacy,smd,新,支持政党なし,,,,,,,4
h29-10-22,candidacy,smd,前,立憲民主党,12,3,15,,,,4
h29-10-22,candidacy,smd,前,日本のこころ,,,,,,,4
h29-10-22,candidacy,smd,前,幸福実現党,,,,,,,4
h29-10-22,candidacy,smd,前,新党大地,,,,,,,4
h29-10-22,candidacy,smd,前,支持政党なし,,,,,,,4
h29-10-22,candidacy,smd,元,立憲民主党,15,1,16,,,,4
h29-10-22,candidacy,smd,元,日本のこころ,,,,,,,4
h29-10-22,candidacy,smd,元,幸福実現党,,,,,,,4
h29-10-22,candidacy,smd,元,新党大地,,,,,,,4
