election_id,kind,prefecture,seats,party,new,incumbent,former,total,source_page
h29-10-22,candidacy,北海道,12,自由民主党,,10,1,11,6
h29-10-22,candidacy,北海道,12,公明党,,1,,1,6
h29-10-22,candidacy,北海道,12,日本共産党,4,,,4,6
h29-10-22,candidacy,北海道,12,日本維新の会,1,,,1,6
h29-10-22,candidacy,北海道,12,社会民主党,,,,,6
h29-10-22,candidacy,北海道,12,希望の党,1,1,2,4,6
h29-10-22,candidacy,北海道,12,立憲民主党,4,2,1,7,6
h29-10-22,candidacy,青森県,3,自由民主党,1,2,,3,6
h29-10-22,candidacy,青森県,3,公明党,,,,,6
h29-10-22,candidacy,青森県,3,日本共産党,3,,,3,6
h29-10-22,candidacy,青森県,3,日本維新の会,,,,,6
h29-10-22,candidacy,青森県,3,社会民主党,,,,,6
h29-10-22,candidacy,青森県,3,希望の党,2,1,,3,6
h29-10-22,candidacy,青森県,3,立憲民主党,,,,,6
h29-10-22,candidacy,岩手県,3,自由民主党,,3,,3,6
h29-10-22,candidacy,岩手県,3,公明党,,,,,6
h29-10-22,candidacy,岩手県,3,日本共産党,1,,,1,6
h29-10-22,candidacy,岩手県,3,日本維新の会,,,,,6
h29-10-22,candidacy,岩手県,3,社会民主党,,,,,6
h29-10-22,candidacy,岩手県,3,希望の党,,1,1,2,6
h29-10-22,candidacy,岩手県,3,立憲民主党,,,,,6
h29-10-22,candidacy,宮城県,6,自由民主党,,6,,6,6
h29-10-22,candidacy,宮城県,6,公明党,,,,,6
h29-10-22,candidacy,宮城県,6,日本共産党,3,,,3,6
h29-10-22,candidacy,宮城県,6,日本維新の会,1,,,1,6
h29-10-22,candidacy,宮城県,6,社会民主党,,,,,6
h29-10-22,candidacy,宮城県,6,希望の党,3,,,3,6
h29-10-22,candidacy,宮城県,6,立憲民主党,1,,,1,6
h29-10-22,candidacy,秋田県,3,自由民主党,,3,,3,6
h29-10-22,candidacy,秋田県,3,公明党,,,,,6
h29-10-22,candidacy,秋田県,3,日本共産党,3,,,3,6
h29-10-22,candidacy,秋田県,3,日本維新の会,,,,,6
h29-10-22,candidacy,秋田県,3,社会民主党,,,,,6
h29-10-22,candidacy,秋田県,3,希望の党,2,1,,3,6
h29-10-22,candidacy,秋田県,3,立憲民主党,,,,,6
h29-10-22,candidacy,山形県,3,自由民主党,,3,,3,6
h29-10-22,candidacy,山形県,3,公明党,,,,,6
h29-10-22,candidacy,山形県,3,日本共産党,3,,,3,6
h29-10-22,candidacy,山形県,3,日本維新の会,,,,,6
h29-10-22,candidacy,山形県,3,社会民主党,,,,,6
h29-10-22,candidacy,山形県,3,希望の党,1,1,1,3,6
h29-10-22,candidacy,山形県,3,立憲民主党,,,,,6
h29-10-22,candidacy,福島県,5,自由民主党,1,4,,5,6
h29-10-22,candidacy,福島県,5,公明党,,,,,6
h29-10-22,candidacy,福島県,5,日本共産党,4,,,4,6
h29-10-22,candidacy,福島県,5,日本維新の会,1,,,1,6
h29-10-22,candidacy,福島県,5,社会民主党,2,,,2,6
h29-10-22,candidacy,福島県,5,希望の党,1,2,,3,6
h29-10-22,candidacy,福島県,5,立憲民主党,,,,,6
h29-10-22,candidacy,茨城県,7,自由民主党,1,6,,7,6
h29-10-22,candidacy,茨城県,7,公明党,,,,,6
h29-10-22,candidacy,茨城県,7,日本共産党,7,,,7,6
h29-10-22,candidacy,茨城県,7,日本維新の会,,,,,6
h29-10-22,candidacy,茨城県,7,社会民主党,,,,,6
h29-10-22,candidacy,茨城県,7,希望の党,3,1,2,6,6
h29-10-22,candidacy,茨城県,7,立憲民主党,,,,,6
h29-10-22,candidacy,栃木県,5,自由民主党,,5,,5,6
h29-10-22,candidacy,栃木県,5,公明党,,,,,6
h29-10-22,candidacy,栃木県,5,日本共産党,4,,,4,6
h29-10-22,candidacy,栃木県,5,日本維新の会,,,,,6
h29-10-22,candidacy,栃木県,5,社会民主党,,,,,6
h29-10-22,candidacy,栃木県,5,希望の党,3,,1,4,6
h29-10-22,candidacy,栃木県,5,立憲民主党,,,,,6
h29-10-22,candidacy,群馬県,5,自由民主党,,5,,5,6
h29-10-22,candidacy,群馬県,5,公明党,,,,,6
h29-10-22,candidacy,群馬県,5,日本共産党,4,,,4,6
h29-10-22,candidacy,群馬県,5,日本維新の会,,,,,6
h29-10-22,candidacy,群馬県,5,社会民主党,1,,,1,6
h29-10-22,candidacy,群馬県,5,希望の党,2,2,,4,6
h29-10-22,candidacy,群馬県,5,立憲民主党,1,,,1,6
h29-10-22,candidacy,埼玉県,15,自由民主党,1,13,,14,6
h29-10-22,candidacy,埼玉県,15,公明党,,,,,6
h29-10-22,candidacy,埼玉県,15,日本共産党,11,1,,12,6
h29-10-22,candidacy,埼玉県,15,日本維新の会,5,,,5,6
h29-10-22,candidacy,埼玉県,15,社会民主党,1,,,1,6
h29-10-22,candidacy,埼玉県,15,希望の党,8,5,2,15,6
h29-10-22,candidacy,埼玉県,15,立憲民主党,1,1,,2,6
h29-10-22,candidacy,千葉県,13,自由民主党,1,12,,13,6
h29-10-22,candidacy,千葉県,13,公明党,,,,,6
h29-10-22,candidacy,千葉県,13,日本共産党,9,1,,10,6
h29-10-22,candidacy,千葉県,13,日本維新の会,4,,,4,6
h29-10-22,candidacy,千葉県,13,社会民主党,1,,,1,6
h29-10-22,candidacy,千葉県,13,希望の党,4,3,5,12,6
h29-10-22,candidacy,千葉県,13,立憲民主党,4,,2,6,6
h29-10-22,candidacy,東京都,25,自由民主党,,24,,24,6
h29-10-22,candidacy,東京都,25,公明党,,1,,1,6
h29-10-22,candidacy,東京都,25,日本共産党,15,2,,17,6
h29-10-22,candidacy,東京都,25,日本維新の会,,,,,6
h29-10-22,candidacy,東京都,25,社会民主党,1,,,1,6
h29-10-22,candidacy,東京都,25,希望の党,15,7,1,23,6
h29-10-22,candidacy,東京都,25,立憲民主党,7,4,5,16,6
h29-10-22,candidacy,神奈川県,18,自由民主党,,16,1,17,6
h29-10-22,candidacy,神奈川県,18,公明党,,1,,1,6
h29-10-22,candidacy,神奈川県,18,日本共産党,11,1,,12,6
h29-10-22,candidacy,神奈川県,18,日本維新の会,1,,,1,6
h29-10-22,candidacy,神奈川県,18,社会民主党,1,,,1,6
h29-10-22,candidacy,神奈川県,18,希望の党,9,4,3,16,6
h29-10-22,candidacy,神奈川県,18,立憲民主党,3,3,,6,6
h29-10-22,candidacy,新潟県,6,自由民主党,1,5,,6,6
h29-10-22,candidacy,新潟県,6,公明党,,,,,6
h29-10-22,candidacy,新潟県,6,日本共産党,1,,,1,6
h29-10-22,candidacy,新潟県,6,日本維新の会,,,,,6
h29-10-22,candidacy,新潟県,6,社会民主党,,,,,6
h29-10-22,candidacy,新潟県,6,希望の党,,,,,6
h29-10-22,candidacy,新潟県,6,立憲民主党,,1,,1,6
h29-10-22,candidacy,富山県,3,自由民主党,,3,,3,6
h29-10-22,candidacy,富山県,3,公明党,,,,,6
h29-10-22,candidacy,富山県,3,日本共産党,2,,,2,6
h29-10-22,candidacy,富山県,3,日本維新の会,,1,,1,6
h29-10-22,candidacy,富山県,3,社会民主党,1,,,1,6
h29-10-22,candidacy,富山県,3,希望の党,1,,,1,6
h29-10-22,candidacy,富山県,3,立憲民主党,,,,,6
h29-10-22,candidacy,石川県,3,自由民主党,1,2,,3,6
h29-10-22,candidacy,石川県,3,公明党,,,,,6
h29-10-22,candidacy,石川県,3,日本共産党,3,,,3,6
h29-10-22,candidacy,石川県,3,日本維新の会,,,,,6
h29-10-22,candidacy,石川県,3,社会民主党,,,,,6
h29-10-22,candidacy,石川県,3,希望の党,1,,2,3,6
h29-10-22,candidacy,石川県,3,立憲民主党,,,,,6
h29-10-22,candidacy,福井県,2,自由民主党,,2,,2,6
h29-10-22,candidacy,福井県,2,公明党,,,,,6
h29-10-22,candidacy,福井県,2,日本共産党,2,,,2,6
h29-10-22,candidacy,福井県,2,日本維新の会,,,,,6
h29-10-22,candidacy,福井県,2,社会民主党,,,,,6
h29-10-22,candidacy,福井県,2,希望の党,1,,1,2,6
h29-10-22,candidacy,福井県,2,立憲民主党,,,,,6
h29-10-22,candidacy,山梨県,2,自由民主党,,1,,1,6
h29-10-22,candidacy,山梨県,2,公明党,,,,,6
h29-10-22,candidacy,山梨県,2,日本共産党,2,,,2,6
h29-10-22,candidacy,山梨県,2,日本維新の会,,,,,6
h29-10-22,candidacy,山梨県,2,社会民主党,,,,,6
h29-10-22,candidacy,山梨県,2,希望の党,1,,,1,6
h29-10-22,candidacy,山梨県,2,立憲民主党,1,,,1,6
h29-10-22,candidacy,長野県,5,自由民主党,,5,,5,6
h29-10-22,candidacy,長野県,5,公明党,,,,,6
h29-10-22,candidacy,長野県,5,日本共産党,2,,,2,6
h29-10-22,candidacy,長野県,5,日本維新の会,2,,,2,6
h29-10-22,candidacy,長野県,5,社会民主党,1,,,1,6
h29-10-22,candidacy,長野県,5,希望の党,1,1,2,4,6
h29-10-22,candidacy,長野県,5,立憲民主党,,,,,6
h29-10-22,candidacy,岐阜県,5,自由民主党,1,4,,5,6
h29-10-22,candidacy,岐阜県,5,公明党,,,,,6
h29-10-22,candidacy,岐阜県,5,日本共産党,4,,,4,6
h29-10-22,candidacy,岐阜県,5,日本維新の会,,,,,6
h29-10-22,candidacy,岐阜県,5,社会民主党,,,,,6
h29-10-22,candidacy,岐阜県,5,希望の党,,1,2,3,6
h29-10-22,candidacy,岐阜県,5,立憲民主党,,,,,6
h29-10-22,candidacy,静岡県,8,自由民主党,,7,1,8,6
h29-10-22,candidacy,静岡県,8,公明党,,,,,6
h29-10-22,candidacy,静岡県,8,日本共産党,7,,,7,6
h29-10-22,candidacy,静岡県,8,日本維新の会,,,,,6
h29-10-22,candidacy,静岡県,8,社会民主党,,,,,6
h29-10-22,candidacy,静岡県,8,希望の党,4,2,2,8,6
h29-10-22,candidacy,静岡県,8,立憲民主党,2,,,2,6
h29-10-22,candidacy,愛知県,15,自由民主党,,15,,15,6
h29-10-22,candidacy,愛知県,15,公明党,,,,,6
h29-10-22,candidacy,愛知県,15,日本共産党,11,,,11,6
h29-10-22,candidacy,愛知県,15,日本維新の会,,,1,1,6
h29-10-22,candidacy,愛知県,15,社会民主党,1,,,1,6
h29-10-22,candidacy,愛知県,15,希望の党,5,5,2,12,6
h29-10-22,candidacy,愛知県,15,立憲民主党,,2,1,3,6
h29-10-22,candidacy,三重県,4,自由民主党,,4,,4,6
h29-10-22,candidacy,三重県,4,公明党,,,,,6
h29-10-22,candidacy,三重県,4,日本共産党,2,,,2,6
h29-10-22,candidacy,三重県,4,日本維新の会,,,,,6
h29-10-22,candidacy,三重県,4,社会民主党,,,,,6
h29-10-22,candidacy,三重県,4,希望の党,,,1,1,6
h29-10-22,candidacy,三重県,4,立憲民主党,,,,,6
h29-10-22,candidacy,滋賀県,4,自由民主党,1,3,,4,6
h29-10-22,candidacy,滋賀県,4,公明党,,,,,6
h29-10-22,candidacy,滋賀県,4,日本共産党,2,,,2,6
h29-10-22,candidacy,滋賀県,4,日本維新の会,,,,,6
h29-10-22,candidacy,滋賀県,4,社会民主党,1,,,1,6
h29-10-22,candidacy,滋賀県,4,希望の党,2,1,,3,6
h29-10-22,candidacy,滋賀県,4,立憲民主党,,,,,6
h29-10-22,candidacy,京都府,6,自由民主党,2,4,,6,6
h29-10-22,candidacy,京都府,6,公明党,,,,,6
h29-10-22,candidacy,京都府,6,日本共産党,5,1,,6,6
h29-10-22,candidacy,京都府,6,日本維新の会,1,,,1,6
h29-10-22,candidacy,京都府,6,社会民主党,,,,,6
h29-10-22,candidacy,京都府,6,希望の党,2,3,,5,6
h29-10-22,candidacy,京都府,6,立憲民主党,,,,,6
h29-10-22,candidacy,大阪府,19,自由民主党,,15,,15,6
h29-10-22,candidacy,大阪府,19,公明党,,4,,4,6
h29-10-22,candidacy,大阪府,19,日本共産党,12,1,,13,6
h29-10-22,candidacy,大阪府,19,日本維新の会,4,11,,15,6
h29-10-22,candidacy,大阪府,19,社会民主党,,,1,1,6
h29-10-22,candidacy,大阪府,19,希望の党,,,,,6
h29-10-22,candidacy,大阪府,19,立憲民主党,5,1,2,8,6
h29-10-22,candidacy,兵庫県,12,自由民主党,,10,,10,6
h29-10-22,candidacy,兵庫県,12,公明党,,2,,2,6
h29-10-22,candidacy,兵庫県,12,日本共産党,9,1,,10,6
h29-10-22,candidacy,兵庫県,12,日本維新の会,2,,2,4,6
h29-10-22,candidacy,兵庫県,12,社会民主党,,,,,6
h29-10-22,candidacy,兵庫県,12,希望の党,6,1,3,10,6
h29-10-22,candidacy,兵庫県,12,立憲民主党,1,,,1,6
h29-10-22,candidacy,奈良県,3,自由民主党,,2,1,3,6
