election_id,tier,period,party,votes,share_pct,source_page
h29-10-22,pr,current,自由民主党,18555717,33.28,25
h29-10-22,pr,current,立憲民主党,11084890,19.88,25
h29-10-22,pr,current,希望の党,9677524,17.36,25
h29-10-22,pr,current,公明党,6977712,12.51,25
h29-10-22,pr,current,日本共産党,4404081,7.90,25
h29-10-22,pr,current,日本維新の会,3387097,6.07,25
h29-10-22,pr,current,社会民主党,941324,1.69,25
h29-10-22,pr,previous,自由民主党,17658916,33.11,25
h29-10-22,pr,previous,立憲民主党,,,25
h29-10-22,pr,previous,希望の党,,,25
h29-10-22,pr,previous,公明党,7314236,13.71,25
h29-10-22,pr,previous,日本共産党,6062962,11.37,25
h29-10-22,pr,previous,日本維新の会,,,25
h29-10-22,pr,previous,社会民主党,1314441,2.46,25
h29-10-22,pr,diff,自由民主党,896801,5.08,25
h29-10-22,pr,diff,立憲民主党,11084890,,25
h29-10-22,pr,diff,希望の党,9677524,,25
h29-10-22,pr,diff,公明党,-336524,-4.60,25
h29-10-22,pr,diff,日本共産党,-1658881,-27.36,25
h29-10-22,pr,diff,日本維新の会,3387097,,25
h29-10-22,pr,diff,社会民主党,-373117,-28.39,25
h29-10-22,pr,current,日本のこころ,85552,0.15,25
h29-10-22,pr,current,幸福実現党,292084,0.52,25
h29-10-22,pr,current,新党大地,226552,0.41,25
h29-10-22,pr,current,支持政党なし,125019,0.22,25
h29-10-22,pr,current,諸派,,,25
h29-10-22,pr,current,__TOTAL__,55757552,100.00,25
h29-10-22,pr,previous,日本のこころ,1414919,2.65,25
h29-10-22,pr,previous,幸福実現党,260111,0.49,25
h29-10-22,pr,previous,新党大地,,,25
h29-10-22,pr,previous,支持政党なし,104854,0.20,25
h29-10-22,pr,previous,諸派,19204008,36.01,25
h29-10-22,pr,previous,__TOTAL__,53334447,100.00,25
h29-10-22,pr,diff,日本のこころ,-1329367,-93.95,25
h29-10-22,pr,diff,幸福実現党,31973,12.29,25
h29-10-22,pr,diff,新党大地,226552,,25
h29-10-22,pr,diff,支持政党なし,20165,19.23,25
h29-10-22,pr,diff,諸派,-19204008,-100.00,25
h29-10-22,pr,diff,__TOTAL__,2423105,4.54,25
