election_id,prefecture,district_no,order_in_district,elected,result_mark,name_display,name_kanji,name_kana,age,gender,party_raw,party,party_is_certified,status,occupation,votes,dual_candidacy,sekihai_rate,sekihai_excluded,source_page
h29-10-22,北海道,1,1,false,落,船橋利実,,ふなはしとしみつ,56,男,自由民主党,自由民主党,true,元,自由民主党北海道第一選挙区支部長,120987,true,86.972,false,91
h29-10-22,北海道,1,2,true,当,道下大樹,,みちしただいき,41,男,立憲民主党,立憲民主党,true,新,会社役員,139110,true,100.000,false,91
h29-10-22,北海道,2,1,false,落,松木けんこう,松木謙公,まつき,58,男,希望の党,希望の党,true,前,株式会社北海道通信社取締役副社長,74425,true,70.999,false,91
h29-10-22,北海道,2,2,false,落,こわだ康文,小和田康文,やすふみ,47,男,日本維新の会,日本維新の会,true,新,行政書士,21643,true,,true,91
h29-10-22,北海道,2,3,false,落,金倉まさとし,金倉昌俊,かなくら,43,男,日本共産党,日本共産党,true,新,日本共産党北海道委員会副委員長,52626,true,50.204,false,91
h29-10-22,北海道,2,4,true,当,よしかわ貴盛,吉川貴盛,たかもり,67,男,自由民主党,自由民主党,true,前,自由民主党北海道第二選挙区支部長,104824,true,100.000,false,91
h29-10-22,北海道,3,1,true,当,荒井さとし,荒井聰,あらい,71,男,立憲民主党,立憲民主党,true,前,法人役員,141680,true,100.000,false,91
h29-10-22,北海道,3,2,false,落,高木ひろひさ,高木宏壽,たかぎ,57,男,自由民主党,自由民主党,true,前,選挙区支部長,118961,true,83.964,false,91
h29-10-22,北海道,4,1,false,落,本多平直,,ほんだひらなお,52,男,立憲民主党,立憲民主党,true,元,民進党北海道第４区総支部代表,90619,true,87.088,false,91
h29-10-22,北海道,4,2,true,当,中村ひろゆき,中村裕之,なかむら,56,男,自由民主党,自由民主党,true,前,選挙区支部長,104054,true,100.000,false,91
h29-10-22,北海道,4,3,false,落,高橋みほ,高橋美穂,たかはし,52,女,希望の党,希望の党,true,元,行政書士,31941,true,30.696,false,91
h29-10-22,北海道,5,1,false,落,池田まき,池田真紀,いけだ,45,女,立憲民主党,立憲民主党,true,新,社会福祉士,135948,true,95.277,false,91
h29-10-22,北海道,5,2,false,落,森山よしのり,森山佳則,もりやま,50,男,（幸福実現党）,幸福実現党,false,新,団体職員,7632,false,,false,91
h29-10-22,北海道,5,3,true,当,和田よしあき,和田義明,わだ,46,男,自由民主党,自由民主党,true,前,選挙区支部長,142687,true,100.000,false,91
h29-10-22,北海道,6,1,false,落,今津ひろし,今津寛,いまず,71,男,自由民主党,自由民主党,true,前,自由民主党北海道第６選挙区支部長,113851,true,83.522,false,91
h29-10-22,北海道,6,2,true,当,ささき隆博,佐々木隆博,たかひろ,68,男,立憲民主党,立憲民主党,true,前,農業,136312,false,,false,91
h29-10-22,北海道,7,1,true,当,伊東よしたか,伊東良孝,いとう,68,男,自由民主党,自由民主党,true,前,自由民主党北海道第七選挙区支部支部長,95200,true,100.000,false,91
h29-10-22,北海道,7,2,false,落,石川明美,,いしかわあけみ,66,男,日本共産党,日本共産党,true,新,政党役員,47740,false,,false,91
h29-10-22,北海道,8,1,true,当,おおさか誠二,坂誠二,せいじ,58,男,（無所属）,無所属,false,前,無職,125771,false,,false,91
h29-10-22,北海道,8,2,false,落,前田一男,,まえだかずお,51,男,自由民主党,自由民主党,true,前,選挙区支部長,101243,true,80.497,false,91
h29-10-22,北海道,9,1,false,落,山岡達丸,,やまおかたつまる,38,男,希望の党,希望の党,true,元,政党役員,88320,true,81.216,false,91
h29-10-22,北海道,9,2,true,当,ほりい学,堀井学,まなぶ,45,男,自由民主党,自由民主党,true,前,自由民主党北海道第九選挙区支部長,108747,true,100.000,false,91
h29-10-22,北海道,9,3,false,落,松橋ちはる,松橋千春,まつはし,35,女,日本共産党,日本共産党,true,新,日本共産党９区国政・道政対策委員長,35543,false,,false,91
h29-10-22,北海道,10,1,true,当,いなつ久,稲津久,ひさし,59,男,公明党,公明党,true,前,政党役員,96795,false,,false,92
h29-10-22,北海道,10,2,false,落,神谷ひろし,神谷裕,かみや,49,男,立憲民主党,立憲民主党,true,新,政党役員,96282,true,99.470,false,92
h29-10-22,北海道,11,1,true,当,石川かおり,石川香織,いしかわ,33,女,立憲民主党,立憲民主党,true,新,無職,98214,true,100.000,false,92
h29-10-22,北海道,11,2,false,落,中川ゆうこ,中川郁子,なかがわ,58,女,自由民主党,自由民主党,true,前,自由民主党北海道第十一選挙区支部長,82096,true,83.588,false,92
h29-10-22,北海道,12,1,true,当,武部あらた,武部新,たけべ,47,男,自由民主党,自由民主党,true,前,選挙区支部長,97113,true,100.000,false,92
h29-10-22,北海道,12,2,false,落,水上みか,水上美華,みずかみ,35,女,希望の党,希望の党,true,新,政党役員,58422,true,60.158,false,92
h29-10-22,北海道,12,3,false,落,菅原まこと,菅原誠,すがわら,44,男,日本共産党,日本共産党,true,新,党北見地区委員長,23830,false,,false,92
h29-10-22,青森県,1,1,true,当,つしま淳,津島淳,じゅん,51,男,自由民主党,自由民主党,true,前,選挙区支部長,103177,true,100.000,false,92
h29-10-22,青森県,1,2,false,落,赤平ゆうと,赤平勇人,あかひら,27,男,日本共産党,日本共産党,true,新,政党役員,20497,false,,false,92
h29-10-22,青森県,1,3,false,落,ますた世喜男,升田世喜男,せきお,60,男,希望の党,希望の党,true,前,希望の党幹事,64173,true,62.197,false,92
h29-10-22,青森県,2,1,false,落,工藤たけし,工藤武司,くどう,45,男,希望の党,希望の党,true,新,政党役員,56011,true,41.941,false,92
h29-10-22,青森県,2,2,false,落,奥本なおみ,奥本菜保巳,おくもと,57,女,日本共産党,日本共産党,true,新,政党役員,19004,false,,false,92
h29-10-22,青森県,2,3,true,当,大島理森,,おおしまただもり,71,男,自由民主党,自由民主党,true,前,農業,133545,true,100.000,false,92
h29-10-22,青森県,3,1,false,落,三国ゆうき,三國佑貴,みくに,32,男,（幸福実現党）,幸福実現党,false,新,団体役員,4115,false,,false,92
h29-10-22,青森県,3,2,true,当,木村次郎,,きむらじろう,49,男,自由民主党,自由民主党,true,新,無職,128740,true,100.000,false,92
h29-10-22,青森県,3,3,false,落,山内たかし,山内崇,やまうち,62,男,希望の党,希望の党,true,新,無職,51096,true,39.689,false,92
h29-10-22,青森県,3,4,false,落,高柳ひろあき,高柳博明,たかやなぎ,47,男,日本共産党,日本共産党,true,新,政党役員,16510,false,,false,92
h29-10-22,岩手県,1,1,false,落,高橋ひなこ,横田比奈子,たかはし,59,女,自由民主党,自由民主党,true,前,選挙区支部長,57381,true,65.552,false,92
h29-10-22,岩手県,1,2,false,落,吉田恭子,,よしだきょうこ,36,女,日本共産党,日本共産党,true,新,政党役員,21549,true,24.617,false,92
h29-10-22,岩手県,1,3,true,当,しなたけし,階猛,,51,男,希望の党,希望の党,true,前,政党役員,87534,true,100.000,false,92
