election_id,prefecture,district_no,deposit_forfeit_point,source_page
h29-10-22,北海道,1,26009.700,91
h29-10-22,北海道,2,25351.800,91
h29-10-22,北海道,3,26064.100,91
h29-10-22,北海道,4,22661.400,91
h29-10-22,北海道,5,28626.700,91
h29-10-22,北海道,6,25016.300,91
h29-10-22,北海道,7,14294.000,91
h29-10-22,北海道,8,22701.400,91
h29-10-22,北海道,9,23261.000,91
h29-10-22,北海道,10,19307.700,92
h29-10-22,北海道,11,18031.000,92
h29-10-22,北海道,12,17936.500,92
h29-10-22,青森県,1,18784.700,92
h29-10-22,青森県,2,20856.000,92
h29-10-22,青森県,3,20046.100,92
h29-10-22,岩手県,1,16646.400,92
h29-10-22,岩手県,2,22872.600,92
h29-10-22,岩手県,3,22680.000,92
h29-10-22,宮城県,1,21683.500,93
h29-10-22,宮城県,2,22180.200,93
h29-10-22,宮城県,3,15403.200,93
h29-10-22,宮城県,4,12541.000,93
h29-10-22,宮城県,5,13991.900,93
h29-10-22,宮城県,6,14450.900,93
h29-10-22,秋田県,1,14787.700,93
h29-10-22,秋田県,2,16164.000,93
h29-10-22,秋田県,3,21245.200,94
h29-10-22,山形県,1,18198.800,94
h29-10-22,山形県,2,21290.700,94
h29-10-22,山形県,3,19925.200,94
h29-10-22,福島県,1,24017.800,94
h29-10-22,福島県,2,18423.300,94
h29-10-22,福島県,3,16413.200,94
h29-10-22,福島県,4,15291.000,94
h29-10-22,福島県,5,16127.900,95
h29-10-22,茨城県,1,20830.800,95
h29-10-22,茨城県,2,17595.600,95
h29-10-22,茨城県,3,19824.000,95
h29-10-22,茨城県,4,14006.100,95
h29-10-22,茨城県,5,12757.500,95
h29-10-22,茨城県,6,22403.400,95
h29-10-22,茨城県,7,15864.400,96
h29-10-22,栃木県,1,21040.500,96
h29-10-22,栃木県,2,14047.600,96
h29-10-22,栃木県,3,12874.200,96
h29-10-22,栃木県,4,20420.200,96
h29-10-22,栃木県,5,14432.600,96
h29-10-22,群馬県,1,19002.800,96
h29-10-22,群馬県,2,15967.200,96
h29-10-22,群馬県,3,15090.200,97
h29-10-22,群馬県,4,15343.500,97
h29-10-22,群馬県,5,16852.300,97
h29-10-22,埼玉県,1,22758.500,97
h29-10-22,埼玉県,2,20970.100,97
h29-10-22,埼玉県,3,21312.300,97
h29-10-22,埼玉県,4,19855.300,97
h29-10-22,埼玉県,5,20749.300,98
h29-10-22,埼玉県,6,22769.000,98
h29-10-22,埼玉県,7,20587.300,98
h29-10-22,埼玉県,8,18765.700,98
h29-10-22,埼玉県,9,21023.600,98
h29-10-22,埼玉県,10,17806.300,98
h29-10-22,埼玉県,11,19034.700,98
h29-10-22,埼玉県,12,19238.400,99
h29-10-22,埼玉県,13,19920.200,99
h29-10-22,埼玉県,14,20711.900,99
h29-10-22,埼玉県,15,19942.500,99
h29-10-22,千葉県,1,20356.400,99
h29-10-22,千葉県,2,22325.300,99
h29-10-22,千葉県,3,16044.100,99
h29-10-22,千葉県,4,21988.700,100
h29-10-22,千葉県,5,21030.800,100
h29-10-22,千葉県,6,17545.000,100
h29-10-22,千葉県,7,21223.800,100
h29-10-22,千葉県,8,20533.500,100
h29-10-22,千葉県,9,19700.000,100
h29-10-22,千葉県,10,16641.200,100
h29-10-22,千葉県,11,17323.200,101
h29-10-22,千葉県,12,18954.100,101
h29-10-22,千葉県,13,20307.800,101
h29-10-22,東京都,1,23654.900,101
h29-10-22,東京都,2,24617.800,101
h29-10-22,東京都,3,24717.600,101
h29-10-22,東京都,4,23010.800,101
h29-10-22,東京都,5,24623.300,102
h29-10-22,東京都,6,24599.100,102
h29-10-22,東京都,7,23180.400,102
h29-10-22,東京都,8,25464.800,102
h29-10-22,東京都,9,24869.200,102
h29-10-22,東京都,10,24389.500,102
h29-10-22,東京都,11,23299.700,103
h29-10-22,東京都,12,21803.300,103
h29-10-22,東京都,13,21862.100,103
h29-10-22,東京都,14,22186.100,103
h29-10-22,東京都,15,22209.000,103
h29-10-22,東京都,16,20643.000,103
h29-10-22,東京都,17,22025.500,104
h29-10-22,東京都,18,23746.100,104
h29-10-22,東京都,19,23388.900,104
h29-10-22,東京都,20,21586.600,104
h29-10-22,東京都,21,22543.100,104
h29-10-22,東京都,22,25466.100,104
h29-10-22,東京都,23,24590.100,104
h29-10-22,東京都,24,24801.300,104
h29-10-22,東京都,25,21621.600,105
h29-10-22,神奈川県,1,21552.200,105
h29-10-22,神奈川県,2,21574.300,105
h29-10-22,神奈川県,3,20140.800,105
h29-10-22,神奈川県,4,19283.300,105
h29-10-22,神奈川県,5,23265.000,105
h29-10-22,神奈川県,6,19350.300,106
h29-10-22,神奈川県,7,21982.800,106
h29-10-22,神奈川県,8,22015.800,106
h29-10-22,神奈川県,9,17564.000,106
h29-10-22,神奈川県,10,22118.200,106
h29-10-22,神奈川県,11,19835.100,106
h29-10-22,神奈川県,12,20032.600,106
h29-10-22,神奈川県,13,22662.000,106
h29-10-22,神奈川県,14,22794.100,107
h29-10-22,神奈川県,15,23605.100,107
h29-10-22,神奈川県,16,23556.300,107
h29-10-22,神奈川県,17,22820.800,107
h29-10-22,神奈川県,18,21759.400,107
h29-10-22,新潟県,1,24109.000,107
h29-10-22,新潟県,2,18956.800,107
h29-10-22,新潟県,3,19461.300,107
h29-10-22,新潟県,4,20012.400,108
h29-10-22,新潟県,5,17724.500,108
h29-10-22,新潟県,6,18637.200,108
h29-10-22,富山県,1,12656.600,108
h29-10-22,富山県,2,12643.400,108
h29-10-22,富山県,3,22044.500,108
h29-10-22,石川県,1,18986.100,108
h29-10-22,石川県,2,18997.700,108
h29-10-22,石川県,3,16393.400,109
h29-10-22,福井県,1,20398.600,109
h29-10-22,福井県,2,14930.500,109
h29-10-22,山梨県,1,24132.200,109
h29-10-22,山梨県,2,17578.300,109
h29-10-22,長野県,1,24394.400,109
h29-10-22,長野県,2,22090.000,109
h29-10-22,長野県,3,24041.300,110
h29-10-22,長野県,4,15043.400,110
h29-10-22,長野県,5,18355.500,110
h29-10-22,岐阜県,1,16037.800,110
h29-10-22,岐阜県,2,15554.800,110
h29-10-22,岐阜県,3,22380.500,110
h29-10-22,岐阜県,4,21847.700,110
h29-10-22,岐阜県,5,17041.300,110
h29-10-22,静岡県,1,20584.900,111
h29-10-22,静岡県,2,22880.100,111
h29-10-22,静岡県,3,21998.600,111
h29-10-22,静岡県,4,17226.100,111
h29-10-22,静岡県,5,25074.000,111
h29-10-22,静岡県,6,23640.000,111
h29-10-22,静岡県,7,19673.100,111
h29-10-22,静岡県,8,20002.700,112
h29-10-22,愛知県,1,18071.100,112
h29-10-22,愛知県,2,19854.300,112
h29-10-22,愛知県,3,21042.600,112
h29-10-22,愛知県,4,16953.800,112
h29-10-22,愛知県,5,19591.100,112
h29-10-22,愛知県,6,22622.600,112
h29-10-22,愛知県,7,25549.200,112
h29-10-22,愛知県,8,23503.300,113
h29-10-22,愛知県,9,21981.600,113
h29-10-22,愛知県,10,22603.300,113
h29-10-22,愛知県,11,25036.100,113
h29-10-22,愛知県,12,26877.600,113
h29-10-22,愛知県,13,24564.100,113
h29-10-22,愛知県,14,17422.700,113
h29-10-22,愛知県,15,19136.600,113
h29-10-22,三重県,1,20362.900,114
h29-10-22,三重県,2,22729.800,114
h29-10-22,三重県,3,22887.800,114
h29-10-22,三重県,4,18429.800,114
h29-10-22,滋賀県,1,17820.100,114
h29-10-22,滋賀県,2,14606.100,114
h29-10-22,滋賀県,3,14224.400,114
h29-10-22,滋賀県,4,16762.700,114
h29-10-22,京都府,1,18617.800,115
h29-10-22,京都府,2,13441.600,115
h29-10-22,京都府,3,16453.700,115
h29-10-22,京都府,4,19617.900,115
h29-10-22,京都府,5,13922.600,115
h29-10-22,京都府,6,23731.300,115
h29-10-22,大阪府,1,18018.300,115
h29-10-22,大阪府,2,20830.100,116
h29-10-22,大阪府,3,15509.600,116
h29-10-22,大阪府,4,18935.400,116
h29-10-22,大阪府,5,17777.800,116
h29-10-22,大阪府,6,17058.800,116
h29-10-22,大阪府,7,18871.900,116
h29-10-22,大阪府,8,17063.500,116
h29-10-22,大阪府,9,22950.200,117
h29-10-22,大阪府,10,17720.900,117
h29-10-22,大阪府,11,20736.900,117
h29-10-22,大阪府,12,15900.200,117
h29-10-22,大阪府,13,18124.700,117
h29-10-22,大阪府,14,19315.100,117
h29-10-22,大阪府,15,18706.900,117
h29-10-22,大阪府,16,14311.500,117
h29-10-22,大阪府,17,15029.800,118
h29-10-22,大阪府,18,19643.200,118
h29-10-22,大阪府,19,14291.800,118
h29-10-22,兵庫県,1,18216.600,118
h29-10-22,兵庫県,2,17008.900,118
h29-10-22,兵庫県,3,15173.200,118
h29-10-22,兵庫県,4,20768.100,118
h29-10-22,兵庫県,5,21683.300,119
h29-10-22,兵庫県,6,22423.600,119
h29-10-22,兵庫県,7,21473.500,119
h29-10-22,兵庫県,8,14808.000,119
h29-10-22,兵庫県,9,17546.000,119
h29-10-22,兵庫県,10,15716.200,119
h29-10-22,兵庫県,11,16751.900,119
h29-10-22,兵庫県,12,15631.000,119
h29-10-22,奈良県,1,22190.600,120
h29-10-22,奈良県,2,20724.800,120
h29-10-22,奈良県,3,19853.100,120
h29-10-22,和歌山県,1,14400.000,120
h29-10-22,和歌山県,2,12986.300,120
h29-10-22,和歌山県,3,15009.600,120
h29-10-22,鳥取県,1,12725.400,120
h29-10-22,鳥取県,2,13641.000,120
h29-10-22,島根県,1,16079.800,121
h29-10-22,島根県,2,18184.600,121
h29-10-22,岡山県,1,16558.000,121
h29-10-22,岡山県,2,14305.200,121
h29-10-22,岡山県,3,15282.900,121
h29-10-22,岡山県,4,17935.900,121
h29-10-22,岡山県,5,14125.800,121
h29-10-22,広島県,1,14525.000,121
h29-10-22,広島県,2,20195.100,122
h29-10-22,広島県,3,17520.400,122
h29-10-22,広島県,4,14873.600,122
h29-10-22,広島県,5,12846.100,122
h29-10-22,広島県,6,16941.000,122
h29-10-22,広島県,7,18282.900,122
h29-10-22,山口県,1,19279.700,123
h29-10-22,山口県,2,15306.300,123
h29-10-22,山口県,3,14467.000,123
h29-10-22,山口県,4,14444.500,123
h29-10-22,徳島県,1,17534.500,123
h29-10-22,徳島県,2,11501.300,123
h29-10-22,香川県,1,16094.900,123
h29-10-22,香川県,2,14839.200,123
h29-10-22,香川県,3,11886.000,124
h29-10-22,愛媛県,1,17420.500,124
h29-10-22,愛媛県,2,12797.900,124
h29-10-22,愛媛県,3,13375.600,124
h29-10-22,愛媛県,4,14811.800,124
h29-10-22,高知県,1,15240.700,124
h29-10-22,高知県,2,16320.800,124
h29-10-22,福岡県,1,19886.800,124
h29-10-22,福岡県,2,22763.000,125
h29-10-22,福岡県,3,23127.100,125
h29-10-22,福岡県,4,18849.200,125
h29-10-22,福岡県,5,24514.800,125
h29-10-22,福岡県,6,19796.300,125
h29-10-22,福岡県,7,15962.000,125
h29-10-22,福岡県,8,18736.100,125
h29-10-22,福岡県,9,19979.700,125
h29-10-22,福岡県,10,19853.900,126
h29-10-22,福岡県,11,14628.600,126
h29-10-22,佐賀県,1,18954.500,126
h29-10-22,佐賀県,2,21294.400,126
h29-10-22,長崎県,1,18662.900,126
h29-10-22,長崎県,2,17067.300,126
h29-10-22,長崎県,3,14065.300,126
h29-10-22,長崎県,4,14549.500,126
h29-10-22,熊本県,1,21980.500,127
h29-10-22,熊本県,2,18117.100,127
h29-10-22,熊本県,3,17570.400,127
