election_id,tier,scope,block,prefecture,rate_male,rate_female,rate_total,prev_rate_male,prev_rate_female,prev_rate_total,diff_male,diff_female,diff_total,source_page
h29-10-22,smd,all,,北海道,60.85,59.82,60.30,57.90,55.00,56.35,2.95,4.82,3.95,11
h29-10-22,smd,all,,青森県,54.60,53.79,54.17,48.73,45.16,46.83,5.87,8.63,7.34,11
h29-10-22,smd,all,,岩手県,59.83,58.52,59.15,57.89,54.74,56.23,1.94,3.78,2.92,11
h29-10-22,smd,all,,宮城県,52.94,52.73,52.83,50.60,47.96,49.23,2.34,4.77,3.60,11
h29-10-22,smd,all,,秋田県,61.53,59.73,60.57,57.81,54.02,55.78,3.72,5.71,4.79,11
h29-10-22,smd,all,,山形県,65.36,62.89,64.07,61.55,56.97,59.15,3.81,5.92,4.92,11
h29-10-22,smd,all,,福島県,56.93,56.47,56.69,53.47,51.61,52.51,3.46,4.86,4.18,11
h29-10-22,smd,all,,茨城県,52.26,50.81,51.53,56.10,54.39,55.24,-3.84,-3.58,-3.71,11
h29-10-22,smd,all,,栃木県,52.63,50.69,51.65,51.60,48.63,50.10,1.03,2.06,1.55,11
h29-10-22,smd,all,,群馬県,52.76,51.21,51.97,52.87,50.61,51.72,-0.11,0.60,0.25,11
h29-10-22,smd,all,,埼玉県,51.96,50.92,51.44,52.97,50.98,51.97,-1.01,-0.06,-0.53,11
h29-10-22,smd,all,,千葉県,50.28,49.51,49.89,51.99,50.50,51.24,-1.71,-0.99,-1.35,11
h29-10-22,smd,all,,東京都,53.73,53.55,53.64,54.89,53.85,54.36,-1.16,-0.30,-0.72,11
h29-10-22,smd,all,,神奈川県,52.31,51.64,51.97,54.59,53.18,53.88,-2.28,-1.54,-1.91,11
h29-10-22,smd,all,,新潟県,63.92,61.30,62.56,55.43,50.20,52.71,8.49,11.10,9.85,11
h29-10-22,smd,all,,富山県,55.14,52.96,54.00,49.72,45.40,47.46,5.42,7.56,6.54,11
h29-10-22,smd,all,,石川県,58.86,57.52,58.16,51.05,47.45,49.16,7.81,10.07,9.00,11
h29-10-22,smd,all,,福井県,56.50,55.38,55.92,51.80,48.33,50.00,4.70,7.05,5.92,11
h29-10-22,smd,all,,山梨県,60.90,60.52,60.71,59.57,58.81,59.18,1.33,1.71,1.53,11
h29-10-22,smd,all,,長野県,61.34,59.51,60.40,57.24,53.83,55.48,4.10,5.68,4.92,11
h29-10-22,smd,all,,岐阜県,57.12,56.02,56.55,54.25,51.68,52.92,2.87,4.34,3.63,11
h29-10-22,smd,all,,静岡県,56.57,56.08,56.32,56.47,54.78,55.61,0.10,1.30,0.71,11
h29-10-22,smd,all,,愛知県,55.39,53.92,54.65,55.40,52.99,54.19,-0.01,0.93,0.46,11
h29-10-22,smd,all,,三重県,57.22,56.96,57.09,56.89,55.56,56.20,0.33,1.40,0.89,11
h29-10-22,smd,all,,滋賀県,56.85,55.81,56.32,55.18,52.47,53.79,1.67,3.34,2.53,11
h29-10-22,smd,all,,京都府,52.07,49.85,50.90,52.75,49.40,50.99,-0.68,0.45,-0.09,11
h29-10-22,smd,all,,大阪府,48.54,48.27,48.39,51.06,50.32,50.67,-2.52,-2.05,-2.28,11
h29-10-22,smd,all,,兵庫県,49.23,48.07,48.62,51.96,49.87,50.86,-2.73,-1.80,-2.24,11
h29-10-22,smd,all,,奈良県,56.59,54.84,55.66,57.20,54.19,55.60,-0.61,0.65,0.06,11
h29-10-22,smd,all,,和歌山県,53.69,52.32,52.96,51.99,50.23,51.05,1.70,2.09,1.91,11
h29-10-22,smd,all,,鳥取県,56.57,56.30,56.43,55.20,53.64,54.38,1.37,2.66,2.05,11
h29-10-22,smd,all,,島根県,61.39,59.96,60.64,60.56,58.07,59.24,0.83,1.89,1.40,11
h29-10-22,smd,all,,岡山県,50.41,49.81,50.09,51.38,49.90,50.60,-0.97,-0.09,-0.51,11
h29-10-22,smd,all,,広島県,50.61,49.76,50.17,50.80,49.30,50.02,-0.19,0.46,0.15,11
h29-10-22,smd,all,,山口県,54.96,55.46,55.23,53.29,52.88,53.07,1.67,2.58,2.16,11
h29-10-22,smd,all,,徳島県,47.08,45.93,46.47,48.20,46.35,47.22,-1.12,-0.42,-0.75,11
h29-10-22,smd,all,,香川県,53.34,52.85,53.08,51.49,49.72,50.56,1.85,3.13,2.52,11
h29-10-22,smd,all,,愛媛県,51.12,50.40,50.74,50.59,49.11,49.80,0.53,1.29,0.94,11
h29-10-22,smd,all,,高知県,51.28,52.38,51.87,50.71,51.21,50.98,0.57,1.17,0.89,11
h29-10-22,smd,all,,福岡県,53.05,53.54,53.31,49.23,48.44,48.81,3.82,5.10,4.50,11
h29-10-22,smd,all,,佐賀県,59.62,59.32,59.46,58.29,57.32,57.77,1.33,2.00,1.69,11
h29-10-22,smd,all,,長崎県,57.61,57.01,57.29,52.21,50.20,51.13,5.40,6.81,6.16,11
h29-10-22,smd,all,,熊本県,57.19,56.87,57.02,51.12,49.14,50.06,6.07,7.73,6.96,11
h29-10-22,smd,all,,大分県,57.05,56.93,56.98,56.68,55.61,56.11,0.37,1.32,0.87,11
h29-10-22,smd,all,,宮崎県,50.94,50.08,50.48,50.34,49.44,49.86,0.60,0.64,0.62,11
h29-10-22,smd,all,,鹿児島県,56.74,55.52,56.09,51.68,49.44,50.47,5.06,6.08,5.62,11
h29-10-22,smd,all,,沖縄県,55.81,56.92,56.38,52.89,51.86,52.36,2.92,5.06,4.02,11
h29-10-22,smd,all,,合計,54.08,53.31,53.68,53.66,51.72,52.66,0.42,1.59,1.02,11
h29-10-22,smd,overseas,,北海道,16.20,16.30,16.26,15.71,13.54,14.46,0.49,2.76,1.80,12
h29-10-22,smd,overseas,,青森県,15.72,8.17,10.75,14.97,10.00,11.70,0.75,-1.83,-0.95,12
h29-10-22,smd,overseas,,岩手県,21.15,12.11,15.64,18.03,8.36,12.27,3.12,3.75,3.37,12
h29-10-22,smd,overseas,,宮城県,19.12,14.02,16.00,14.73,10.45,12.20,4.39,3.57,3.80,12
h29-10-22,smd,overseas,,秋田県,10.06,11.97,11.21,12.36,12.40,12.39,-2.30,-0.43,-1.18,12
h29-10-22,smd,overseas,,山形県,17.25,12.50,14.52,11.94,9.77,10.71,5.31,2.73,3.81,12
h29-10-22,smd,overseas,,福島県,10.02,10.83,10.47,11.55,9.19,10.28,-1.53,1.64,0.19,12
h29-10-22,smd,overseas,,茨城県,20.89,19.16,19.94,22.38,16.08,19.09,-1.49,3.08,0.85,12
h29-10-22,smd,overseas,,栃木県,20.63,17.05,18.70,16.87,15.79,16.33,3.76,1.26,2.37,12
h29-10-22,smd,overseas,,群馬県,19.83,14.80,16.99,14.46,12.14,13.18,5.37,2.66,3.81,12
h29-10-22,smd,overseas,,埼玉県,26.96,22.43,24.55,23.31,19.63,21.44,3.65,2.80,3.11,12
h29-10-22,smd,overseas,,千葉県,26.81,20.95,23.80,25.95,19.97,23.00,0.86,0.98,0.80,12
h29-10-22,smd,overseas,,東京都,32.75,26.31,29.37,28.56,21.80,25.08,4.19,4.51,4.29,12
h29-10-22,smd,overseas,,神奈川県,28.54,22.06,25.19,25.47,18.06,21.82,3.07,4.00,3.37,12
h29-10-22,smd,overseas,,新潟県,18.91,13.87,15.62,18.37,14.02,15.67,0.54,-0.15,-0.05,12
h29-10-22,smd,overseas,,富山県,18.88,13.51,16.06,13.95,11.15,12.52,4.93,2.36,3.54,12
h29-10-22,smd,overseas,,石川県,20.75,15.87,17.67,16.76,12.73,14.29,3.99,3.14,3.38,12
h29-10-22,smd,overseas,,福井県,20.14,16.93,18.29,17.76,12.50,14.94,2.38,4.43,3.35,12
h29-10-22,smd,overseas,,山梨県,12.23,14.02,13.27,13.31,11.45,12.30,-1.08,2.57,0.97,12
h29-10-22,smd,overseas,,長野県,16.75,15.29,15.92,14.46,11.79,13.07,2.29,3.50,2.85,12
h29-10-22,smd,overseas,,岐阜県,18.93,16.85,17.73,16.91,15.54,16.14,2.02,1.31,1.59,12
h29-10-22,smd,overseas,,静岡県,19.54,15.83,17.55,18.64,14.13,16.36,0.90,1.70,1.19,12
h29-10-22,smd,overseas,,愛知県,22.32,18.90,20.57,17.93,15.47,16.73,4.39,3.43,3.84,12
h29-10-22,smd,overseas,,三重県,13.86,17.21,15.64,14.79,17.60,16.25,-0.93,-0.39,-0.61,12
h29-10-22,smd,overseas,,滋賀県,20.57,19.58,20.08,18.97,18.04,18.53,1.60,1.54,1.55,12
h29-10-22,smd,overseas,,京都府,25.68,23.30,24.35,21.42,20.62,20.98,4.26,2.68,3.37,12
h29-10-22,smd,overseas,,大阪府,24.63,19.93,21.96,22.38,17.65,19.80,2.25,2.28,2.16,12
h29-10-22,smd,overseas,,兵庫県,26.49,21.85,23.85,22.48,19.61,20.93,4.01,2.24,2.92,12
h29-10-22,smd,overseas,,奈良県,24.31,18.45,20.94,19.64,18.44,18.99,4.67,0.01,1.95,12
h29-10-22,smd,overseas,,和歌山県,11.69,10.59,11.00,12.98,7.97,9.98,-1.29,2.62,1.02,12
h29-10-22,smd,overseas,,鳥取県,19.35,16.58,17.50,16.83,12.63,14.09,2.52,3.95,3.41,12
h29-10-22,smd,overseas,,島根県,21.93,16.59,18.46,14.05,15.60,15.04,7.88,0.99,3.42,12
h29-10-22,smd,overseas,,岡山県,17.23,15.78,16.35,16.19,14.95,15.45,1.04,0.83,0.90,12
h29-10-22,smd,overseas,,広島県,15.42,13.09,14.02,14.21,10.33,11.91,1.21,2.76,2.11,12
h29-10-22,smd,overseas,,山口県,13.81,10.36,11.71,14.99,10.83,12.51,-1.18,-0.47,-0.80,12
h29-10-22,smd,overseas,,徳島県,15.97,11.28,13.06,12.98,9.50,10.88,2.99,1.78,2.18,12
h29-10-22,smd,overseas,,香川県,14.55,13.07,13.69,18.67,10.17,13.99,-4.12,2.90,-0.30,12
h29-10-22,smd,overseas,,愛媛県,11.11,10.96,11.02,12.04,8.67,10.16,-0.93,2.29,0.86,12
h29-10-22,smd,overseas,,高知県,9.22,5.76,7.18,6.96,6.28,6.57,2.26,-0.52,0.61,12
h29-10-22,smd,overseas,,福岡県,16.62,16.03,16.26,13.66,11.70,12.48,2.96,4.33,3.78,12
h29-10-22,smd,overseas,,佐賀県,10.97,12.53,11.91,9.52,10.56,10.13,1.45,1.97,1.78,12
h29-10-22,smd,overseas,,長崎県,12.58,9.35,10.49,11.14,7.45,8.80,1.44,1.90,1.69,12
h29-10-22,smd,overseas,,熊本県,5.07,8.35,7.00,5.51,6.46,6.05,-0.44,1.89,0.95,12
h29-10-22,smd,overseas,,大分県,14.69,14.52,14.58,18.62,14.10,15.82,-3.93,0.42,-1.24,12
h29-10-22,smd,overseas,,宮崎県,10.53,11.80,11.33,14.03,9.44,11.19,-3.50,2.36,0.14,12
h29-10-22,smd,overseas,,鹿児島県,9.44,10.07,9.81,9.46,8.24,8.76,-0.02,1.83,1.05,12
h29-10-22,smd,overseas,,沖縄県,3.12,3.74,3.48,3.33,3.63,3.50,-0.21,0.11,-0.02,12
h29-10-22,smd,overseas,,合計,23.81,19.00,21.16,21.13,16.11,18.46,2.68,2.89,2.70,12
h29-10-22,pr,all,北海道,北海道,60.84,59.82,60.29,57.88,55.00,56.34,2.96,4.82,3.95,15
h29-10-22,pr,all,東北,青森県,54.60,53.78,54.16,48.72,45.15,46.81,5.88,8.63,7.35,15
h29-10-22,pr,all,東北,岩手県,59.82,58.52,59.14,57.88,54.73,56.22,1.94,3.79,2.92,15
h29-10-22,pr,all,東北,宮城県,52.94,52.72,52.83,50.54,47.90,49.17,2.40,4.82,3.66,15
h29-10-22,pr,all,東北,秋田県,61.52,59.73,60.57,57.80,53.97,55.75,3.72,5.76,4.82,15
h29-10-22,pr,all,東北,山形県,65.34,62.87,64.05,61.53,56.95,59.13,3.81,5.92,4.92,15
h29-10-22,pr,all,東北,福島県,56.93,56.46,56.69,53.47,51.60,52.51,3.46,4.86,4.18,15
h29-10-22,pr,all,東北,計,57.53,56.59,57.04,54.15,51.10,52.55,3.38,5.49,4.49,15
h29-10-22,pr,all,北関東,茨城県,52.26,50.81,51.53,56.10,54.38,55.24,-3.84,-3.57,-3.71,15
h29-10-22,pr,all,北関東,栃木県,52.63,50.69,51.65,51.59,48.64,50.10,1.04,2.05,1.55,15
h29-10-22,pr,all,北関東,群馬県,52.76,51.20,51.97,52.86,50.61,51.71,-0.10,0.59,0.26,15
h29-10-22,pr,all,北関東,埼玉県,51.96,50.92,51.44,52.96,50.97,51.97,-1.00,-0.05,-0.53,15
h29-10-22,pr,all,北関東,計,52.22,50.90,51.56,53.41,51.31,52.35,-1.19,-0.41,-0.79,15
h29-10-22,pr,all,南関東,千葉県,50.28,49.51,49.89,51.97,50.49,51.23,-1.69,-0.98,-1.34,15
h29-10-22,pr,all,南関東,神奈川県,52.31,51.63,51.97,54.58,53.18,53.88,-2.27,-1.55,-1.91,15
h29-10-22,pr,all,南関東,山梨県,60.89,60.52,60.70,59.56,58.80,59.17,1.33,1.72,1.53,15
h29-10-22,pr,all,南関東,計,51.96,51.28,51.62,53.83,52.44,53.13,-1.87,-1.16,-1.51,15
h29-10-22,pr,all,東京都,東京都,53.72,53.55,53.63,54.88,53.85,54.36,-1.16,-0.30,-0.73,15
h29-10-22,pr,all,北陸信越,新潟県,63.91,61.29,62.55,55.42,50.19,52.70,8.49,11.10,9.85,15
h29-10-22,pr,all,北陸信越,富山県,55.13,52.95,53.99,49.72,45.39,47.45,5.41,7.56,6.54,15
h29-10-22,pr,all,北陸信越,石川県,58.86,57.51,58.16,51.05,47.44,49.16,7.81,10.07,9.00,15
h29-10-22,pr,all,北陸信越,福井県,56.49,55.38,55.92,51.80,48.33,49.99,4.69,7.05,5.93,15
h29-10-22,pr,all,北陸信越,長野県,61.33,59.51,60.39,57.24,53.82,55.47,4.09,5.69,4.92,15
h29-10-22,pr,all,北陸信越,計,60.35,58.37,59.32,54.07,49.89,51.90,6.28,8.48,7.42,15
h29-10-22,pr,all,東海,岐阜県,57.12,56.02,56.55,54.25,51.68,52.91,2.87,4.34,3.64,15
h29-10-22,pr,all,東海,静岡県,56.56,56.07,56.31,56.46,54.77,55.60,0.10,1.30,0.71,15
h29-10-22,pr,all,東海,愛知県,55.39,53.92,54.65,55.39,52.99,54.19,0.00,0.93,0.46,15
h29-10-22,pr,all,東海,三重県,57.22,56.96,57.09,56.88,55.55,56.20,0.34,1.41,0.89,15
h29-10-22,pr,all,東海,計,56.13,55.13,55.62,55.69,53.58,54.62,0.44,1.55,1.00,15
h29-10-22,pr,all,近畿,滋賀県,56.85,55.81,56.32,55.17,52.47,53.78,1.68,3.34,2.54,15
h29-10-22,pr,all,近畿,京都府,52.06,49.85,50.89,52.74,49.40,50.98,-0.68,0.45,-0.09,15
h29-10-22,pr,all,近畿,大阪府,48.53,48.26,48.39,51.05,50.32,50.67,-2.52,-2.06,-2.28,15
h29-10-22,pr,all,近畿,兵庫県,49.22,48.07,48.62,51.95,49.87,50.85,-2.73,-1.80,-2.23,15
h29-10-22,pr,all,近畿,奈良県,56.59,54.84,55.66,57.19,54.18,55.59,-0.60,0.66,0.07,15
h29-10-22,pr,all,近畿,和歌山県,53.69,52.31,52.95,51.98,50.23,51.05,1.71,2.08,1.90,15
h29-10-22,pr,all,近畿,計,50.50,49.55,50.00,52.24,50.49,51.32,-1.74,-0.94,-1.32,15
h29-10-22,pr,all,中国,鳥取県,56.57,56.30,56.42,55.19,53.63,54.37,1.38,2.67,2.05,15
h29-10-22,pr,all,中国,島根県,61.39,59.95,60.63,60.55,58.06,59.23,0.84,1.89,1.40,15
h29-10-22,pr,all,中国,岡山県,50.41,49.80,50.09,51.38,49.90,50.60,-0.97,-0.10,-0.51,15
h29-10-22,pr,all,中国,広島県,50.60,49.76,50.17,50.80,49.30,50.01,-0.20,0.46,0.16,15
h29-10-22,pr,all,中国,山口県,54.96,55.46,55.22,53.28,52.87,53.06,1.68,2.59,2.16,15
h29-10-22,pr,all,中国,計,52.83,52.34,52.58,52.67,51.33,51.96,0.16,1.01,0.62,15
h29-10-22,pr,all,四国,徳島県,47.07,45.92,46.46,48.18,46.34,47.20,-1.11,-0.42,-0.74,15
