election_id,kind,section,status,party,male,female,total,dual_male,dual_female,dual_total,source_page
h29-10-22,winners,smd,新,自由民主党,8,1,9,,,,17
h29-10-22,winners,smd,新,立憲民主党,1,2,3,,,,17
h29-10-22,winners,smd,新,希望の党,,1,1,,,,17
h29-10-22,winners,smd,新,公明党,,,,,,,17
h29-10-22,winners,smd,新,日本共産党,,,,,,,17
h29-10-22,winners,smd,新,日本維新の会,,,,,,,17
h29-10-22,winners,smd,前,自由民主党,194,11,205,,,,17
h29-10-22,winners,smd,前,立憲民主党,9,3,12,,,,17
h29-10-22,winners,smd,前,希望の党,14,,14,,,,17
h29-10-22,winners,smd,前,公明党,8,,8,,,,17
h29-10-22,winners,smd,前,日本共産党,1,,1,,,,17
h29-10-22,winners,smd,前,日本維新の会,3,,3,,,,17
h29-10-22,winners,smd,元,自由民主党,1,,1,,,,17
h29-10-22,winners,smd,元,立憲民主党,2,,2,,,,17
h29-10-22,winners,smd,元,希望の党,3,,3,,,,17
h29-10-22,winners,smd,元,公明党,,,,,,,17
h29-10-22,winners,smd,元,日本共産党,,,,,,,17
h29-10-22,winners,smd,元,日本維新の会,,,,,,,17
h29-10-22,winners,smd,計,自由民主党,203,12,215,,,,17
h29-10-22,winners,smd,計,立憲民主党,12,5,17,,,,17
h29-10-22,winners,smd,計,希望の党,17,1,18,,,,17
h29-10-22,winners,smd,計,公明党,8,,8,,,,17
h29-10-22,winners,smd,計,日本共産党,1,,1,,,,17
h29-10-22,winners,smd,計,日本維新の会,3,,3,,,,17
h29-10-22,winners,pr,新,自由民主党,10,,10,,,,17
h29-10-22,winners,pr,新,立憲民主党,13,7,20,,,,17
h29-10-22,winners,pr,新,希望の党,8,,8,,,,17
h29-10-22,winners,pr,新,公明党,1,1,2,,,,17
h29-10-22,winners,pr,新,日本共産党,,,,,,,17
h29-10-22,winners,pr,新,日本維新の会,1,1,2,,,,17
h29-10-22,winners,pr,前,自由民主党,45,7,52,,,,17
h29-10-22,winners,pr,前,立憲民主党,3,,3,,,,17
h29-10-22,winners,pr,前,希望の党,16,1,17,,,,17
h29-10-22,winners,pr,前,公明党,16,3,19,,,,17
h29-10-22,winners,pr,前,日本共産党,8,3,11,,,,17
h29-10-22,winners,pr,前,日本維新の会,5,,5,,,,17
h29-10-22,winners,pr,元,自由民主党,3,1,4,,,,17
h29-10-22,winners,pr,元,立憲民主党,14,,14,,,,17
h29-10-22,winners,pr,元,希望の党,7,,7,,,,17
h29-10-22,winners,pr,元,公明党,,,,,,,17
h29-10-22,winners,pr,元,日本共産党,,,,,,,17
h29-10-22,winners,pr,元,日本維新の会,1,,1,,,,17
h29-10-22,winners,pr,計,自由民主党,58,8,66,,,,17
h29-10-22,winners,pr,計,立憲民主党,30,7,37,,,,17
h29-10-22,winners,pr,計,希望の党,31,1,32,,,,17
h29-10-22,winners,pr,計,公明党,17,4,21,,,,17
h29-10-22,winners,pr,計,日本共産党,8,3,11,,,,17
h29-10-22,winners,pr,計,日本維新の会,7,1,8,,,,17
h29-10-22,winners,total,新,自由民主党,18,1,19,,,,17
h29-10-22,winners,total,新,立憲民主党,14,9,23,,,,17
h29-10-22,winners,total,新,希望の党,8,1,9,,,,17
h29-10-22,winners,total,新,公明党,1,1,2,,,,17
h29-10-22,winners,total,新,日本共産党,,,,,,,17
h29-10-22,winners,total,新,日本維新の会,1,1,2,,,,17
h29-10-22,winners,total,前,自由民主党,239,18,257,,,,17
h29-10-22,winners,total,前,立憲民主党,12,3,15,,,,17
h29-10-22,winners,total,前,希望の党,30,1,31,,,,17
h29-10-22,winners,total,前,公明党,24,3,27,,,,17
h29-10-22,winners,total,前,日本共産党,9,3,12,,,,17
h29-10-22,winners,total,前,日本維新の会,8,,8,,,,17
h29-10-22,winners,total,元,自由民主党,4,1,5,,,,17
h29-10-22,winners,total,元,立憲民主党,16,,16,,,,17
h29-10-22,winners,total,元,希望の党,10,,10,,,,17
h29-10-22,winners,total,元,公明党,,,,,,,17
h29-10-22,winners,total,元,日本共産党,,,,,,,17
h29-10-22,winners,total,元,日本維新の会,1,,1,,,,17
h29-10-22,winners,total,計,自由民主党,261,20,281,,,,17
h29-10-22,winners,total,計,立憲民主党,42,12,54,,,,17
h29-10-22,winners,total,計,希望の党,48,2,50,,,,17
h29-10-22,winners,total,計,公明党,25,4,29,,,,17
h29-10-22,winners,total,計,日本共産党,9,3,12,,,,17
h29-10-22,winners,total,計,日本維新の会,10,1,11,,,,17
h29-10-22,winners,smd,新,社会民主党,,,,,,,18
