election_id,kind,prefecture,seats,party,new,incumbent,former,total,source_page
h29-10-22,winners,北海道,12,自由民主党,,6,,6,20
h29-10-22,winners,北海道,12,立憲民主党,2,2,,4,20
h29-10-22,winners,北海道,12,希望の党,,,,,20
h29-10-22,winners,北海道,12,公明党,,1,,1,20
h29-10-22,winners,北海道,12,日本共産党,,,,,20
h29-10-22,winners,北海道,12,日本維新の会,,,,,20
h29-10-22,winners,北海道,12,社会民主党,,,,,20
h29-10-22,winners,青森県,3,自由民主党,1,2,,3,20
h29-10-22,winners,青森県,3,立憲民主党,,,,,20
h29-10-22,winners,青森県,3,希望の党,,,,,20
h29-10-22,winners,青森県,3,公明党,,,,,20
h29-10-22,winners,青森県,3,日本共産党,,,,,20
h29-10-22,winners,青森県,3,日本維新の会,,,,,20
h29-10-22,winners,青森県,3,社会民主党,,,,,20
h29-10-22,winners,岩手県,3,自由民主党,,1,,1,20
h29-10-22,winners,岩手県,3,立憲民主党,,,,,20
h29-10-22,winners,岩手県,3,希望の党,,1,,1,20
h29-10-22,winners,岩手県,3,公明党,,,,,20
h29-10-22,winners,岩手県,3,日本共産党,,,,,20
h29-10-22,winners,岩手県,3,日本維新の会,,,,,20
h29-10-22,winners,岩手県,3,社会民主党,,,,,20
h29-10-22,winners,宮城県,6,自由民主党,,5,,5,20
h29-10-22,winners,宮城県,6,立憲民主党,,,,,20
h29-10-22,winners,宮城県,6,希望の党,,,,,20
h29-10-22,winners,宮城県,6,公明党,,,,,20
h29-10-22,winners,宮城県,6,日本共産党,,,,,20
h29-10-22,winners,宮城県,6,日本維新の会,,,,,20
h29-10-22,winners,宮城県,6,社会民主党,,,,,20
h29-10-22,winners,秋田県,3,自由民主党,,3,,3,20
h29-10-22,winners,秋田県,3,立憲民主党,,,,,20
h29-10-22,winners,秋田県,3,希望の党,,,,,20
h29-10-22,winners,秋田県,3,公明党,,,,,20
h29-10-22,winners,秋田県,3,日本共産党,,,,,20
h29-10-22,winners,秋田県,3,日本維新の会,,,,,20
h29-10-22,winners,秋田県,3,社会民主党,,,,,20
