election_id,tier,block,prefecture,total_ballots,valid_votes,invalid_votes,invalid_rate_pct,source_page
r03-10-31,smd,,北海道,2636204,2583135,53069,2.01,38
r03-10-31,smd,,青森県,571262,560702,10560,1.85,38
r03-10-31,smd,,岩手県,628035,617484,10551,1.68,38
r03-10-31,smd,,宮城県,1075861,1053036,22825,2.12,38
r03-10-31,smd,,秋田県,489794,478968,10826,2.21,38
r03-10-31,smd,,山形県,582644,575272,7372,1.27,38
r03-10-31,smd,,福島県,912728,896003,16725,1.83,38
r03-10-31,smd,,茨城県,1268926,1243174,25752,2.03,38
r03-10-31,smd,,栃木県,862419,841967,20452,2.37,38
r03-10-31,smd,,群馬県,869815,843720,26095,3.00,38
r03-10-31,smd,,埼玉県,3317951,3240853,77098,2.32,38
r03-10-31,smd,,千葉県,2824829,2747163,77666,2.75,38
r03-10-31,smd,,東京都,6571293,6366478,204815,3.12,38
r03-10-31,smd,,神奈川県,4336093,4231048,105045,2.42,38
r03-10-31,smd,,新潟県,1184821,1163974,20847,1.76,38
r03-10-31,smd,,富山県,489990,475095,14895,3.04,38
r03-10-31,smd,,石川県,539933,525145,14788,2.74,38
r03-10-31,smd,,福井県,368450,359705,8745,2.37,38
r03-10-31,smd,,山梨県,415931,408878,7053,1.70,38
r03-10-31,smd,,長野県,1032337,1013706,18631,1.80,38
r03-10-31,smd,,岐阜県,961000,943040,17960,1.87,38
r03-10-31,smd,,静岡県,1670385,1647854,22531,1.35,38
r03-10-31,smd,,愛知県,3426397,3341514,84883,2.48,38
r03-10-31,smd,,三重県,830813,817771,13042,1.57,38
r03-10-31,smd,,滋賀県,661037,648310,12727,1.93,38
r03-10-31,smd,,京都府,1185507,1160229,25278,2.13,38
r03-10-31,smd,,大阪府,4111549,3964912,146637,3.57,38
r03-10-31,smd,,兵庫県,2482281,2406883,75398,3.04,38
r03-10-31,smd,,奈良県,670651,646617,24034,3.58,38
r03-10-31,smd,,和歌山県,466459,451043,15416,3.30,38
r03-10-31,smd,,鳥取県,270676,264378,6298,2.33,38
r03-10-31,smd,,島根県,344683,338508,6175,1.79,38
r03-10-31,smd,,岡山県,799032,783253,15779,1.97,38
r03-10-31,smd,,広島県,1211623,1187376,24247,2.00,38
r03-10-31,smd,,山口県,566586,553852,12734,2.25,38
r03-10-31,smd,,徳島県,335420,327948,7472,2.23,38
r03-10-31,smd,,香川県,455492,444220,11272,2.47,38
r03-10-31,smd,,愛媛県,627478,614479,12999,2.07,38
r03-10-31,smd,,高知県,342924,338183,4741,1.38,38
r03-10-31,smd,,福岡県,2203399,2139326,64073,2.91,38
r03-10-31,smd,,佐賀県,394663,389603,5060,1.28,38
r03-10-31,smd,,長崎県,633673,619169,14504,2.29,38
r03-10-31,smd,,熊本県,820439,801572,18867,2.30,38
r03-10-31,smd,,大分県,546818,533333,13485,2.47,38
r03-10-31,smd,,宮崎県,483904,476173,7731,1.60,38
r03-10-31,smd,,鹿児島県,772929,760639,12290,1.59,38
r03-10-31,smd,,沖縄県,645126,631342,13784,2.14,38
r03-10-31,smd,,合計,58900260,57457033,1443227,2.45,38
