election_id,tier,period,party,votes,share_pct,source_page
r03-10-31,smd,current,自由民主党,27626235.498,48.08,27
r03-10-31,smd,current,立憲民主党,17215621.450,29.96,27
r03-10-31,smd,current,公明党,872931.000,1.52,27
r03-10-31,smd,current,日本維新の会,4802793.000,8.36,27
r03-10-31,smd,current,日本共産党,2639631.000,4.59,27
r03-10-31,smd,current,国民民主党,1246812.000,2.17,27
r03-10-31,smd,current,ＮＨＫと裁判してる党弁護士法７２条違反で,150542.180,0.26,27
r03-10-31,smd,previous,自由民主党,26500776.635,47.82,27
r03-10-31,smd,previous,立憲民主党,,,27
r03-10-31,smd,previous,公明党,832453.000,1.50,27
r03-10-31,smd,previous,日本維新の会,1765053.396,3.18,27
r03-10-31,smd,previous,日本共産党,4998932.309,9.02,27
r03-10-31,smd,previous,国民民主党,,,27
r03-10-31,smd,previous,ＮＨＫと裁判してる党弁護士法７２条違反で,,,27
r03-10-31,smd,diff,自由民主党,1125458.863,4.25,27
r03-10-31,smd,diff,立憲民主党,17215621.450,,27
r03-10-31,smd,diff,公明党,40478.000,4.86,27
r03-10-31,smd,diff,日本維新の会,3037739.604,172.10,27
r03-10-31,smd,diff,日本共産党,-2359301.309,-47.20,27
r03-10-31,smd,diff,国民民主党,1246812.000,,27
r03-10-31,smd,diff,ＮＨＫと裁判してる党弁護士法７２条違反で,150542.180,,27
r03-10-31,smd,current,れいわ新選組,248280.000,0.43,27
r03-10-31,smd,current,社会民主党,313193.000,0.55,27
r03-10-31,smd,current,立憲民主党,,,27
r03-10-31,smd,current,希望の党,,,27
r03-10-31,smd,previous,れいわ新選組,,,27
r03-10-31,smd,previous,社会民主党,634770.000,1.15,27
r03-10-31,smd,previous,立憲民主党,4726326.078,8.53,27
r03-10-31,smd,previous,希望の党,11437601.615,20.64,27
r03-10-31,smd,diff,れいわ新選組,248280.000,,27
r03-10-31,smd,diff,社会民主党,-321577.000,-50.66,27
r03-10-31,smd,diff,立憲民主党,-4726326.078,-100.00,27
r03-10-31,smd,diff,希望の党,-11437601.615,-100.00,27
r03-10-31,smd,current,諸派,71826.000,0.13,28
r03-10-31,smd,current,無所属,2269167.814,3.95,28
r03-10-31,smd,current,__TOTAL__,57457032.942,100.00,28
r03-10-31,smd,previous,諸派,211251.998,0.38,28
r03-10-31,smd,previous,無所属,4315027.920,7.79,28
r03-10-31,smd,previous,__TOTAL__,55422192.951,100.00,28
r03-10-31,smd,diff,諸派,-139425.998,-66.00,28
r03-10-31,smd,diff,無所属,-2045860.106,-47.41,28
r03-10-31,smd,diff,__TOTAL__,2034839.991,3.67,28
