election_id,block,party,votes,seats,seats_male,seats_female,source_page
r03-10-31,北海道,社会民主党,41248.000,0,0,0,51
r03-10-31,北海道,公明党,294371.000,1,1,0,51
r03-10-31,北海道,立憲民主党,682912.582,3,2,1,51
r03-10-31,北海道,国民民主党,73621.234,0,0,0,51
r03-10-31,北海道,自由民主党,863300.000,4,2,2,52
r03-10-31,北海道,日本共産党,207189.000,0,0,0,52
r03-10-31,北海道,日本維新の会,215344.000,0,0,0,52
r03-10-31,北海道,れいわ新選組,102086.000,0,0,0,52
r03-10-31,北海道,支持政党なし,46142.000,0,0,0,53
r03-10-31,北海道,ＮＨＫと裁判してる党弁護士法７２条違反で,42916.000,0,0,0,53
r03-10-31,東北,社会民主党,101442.000,0,0,0,54
r03-10-31,東北,立憲民主党,991504.731,4,3,1,54
r03-10-31,東北,日本共産党,292830.000,1,0,1,54
r03-10-31,東北,自由民主党,1628233.000,6,6,0,54
r03-10-31,東北,日本維新の会,258690.000,1,1,0,55
r03-10-31,東北,国民民主党,195754.044,0,0,0,55
r03-10-31,東北,れいわ新選組,143265.000,0,0,0,55
r03-10-31,東北,公明党,456287.000,1,1,0,55
r03-10-31,東北,ＮＨＫと裁判してる党弁護士法７２条違反で,52664.000,0,0,0,56
r03-10-31,北関東,自由民主党,2172065.000,7,6,1,57
r03-10-31,北関東,日本共産党,444115.000,1,1,0,57
r03-10-31,北関東,立憲民主党,1391148.629,5,4,1,57
r03-10-31,北関東,公明党,823930.000,3,3,0,57
r03-10-31,北関東,日本維新の会,617531.000,2,2,0,58
r03-10-31,北関東,れいわ新選組,239592.000,0,0,0,58
r03-10-31,北関東,社会民主党,97963.000,0,0,0,58
r03-10-31,北関東,国民民主党,298056.173,1,1,0,58
r03-10-31,北関東,ＮＨＫと裁判してる党弁護士法７２条違反で,87702.000,0,0,0,59
r03-10-31,南関東,社会民主党,124447.000,0,0,0,60
r03-10-31,南関東,れいわ新選組,302675.000,1,1,0,60
r03-10-31,南関東,日本共産党,534493.000,1,1,0,60
r03-10-31,南関東,立憲民主党,1651562.002,5,5,0,60
r03-10-31,南関東,公明党,850667.000,2,1,1,61
r03-10-31,南関東,国民民主党,384481.849,1,1,0,61
r03-10-31,南関東,自由民主党,2590787.000,9,9,0,61
r03-10-31,南関東,日本維新の会,863897.000,3,3,0,61
r03-10-31,南関東,ＮＨＫと裁判してる党弁護士法７２条違反で,111298.000,0,0,0,62
r03-10-31,東京都,自由民主党,2000084.000,6,6,0,63
r03-10-31,東京都,社会民主党,92995.000,0,0,0,63
r03-10-31,東京都,国民民主党,306179.757,0,0,0,63
r03-10-31,東京都,日本維新の会,858577.000,2,2,0,63
r03-10-31,東京都,日本第一党,33661.000,0,0,0,64
r03-10-31,東京都,れいわ新選組,360387.000,1,1,0,64
r03-10-31,東京都,公明党,715450.000,2,2,0,64
r03-10-31,東京都,新党やまと,16970.000,0,0,0,64
r03-10-31,東京都,日本共産党,670340.000,2,2,0,65
r03-10-31,東京都,立憲民主党,1293281.168,4,3,1,65
r03-10-31,東京都,政権交代によるコロナ対策強化新党,6620.000,0,0,0,65
r03-10-31,東京都,ＮＨＫと裁判してる党弁護士法７２条違反で,92353.000,0,0,0,65
r03-10-31,北陸信越,国民民主党,133599.732,0,0,0,66
r03-10-31,北陸信越,立憲民主党,773076.099,3,3,0,66
r03-10-31,北陸信越,社会民主党,71185.000,0,0,0,66
r03-10-31,北陸信越,公明党,322535.000,1,1,0,66
r03-10-31,北陸信越,日本維新の会,361476.000,1,1,0,67
r03-10-31,北陸信越,日本共産党,225551.000,0,0,0,67
r03-10-31,北陸信越,自由民主党,1468380.000,6,6,0,67
r03-10-31,北陸信越,れいわ新選組,111281.000,0,0,0,67
r03-10-31,北陸信越,ＮＨＫと裁判してる党弁護士法７２条違反で,43529.000,0,0,0,68
r03-10-31,東海,国民民主党,382733.551,1,1,0,69
r03-10-31,東海,自由民主党,2515841.000,9,9,0,69
r03-10-31,東海,日本共産党,408606.000,1,0,1,69
r03-10-31,東海,立憲民主党,1485947.258,5,5,0,69
r03-10-31,東海,日本維新の会,694630.000,2,1,1,70
r03-10-31,東海,社会民主党,84220.000,0,0,0,70
r03-10-31,東海,れいわ新選組,273208.000,0,0,0,70
r03-10-31,東海,公明党,784976.000,3,3,0,70
r03-10-31,東海,ＮＨＫと裁判してる党弁護士法７２条違反で,98238.000,0,0,0,71
r03-10-31,近畿,れいわ新選組,292483.000,1,0,1,72
r03-10-31,近畿,国民民主党,303480.001,1,1,0,72
r03-10-31,近畿,立憲民主党,1090665.759,3,3,0,72
r03-10-31,近畿,社会民主党,100980.000,0,0,0,72
r03-10-31,近畿,公明党,1155683.000,3,1,2,73
r03-10-31,近畿,自由民主党,2407699.000,8,8,0,73
r03-10-31,近畿,日本共産党,736156.000,2,2,0,73
r03-10-31,近畿,日本維新の会,3180219.000,10,8,2,73
r03-10-31,近畿,ＮＨＫと裁判してる党弁護士法７２条違反で,111539.000,0,0,0,74
r03-10-31,中国,国民民主党,113898.513,0,0,0,75
r03-10-31,中国,公明党,436220.000,2,2,0,75
r03-10-31,中国,社会民主党,52638.000,0,0,0,75
r03-10-31,中国,れいわ新選組,94446.000,0,0,0,75
r03-10-31,中国,日本維新の会,286302.000,1,1,0,76
r03-10-31,中国,自由民主党,1352723.000,6,3,3,76
r03-10-31,中国,立憲民主党,573324.356,2,2,0,76
r03-10-31,中国,日本共産党,173117.000,0,0,0,76
r03-10-31,中国,ＮＨＫと裁判してる党弁護士法７２条違反で,36758.000,0,0,0,77
r03-10-31,四国,社会民主党,30249.000,0,0,0,78
r03-10-31,四国,公明党,233407.000,1,1,0,78
r03-10-31,四国,国民民主党,122082.207,0,0,0,78
r03-10-31,四国,自由民主党,664805.000,3,3,0,78
r03-10-31,四国,日本共産党,108021.000,0,0,0,79
r03-10-31,四国,日本維新の会,173826.000,1,0,1,79
r03-10-31,四国,立憲民主党,291870.696,1,1,0,79
r03-10-31,四国,れいわ新選組,52941.000,0,0,0,79
r03-10-31,四国,ＮＨＫと裁判してる党弁護士法７２条違反で,21285.000,0,0,0,80
r03-10-31,九州,公明党,1040756.000,4,3,1,81
r03-10-31,九州,立憲民主党,1266801.442,4,4,0,81
r03-10-31,九州,日本維新の会,540338.000,2,2,0,81
r03-10-31,九州,日本共産党,365658.000,1,1,0,81
r03-10-31,九州,れいわ新選組,243284.000,0,0,0,82
r03-10-31,九州,自由民主党,2250966.000,8,8,0,82
r03-10-31,九州,社会民主党,221221.000,0,0,0,82
r03-10-31,九州,国民民主党,279509.180,1,1,0,82
r03-10-31,九州,ＮＨＫと裁判してる党弁護士法７２条違反で,98506.000,0,0,0,83
