election_id,kind,section,status,party,male,female,total,dual_male,dual_female,dual_total,source_page
r06-10-27,candidacy,smd,新,自由民主党,37,6,43,,,,3
r06-10-27,candidacy,smd,新,立憲民主党,60,28,88,,,,3
r06-10-27,candidacy,smd,新,日本維新の会,87,24,111,,,,3
r06-10-27,candidacy,smd,新,公明党,1,1,2,,,,3
r06-10-27,candidacy,smd,新,日本共産党,134,74,208,,,,3
r06-10-27,candidacy,smd,新,国民民主党,22,7,29,,,,3
r06-10-27,candidacy,smd,前,自由民主党,197,18,215,,,,3
r06-10-27,candidacy,smd,前,立憲民主党,79,15,94,,,,3
r06-10-27,candidacy,smd,前,日本維新の会,38,5,43,,,,3
r06-10-27,candidacy,smd,前,公明党,9,,9,,,,3
r06-10-27,candidacy,smd,前,日本共産党,3,,3,,,,3
r06-10-27,candidacy,smd,前,国民民主党,6,1,7,,,,3
r06-10-27,candidacy,smd,元,自由民主党,7,1,8,,,,3
r06-10-27,candidacy,smd,元,立憲民主党,21,4,25,,,,3
r06-10-27,candidacy,smd,元,日本維新の会,9,,9,,,,3
r06-10-27,candidacy,smd,元,公明党,,,,,,,3
r06-10-27,candidacy,smd,元,日本共産党,2,,2,,,,3
r06-10-27,candidacy,smd,元,国民民主党,4,1,5,,,,3
r06-10-27,candidacy,smd,計,自由民主党,241,25,266,,,,3
r06-10-27,candidacy,smd,計,立憲民主党,160,47,207,,,,3
r06-10-27,candidacy,smd,計,日本維新の会,134,29,163,,,,3
r06-10-27,candidacy,smd,計,公明党,10,1,11,,,,3
r06-10-27,candidacy,smd,計,日本共産党,139,74,213,,,,3
r06-10-27,candidacy,smd,計,国民民主党,32,9,41,,,,3
r06-10-27,candidacy,pr,新,自由民主党,67,33,100,36,5,41,3
r06-10-27,candidacy,pr,新,立憲民主党,78,34,112,59,28,87,3
r06-10-27,candidacy,pr,新,日本維新の会,84,24,108,83,24,107,3
r06-10-27,candidacy,pr,新,公明党,17,4,21,,,,3
r06-10-27,candidacy,pr,新,日本共産党,6,15,21,3,6,9,3
r06-10-27,candidacy,pr,新,国民民主党,23,6,29,22,6,28,3
r06-10-27,candidacy,pr,前,自由民主党,161,17,178,147,16,163,3
r06-10-27,candidacy,pr,前,立憲民主党,78,15,93,77,15,92,3
r06-10-27,candidacy,pr,前,日本維新の会,24,5,29,24,5,29,3
r06-10-27,candidacy,pr,前,公明党,15,3,18,,,,3
r06-10-27,candidacy,pr,前,日本共産党,5,2,7,2,,2,3
r06-10-27,candidacy,pr,前,国民民主党,6,1,7,6,1,7,3
r06-10-27,candidacy,pr,元,自由民主党,5,2,7,4,1,5,3
r06-10-27,candidacy,pr,元,立憲民主党,25,4,29,21,4,25,3
r06-10-27,candidacy,pr,元,日本維新の会,9,,9,9,,9,3
r06-10-27,candidacy,pr,元,公明党,,,,,,,3
r06-10-27,candidacy,pr,元,日本共産党,4,3,7,1,,1,3
r06-10-27,candidacy,pr,元,国民民主党,4,2,6,4,2,6,3
r06-10-27,candidacy,pr,計,自由民主党,233,52,285,187,22,209,3
r06-10-27,candidacy,pr,計,立憲民主党,181,53,234,157,47,204,3
r06-10-27,candidacy,pr,計,日本維新の会,117,29,146,116,29,145,3
r06-10-27,candidacy,pr,計,公明党,32,7,39,,,,3
r06-10-27,candidacy,pr,計,日本共産党,15,20,35,6,6,12,3
r06-10-27,candidacy,pr,計,国民民主党,33,9,42,32,9,41,3
r06-10-27,candidacy,total,新,自由民主党,68,34,102,,,,3
r06-10-27,candidacy,total,新,立憲民主党,79,34,113,,,,3
r06-10-27,candidacy,total,新,日本維新の会,88,24,112,,,,3
r06-10-27,candidacy,total,新,公明党,18,5,23,,,,3
r06-10-27,candidacy,total,新,日本共産党,137,83,220,,,,3
r06-10-27,candidacy,total,新,国民民主党,23,7,30,,,,3
r06-10-27,candidacy,total,前,自由民主党,211,19,230,,,,3
r06-10-27,candidacy,total,前,立憲民主党,80,15,95,,,,3
r06-10-27,candidacy,total,前,日本維新の会,38,5,43,,,,3
r06-10-27,candidacy,total,前,公明党,24,3,27,,,,3
r06-10-27,candidacy,total,前,日本共産党,6,2,8,,,,3
r06-10-27,candidacy,total,前,国民民主党,6,1,7,,,,3
r06-10-27,candidacy,total,元,自由民主党,8,2,10,,,,3
r06-10-27,candidacy,total,元,立憲民主党,25,4,29,,,,3
r06-10-27,candidacy,total,元,日本維新の会,9,,9,,,,3
r06-10-27,candidacy,total,元,公明党,,,,,,,3
r06-10-27,candidacy,total,元,日本共産党,5,3,8,,,,3
r06-10-27,candidacy,total,元,国民民主党,4,1,5,,,,3
r06-10-27,candidacy,total,計,自由民主党,287,55,342,,,,3
r06-10-27,candidacy,total,計,立憲民主党,184,53,237,,,,3
r06-10-27,candidacy,total,計,日本維新の会,135,29,164,,,,3
r06-10-27,candidacy,total,計,公明党,42,8,50,,,,3
r06-10-27,candidacy,total,計,日本共産党,148,88,236,,,,3
r06-10-27,candidacy,total,計,国民民主党,33,9,42,,,,3
r06-10-27,candidacy,smd,新,れいわ新選組,6,7,13,,,,4
r06-10-27,candidacy,smd,新,社会民主党,5,4,9,,,,4
r06-10-27,candidacy,smd,新,参政党,50,34,84,,,,4
r06-10-27,candidacy,smd,新,みんなでつくる党,4,2,6,,,,4
r06-10-27,candidacy,smd,新,安楽死制度を考える会,,,,,,,4
r06-10-27,candidacy,smd,新,日本保守党,,,,,,,4
r06-10-27,candidacy,smd,前,れいわ新選組,1,2,3,,,,4
r06-10-27,candidacy,smd,前,社会民主党,1,,1,,,,4
r06-10-27,candidacy,smd,前,参政党,,,,,,,4
r06-10-27,candidacy,smd,前,みんなでつくる党,,,,,,,4
r06-10-27,candidacy,smd,前,安楽死制度を考える会,,,,,,,4
r06-10-27,candidacy,smd,前,日本保守党,,,,,,,4
r06-10-27,candidacy,smd,元,れいわ新選組,3,,3,,,,4
r06-10-27,candidacy,smd,元,社会民主党,,,,,,,4
r06-10-27,candidacy,smd,元,参政党,1,,1,,,,4
r06-10-27,candidacy,smd,元,みんなでつくる党,,,,,,,4
r06-10-27,candidacy,smd,元,安楽死制度を考える会,,,,,,,4
r06-10-27,candidacy,smd,元,日本保守党,,,,,,,4
r06-10-27,candidacy,smd,計,れいわ新選組,10,9,19,,,,4
r06-10-27,candidacy,smd,計,社会民主党,6,4,10,,,,4
r06-10-27,candidacy,smd,計,参政党,51,34,85,,,,4
r06-10-27,candidacy,smd,計,みんなでつくる党,4,2,6,,,,4
r06-10-27,candidacy,smd,計,安楽死制度を考える会,,,,,,,4
r06-10-27,candidacy,smd,計,日本保守党,,,,,,,4
r06-10-27,candidacy,pr,新,れいわ新選組,18,8,26,5,5,10,4
r06-10-27,candidacy,pr,新,社会民主党,11,5,16,5,4,9,4
r06-10-27,candidacy,pr,新,参政党,14,5,19,8,3,11,4
r06-10-27,candidacy,pr,新,みんなでつくる党,,1,1,,1,1,4
r06-10-27,candidacy,pr,新,安楽死制度を考える会,2,,2,,,,4
r06-10-27,candidacy,pr,新,日本保守党,21,5,26,,,,4
r06-10-27,candidacy,pr,前,れいわ新選組,1,2,3,1,2,3,4
r06-10-27,candidacy,pr,前,社会民主党,1,,1,1,,1,4
r06-10-27,candidacy,pr,前,参政党,1,,1,,,,4
r06-10-27,candidacy,pr,前,みんなでつくる党,,,,,,,4
r06-10-27,candidacy,pr,前,安楽死制度を考える会,,,,,,,4
r06-10-27,candidacy,pr,前,日本保守党,,,,,,,4
r06-10-27,candidacy,pr,元,れいわ新選組,3,,3,3,,3,4
r06-10-27,candidacy,pr,元,社会民主党,,,,,,,4
r06-10-27,candidacy,pr,元,参政党,2,,2,1,,1,4
r06-10-27,candidacy,pr,元,みんなでつくる党,,,,,,,4
r06-10-27,candidacy,pr,元,安楽死制度を考える会,,,,,,,4
r06-10-27,candidacy,pr,元,日本保守党,,,,,,,4
r06-10-27,candidacy,pr,計,れいわ新選組,22,10,32,9,7,16,4
r06-10-27,candidacy,pr,計,社会民主党,12,5,17,6,4,10,4
r06-10-27,candidacy,pr,計,参政党,17,5,22,9,3,12,4
r06-10-27,candidacy,pr,計,みんなでつくる党,,1,1,,1,1,4
r06-10-27,candidacy,pr,計,安楽死制度を考える会,2,,2,,,,4
r06-10-27,candidacy,pr,計,日本保守党,21,5,26,,,,4
r06-10-27,candidacy,total,新,れいわ新選組,19,10,29,,,,4
r06-10-27,candidacy,total,新,社会民主党,11,5,16,,,,4
r06-10-27,candidacy,total,新,参政党,56,36,92,,,,4
r06-10-27,candidacy,total,新,みんなでつくる党,4,2,6,,,,4
r06-10-27,candidacy,total,新,安楽死制度を考える会,2,,2,,,,4
r06-10-27,candidacy,total,新,日本保守党,21,5,26,,,,4
r06-10-27,candidacy,total,前,れいわ新選組,1,2,3,,,,4
r06-10-27,candidacy,total,前,社会民主党,1,,1,,,,4
r06-10-27,candidacy,total,前,参政党,1,,1,,,,4
r06-10-27,candidacy,total,前,みんなでつくる党,,,,,,,4
r06-10-27,candidacy,total,前,安楽死制度を考える会,,,,,,,4
r06-10-27,candidacy,total,前,日本保守党,,,,,,,4
r06-10-27,candidacy,total,元,れいわ新選組,3,,3,,,,4
r06-10-27,candidacy,total,元,社会民主党,,,,,,,4
r06-10-27,candidacy,total,元,参政党,2,,2,,,,4
r06-10-27,candidacy,total,元,みんなでつくる党,,,,,,,4
r06-10-27,candidacy,total,元,安楽死制度を考える会,,,,,,,4
r06-10-27,candidacy,total,元,日本保守党,,,,,,,4
r06-10-27,candidacy,total,計,れいわ新選組,23,12,35,,,,4
r06-10-27,candidacy,total,計,社会民主党,12,5,17,,,,4
r06-10-27,candidacy,total,計,参政党,59,36,95,,,,4
r06-10-27,candidacy,total,計,みんなでつくる党,4,2,6,,,,4
r06-10-27,candidacy,total,計,安楽死制度を考える会,2,,2,,,,4
r06-10-27,candidacy,total,計,日本保守党,21,5,26,,,,4
r06-10-27,candidacy,smd,新,__TOTAL__,460,199,659,,,,5
r06-10-27,candidacy,smd,前,__TOTAL__,352,41,393,,,,5
r06-10-27,candidacy,smd,元,__TOTAL__,55,6,61,,,,5
r06-10-27,candidacy,smd,計,__TOTAL__,867,246,1113,,,,5
r06-10-27,candidacy,pr,新,__TOTAL__,341,140,481,221,82,303,5
r06-10-27,candidacy,pr,前,__TOTAL__,292,45,337,258,39,297,5
r06-10-27,candidacy,pr,元,__TOTAL__,52,11,63,43,7,50,5
r06-10-27,candidacy,pr,計,__TOTAL__,685,196,881,522,128,650,5
r06-10-27,candidacy,total,新,__TOTAL__,580,257,837,,,,5
r06-10-27,candidacy,total,前,__TOTAL__,386,47,433,,,,5
r06-10-27,candidacy,total,元,__TOTAL__,64,10,74,,,,5
r06-10-27,candidacy,total,計,__TOTAL__,1030,314,1344,,,,5
