election_id,block,party,divisor,quotient,seat_rank,source_page
r06-10-27,北海道,日本維新の会,1,96954.000,,81
r06-10-27,北海道,自由民主党,1,641127.000,2,81
r06-10-27,北海道,れいわ新選組,1,177620.000,,81
r06-10-27,北海道,安楽死制度を考える会,1,18455.000,,81
r06-10-27,北海道,社会民主党,1,31134.000,,81
r06-10-27,北海道,公明党,1,253344.000,5,81
r06-10-27,北海道,日本維新の会,2,48477.000,,81
r06-10-27,北海道,自由民主党,2,320563.500,4,81
r06-10-27,北海道,安楽死制度を考える会,2,9227.500,,81
r06-10-27,北海道,公明党,2,126672.000,,81
r06-10-27,北海道,自由民主党,3,213709.000,7,81
r06-10-27,北海道,自由民主党,4,160281.750,,81
r06-10-27,北海道,自由民主党,5,128225.400,,81
r06-10-27,北海道,自由民主党,6,106854.500,,81
r06-10-27,北海道,自由民主党,7,91589.571,,81
r06-10-27,北海道,自由民主党,8,80140.875,,81
r06-10-27,北海道,自由民主党,9,71236.333,,81
r06-10-27,北海道,自由民主党,10,64112.700,,81
r06-10-27,北海道,自由民主党,11,58284.273,,81
r06-10-27,北海道,自由民主党,12,53427.250,,81
r06-10-27,北海道,日本保守党,1,61903.000,,82
r06-10-27,北海道,日本共産党,1,169799.000,,82
r06-10-27,北海道,国民民主党,1,192303.871,8,82
r06-10-27,北海道,立憲民主党,1,694578.943,1,82
r06-10-27,北海道,日本保守党,2,30951.500,,82
r06-10-27,北海道,日本共産党,2,84899.500,,82
r06-10-27,北海道,立憲民主党,2,347289.472,3,82
r06-10-27,北海道,立憲民主党,3,231526.314,6,82
r06-10-27,北海道,立憲民主党,4,173644.736,,82
r06-10-27,北海道,立憲民主党,5,138915.789,,82
r06-10-27,北海道,立憲民主党,6,115763.157,,82
r06-10-27,北海道,立憲民主党,7,99225.563,,82
r06-10-27,東北,自由民主党,1,1188975.000,1,83
r06-10-27,東北,日本共産党,1,223409.000,,83
r06-10-27,東北,社会民主党,1,79484.000,,83
r06-10-27,東北,国民民主党,1,396991.902,5,83
r06-10-27,東北,公明党,1,367341.000,7,83
r06-10-27,東北,日本維新の会,1,165697.000,,83
r06-10-27,東北,参政党,1,94354.000,,83
r06-10-27,東北,自由民主党,2,594487.500,3,83
r06-10-27,東北,日本共産党,2,111704.500,,83
r06-10-27,東北,国民民主党,2,198495.951,,83
r06-10-27,東北,公明党,2,183670.500,,83
r06-10-27,東北,日本維新の会,2,82848.500,,83
r06-10-27,東北,自由民主党,3,396325.000,6,83
r06-10-27,東北,日本共産党,3,74469.667,,83
r06-10-27,東北,公明党,3,122447.000,,83
r06-10-27,東北,日本維新の会,3,55232.333,,83
r06-10-27,東北,自由民主党,4,297243.750,9,83
r06-10-27,東北,日本維新の会,4,41424.250,,83
r06-10-27,東北,自由民主党,5,237795.000,12,83
r06-10-27,東北,自由民主党,6,198162.500,,83
r06-10-27,東北,自由民主党,7,169853.571,,83
r06-10-27,東北,自由民主党,8,148621.875,,83
r06-10-27,東北,自由民主党,9,132108.333,,83
r06-10-27,東北,自由民主党,10,118897.500,,83
r06-10-27,東北,自由民主党,11,108088.636,,83
r06-10-27,東北,自由民主党,12,99081.250,,83
r06-10-27,東北,自由民主党,13,91459.615,,83
r06-10-27,東北,立憲民主党,1,993007.872,2,84
r06-10-27,東北,れいわ新選組,1,271855.000,10,84
r06-10-27,東北,立憲民主党,2,496503.936,4,84
r06-10-27,東北,立憲民主党,3,331002.624,8,84
r06-10-27,東北,立憲民主党,4,248251.968,11,84
r06-10-27,東北,立憲民主党,5,198601.574,,84
r06-10-27,東北,立憲民主党,6,165501.312,,84
r06-10-27,東北,立憲民主党,7,141858.267,,84
r06-10-27,東北,立憲民主党,8,124125.984,,84
r06-10-27,東北,立憲民主党,9,110334.208,,84
r06-10-27,東北,立憲民主党,10,99300.787,,84
r06-10-27,北関東,日本共産党,1,354915.000,12,85
r06-10-27,北関東,日本保守党,1,146728.000,,85
r06-10-27,北関東,自由民主党,1,1603644.000,1,85
r06-10-27,北関東,国民民主党,1,686080.528,4,85
r06-10-27,北関東,日本維新の会,1,391136.000,11,85
r06-10-27,北関東,参政党,1,175559.000,,85
r06-10-27,北関東,公明党,1,674694.000,5,85
r06-10-27,北関東,日本共産党,2,177457.500,,85
r06-10-27,北関東,日本保守党,2,73364.000,,85
r06-10-27,北関東,自由民主党,2,801822.000,3,85
r06-10-27,北関東,日本維新の会,2,195568.000,,85
r06-10-27,北関東,公明党,2,337347.000,13,85
r06-10-27,北関東,日本保守党,3,48909.333,,85
r06-10-27,北関東,自由民主党,3,534548.000,7,85
r06-10-27,北関東,日本維新の会,3,130378.667,,85
r06-10-27,北関東,公明党,3,224898.000,19,85
r06-10-27,北関東,日本保守党,4,36682.000,,85
r06-10-27,北関東,自由民主党,4,400911.000,10,85
r06-10-27,北関東,日本維新の会,4,97784.000,,85
r06-10-27,北関東,公明党,4,168673.500,,85
r06-10-27,北関東,自由民主党,5,320728.800,15,85
r06-10-27,北関東,日本維新の会,5,78227.200,,85
r06-10-27,北関東,自由民主党,6,267274.000,16,85
r06-10-27,北関東,日本維新の会,6,65189.333,,85
r06-10-27,北関東,自由民主党,7,229092.000,18,85
r06-10-27,北関東,日本維新の会,7,55876.571,,85
r06-10-27,北関東,自由民主党,8,200455.500,,85
r06-10-27,北関東,日本維新の会,8,48892.000,,85
r06-10-27,北関東,自由民主党,9,178182.667,,85
r06-10-27,北関東,日本維新の会,9,43459.556,,85
r06-10-27,北関東,自由民主党,10,160364.400,,85
r06-10-27,北関東,日本維新の会,10,39113.600,,85
r06-10-27,北関東,自由民主党,11,145785.818,,85
r06-10-27,北関東,日本維新の会,11,35557.818,,85
r06-10-27,北関東,自由民主党,12,133637.000,,85
r06-10-27,北関東,日本維新の会,12,32594.667,,85
r06-10-27,北関東,自由民主党,13,123357.231,,85
r06-10-27,北関東,日本維新の会,13,30087.385,,85
r06-10-27,北関東,自由民主党,14,114546.000,,85
r06-10-27,北関東,日本維新の会,14,27938.286,,85
r06-10-27,北関東,自由民主党,15,106909.600,,85
r06-10-27,北関東,日本維新の会,15,26075.733,,85
r06-10-27,北関東,自由民主党,16,100227.750,,85
r06-10-27,北関東,日本維新の会,16,24446.000,,85
r06-10-27,北関東,自由民主党,17,94332.000,,85
r06-10-27,北関東,日本維新の会,17,23008.000,,85
r06-10-27,北関東,自由民主党,18,89091.333,,85
