election_id,tier,scope,block,prefecture,electors_male,electors_female,electors_total,voters_male,voters_female,voters_total,abstainers_male,abstainers_female,abstainers_total,source_page
r06-10-27,smd,all,,北海道,2042639,2329936,4372575,1163876,1291442,2455318,878763,1038494,1917257,10
r06-10-27,smd,all,,青森県,485829,550026,1035855,255879,278737,534616,229950,271289,501239,10
r06-10-27,smd,all,,岩手県,479548,521206,1000754,270961,284974,555935,208587,236232,444819,10
r06-10-27,smd,all,,宮城県,917552,980488,1898040,484805,505238,990043,432747,475250,907997,10
r06-10-27,smd,all,,秋田県,376967,426188,803155,228499,248909,477408,148468,177279,325747,10
r06-10-27,smd,all,,山形県,419530,451728,871258,260342,269585,529927,159188,182143,341331,10
r06-10-27,smd,all,,福島県,744278,778199,1522477,404827,416286,821113,339451,361913,701364,10
r06-10-27,smd,all,,茨城県,1184200,1191427,2375627,626683,619271,1245954,557517,572156,1129673,10
r06-10-27,smd,all,,栃木県,795071,802225,1597296,406602,395920,802522,388469,406305,794774,10
r06-10-27,smd,all,,群馬県,778328,802409,1580737,394246,394924,789170,384082,407485,791567,10
r06-10-27,smd,all,,埼玉県,3040803,3095033,6135836,1576023,1562103,3138126,1464780,1532930,2997710,10
r06-10-27,smd,all,,千葉県,2599652,2655267,5254919,1362988,1376700,2739688,1236664,1278567,2515231,10
r06-10-27,smd,all,,東京都,5615643,5917180,11532823,3160347,3305035,6465382,2455296,2612145,5067441,10
r06-10-27,smd,all,,神奈川県,3812014,3894935,7706949,2087235,2115552,4202787,1724779,1779383,3504162,10
r06-10-27,smd,all,,新潟県,877942,939309,1817251,527483,536713,1064196,350459,402596,753055,10
r06-10-27,smd,all,,富山県,413332,443156,856488,230068,238344,468412,183264,204812,388076,10
r06-10-27,smd,all,,石川県,443490,481217,924707,247491,261975,509466,195999,219242,415241,10
r06-10-27,smd,all,,福井県,300497,320482,620979,175246,181140,356386,125251,139342,264593,10
r06-10-27,smd,all,,山梨県,329177,344431,673608,187388,194983,382371,141789,149448,291237,10
r06-10-27,smd,all,,長野県,824190,869440,1693630,480777,488155,968932,343413,381285,724698,10
r06-10-27,smd,all,,岐阜県,779904,834684,1614588,438712,455608,894320,341192,379076,720268,10
r06-10-27,smd,all,,静岡県,1466131,1518173,2984304,819582,839330,1658912,646549,678843,1325392,10
r06-10-27,smd,all,,愛知県,3026133,3056294,6082427,1676260,1638543,3314803,1349873,1417751,2767624,10
r06-10-27,smd,all,,三重県,699835,742622,1442457,395427,415418,810845,304408,327204,631612,10
r06-10-27,smd,all,,滋賀県,560317,586935,1147252,311908,318287,630195,248409,268648,517057,10
r06-10-27,smd,all,,京都府,973965,1091980,2065945,526642,570850,1097492,447323,521130,968453,10
r06-10-27,smd,all,,大阪府,3444543,3818702,7263245,1804828,2016330,3821158,1639715,1802372,3442087,10
r06-10-27,smd,all,,兵庫県,2120814,2377124,4497938,1145527,1268453,2413980,975287,1108671,2083958,10
r06-10-27,smd,all,,奈良県,518570,591973,1110543,306856,342713,649569,211714,249260,460974,10
r06-10-27,smd,all,,和歌山県,362036,411935,773971,208712,231426,440138,153324,180509,333833,10
r06-10-27,smd,all,,鳥取県,214287,237297,451584,124037,138352,262389,90250,98945,189195,10
r06-10-27,smd,all,,島根県,258285,283414,541699,152680,162257,314937,105605,121157,226762,10
r06-10-27,smd,all,,岡山県,731961,801215,1533176,367874,402344,770218,364087,398871,762958,10
r06-10-27,smd,all,,広島県,1092866,1181038,2273904,535640,564983,1100623,557226,616055,1173281,10
r06-10-27,smd,all,,山口県,519056,583366,1102422,269942,304050,573992,249114,279316,528430,10
r06-10-27,smd,all,,徳島県,285490,315968,601458,146676,158930,305606,138814,157038,295852,10
r06-10-27,smd,all,,香川県,378670,412762,791432,202090,216873,418963,176580,195889,372469,10
r06-10-27,smd,all,,愛媛県,518624,586695,1105319,271678,302504,574182,246946,284191,531137,10
r06-10-27,smd,all,,高知県,269029,306354,575383,136692,162356,299048,132337,143998,276335,10
r06-10-27,smd,all,,福岡県,1966890,2232977,4199867,1013866,1152893,2166759,953024,1080084,2033108,10
r06-10-27,smd,all,,佐賀県,310296,349818,660114,175136,194472,369608,135160,155346,290506,10
r06-10-27,smd,all,,長崎県,501464,575200,1076664,264895,300149,565044,236569,275051,511620,10
r06-10-27,smd,all,,熊本県,669147,756091,1425238,352164,389835,741999,316983,366256,683239,10
r06-10-27,smd,all,,大分県,437654,491610,929264,243171,271870,515041,194483,219740,414223,10
r06-10-27,smd,all,,宮崎県,410539,466911,877450,209003,235109,444112,201536,231802,433338,10
r06-10-27,smd,all,,鹿児島県,609467,693691,1303158,330455,366594,697049,279012,327097,606109,10
r06-10-27,smd,all,,沖縄県,571991,602992,1174983,285688,301321,587009,286303,301671,587974,10
r06-10-27,smd,all,,合計,50178646,53702103,103880749,27247907,28687836,55935743,22930739,25014267,47945006,10
r06-10-27,smd,overseas,,北海道,914,1464,2378,139,191,330,775,1273,2048,11
r06-10-27,smd,overseas,,青森県,143,318,461,26,34,60,117,284,401,11
r06-10-27,smd,overseas,,岩手県,202,342,544,33,41,74,169,301,470,11
r06-10-27,smd,overseas,,宮城県,373,649,1022,52,91,143,321,558,879,11
r06-10-27,smd,overseas,,秋田県,144,243,387,11,20,31,133,223,356,11
r06-10-27,smd,overseas,,山形県,215,342,557,23,29,52,192,313,505,11
r06-10-27,smd,overseas,,福島県,455,673,1128,39,54,93,416,619,1035,11
r06-10-27,smd,overseas,,茨城県,659,909,1568,128,144,272,531,765,1296,11
r06-10-27,smd,overseas,,栃木県,386,535,921,60,78,138,326,457,783,11
r06-10-27,smd,overseas,,群馬県,448,618,1066,76,71,147,372,547,919,11
r06-10-27,smd,overseas,,埼玉県,1995,2733,4728,455,506,961,1540,2227,3767,11
r06-10-27,smd,overseas,,千葉県,2183,2846,5029,564,528,1092,1619,2318,3937,11
r06-10-27,smd,overseas,,東京都,10277,13413,23690,2958,2876,5834,7319,10537,17856,11
r06-10-27,smd,overseas,,神奈川県,4716,5957,10673,1135,1060,2195,3581,4897,8478,11
r06-10-27,smd,overseas,,新潟県,309,657,966,51,89,140,258,568,826,11
r06-10-27,smd,overseas,,富山県,214,262,476,31,45,76,183,217,400,11
r06-10-27,smd,overseas,,石川県,152,268,420,29,38,67,123,230,353,11
r06-10-27,smd,overseas,,福井県,125,191,316,15,23,38,110,168,278,11
r06-10-27,smd,overseas,,山梨県,219,344,563,24,37,61,195,307,502,11
r06-10-27,smd,overseas,,長野県,510,816,1326,77,98,175,433,718,1151,11
r06-10-27,smd,overseas,,岐阜県,337,571,908,65,87,152,272,484,756,11
r06-10-27,smd,overseas,,静岡県,1072,1343,2415,187,180,367,885,1163,2048,11
r06-10-27,smd,overseas,,愛知県,1773,2337,4110,380,421,801,1393,1916,3309,11
r06-10-27,smd,overseas,,三重県,376,505,881,58,80,138,318,425,743,11
r06-10-27,smd,overseas,,滋賀県,291,383,674,41,65,106,250,318,568,11
r06-10-27,smd,overseas,,京都府,670,1048,1718,173,198,371,497,850,1347,11
r06-10-27,smd,overseas,,大阪府,1862,2929,4791,432,552,984,1430,2377,3807,11
r06-10-27,smd,overseas,,兵庫県,1193,1959,3152,276,349,625,917,1610,2527,11
r06-10-27,smd,overseas,,奈良県,319,523,842,70,113,183,249,410,659,11
r06-10-27,smd,overseas,,和歌山県,210,385,595,20,33,53,190,352,542,11
r06-10-27,smd,overseas,,鳥取県,82,176,258,12,22,34,70,154,224,11
r06-10-27,smd,overseas,,島根県,89,197,286,6,24,30,83,173,256,11
r06-10-27,smd,overseas,,岡山県,298,554,852,42,77,119,256,477,733,11
r06-10-27,smd,overseas,,広島県,701,1060,1761,97,132,229,604,928,1532,11
r06-10-27,smd,overseas,,山口県,339,595,934,26,53,79,313,542,855,11
r06-10-27,smd,overseas,,徳島県,103,190,293,17,21,38,86,169,255,11
r06-10-27,smd,overseas,,香川県,192,315,507,29,35,64,163,280,443,11
r06-10-27,smd,overseas,,愛媛県,257,414,671,24,42,66,233,372,605,11
r06-10-27,smd,overseas,,高知県,248,388,636,12,25,37,236,363,599,11
r06-10-27,smd,overseas,,福岡県,958,1720,2678,134,222,356,824,1498,2322,11
r06-10-27,smd,overseas,,佐賀県,203,337,540,13,32,45,190,305,495,11
r06-10-27,smd,overseas,,長崎県,249,492,741,23,42,65,226,450,676,11
r06-10-27,smd,overseas,,熊本県,584,939,1523,29,71,100,555,868,1423,11
r06-10-27,smd,overseas,,大分県,165,300,465,13,33,46,152,267,419,11
r06-10-27,smd,overseas,,宮崎県,168,352,520,16,35,51,152,317,469,11
r06-10-27,smd,overseas,,鹿児島県,424,646,1070,29,47,76,395,599,994,11
r06-10-27,smd,overseas,,沖縄県,1412,2020,3432,36,61,97,1376,1959,3335,11
r06-10-27,smd,overseas,,合計,39214,56258,95472,8186,9105,17291,31028,47153,78181,11
r06-10-27,pr,all,北海道,北海道,2042639,2329936,4372575,1163576,1291423,2454999,879063,1038513,1917576,14
