election_id,prefecture,party,votes_male,votes_female,votes_total,source_page
r06-10-27,北海道,自由民主党,676707,227072,903779,28
r06-10-27,北海道,立憲民主党,750460,366338,1116798,28
r06-10-27,北海道,日本維新の会,73875,,73875,28
r06-10-27,北海道,公明党,75990,,75990,28
r06-10-27,青森県,自由民主党,232897,,232897,28
r06-10-27,青森県,立憲民主党,71211,86593,157804,28
r06-10-27,青森県,日本維新の会,7747,,7747,28
r06-10-27,青森県,公明党,,,,28
r06-10-27,岩手県,自由民主党,243744,,243744,28
r06-10-27,岩手県,立憲民主党,209773,70716,280489,28
r06-10-27,岩手県,日本維新の会,,,,28
r06-10-27,岩手県,公明党,,,,28
r06-10-27,宮城県,自由民主党,418440,,418440,28
r06-10-27,宮城県,立憲民主党,184795,231532,416327,28
r06-10-27,宮城県,日本維新の会,98902,,98902,28
r06-10-27,宮城県,公明党,,,,28
r06-10-27,秋田県,自由民主党,200309,,200309,28
r06-10-27,秋田県,立憲民主党,130410,22043,152453,28
r06-10-27,秋田県,日本維新の会,17865,,17865,28
r06-10-27,秋田県,公明党,,,,28
r06-10-27,山形県,自由民主党,197654,93909,291563,28
r06-10-27,山形県,立憲民主党,127819,,127819,28
r06-10-27,山形県,日本維新の会,,,,28
r06-10-27,山形県,公明党,,,,28
r06-10-27,福島県,自由民主党,262718,,262718,28
r06-10-27,福島県,立憲民主党,298778,124441,423219,28
r06-10-27,福島県,日本維新の会,,,,28
r06-10-27,福島県,公明党,,,,28
r06-10-27,茨城県,自由民主党,379238,184529,563767,28
r06-10-27,茨城県,立憲民主党,183707,,183707,28
r06-10-27,茨城県,日本維新の会,49840,47360,97200,28
r06-10-27,茨城県,公明党,,,,28
r06-10-27,栃木県,自由民主党,350991,,350991,28
r06-10-27,栃木県,立憲民主党,195863,62914,258777,28
r06-10-27,栃木県,日本維新の会,65589,,65589,28
r06-10-27,栃木県,公明党,,,,28
r06-10-27,群馬県,自由民主党,315931,96580,412511,28
r06-10-27,群馬県,立憲民主党,121456,56031,177487,28
r06-10-27,群馬県,日本維新の会,,36928,36928,28
r06-10-27,群馬県,公明党,,,,28
r06-10-27,埼玉県,自由民主党,942773,66909,1009682,28
r06-10-27,埼玉県,立憲民主党,787254,216976,1004230,28
r06-10-27,埼玉県,日本維新の会,231952,106076,338028,28
r06-10-27,埼玉県,公明党,60249,,60249,28
r06-10-27,千葉県,自由民主党,997920,59636,1057556,28
r06-10-27,千葉県,立憲民主党,844003.614,71555,915558.614,28
r06-10-27,千葉県,日本維新の会,151111,26222,177333,28
r06-10-27,千葉県,公明党,,,,28
r06-10-27,東京都,自由民主党,1372248.538,424614,1796862.538,28
r06-10-27,東京都,立憲民主党,1214736.846,523085,1737821.846,28
r06-10-27,東京都,日本維新の会,474310,203195.596,677505.596,28
r06-10-27,東京都,公明党,60100,,60100,28
r06-10-27,神奈川県,自由民主党,1464389,115235,1579624,28
r06-10-27,神奈川県,立憲民主党,1066509,375527,1442036,28
r06-10-27,神奈川県,日本維新の会,321218,84813,406031,28
r06-10-27,神奈川県,公明党,,,,28
r06-10-27,新潟県,自由民主党,320270,,320270,28
r06-10-27,新潟県,立憲民主党,313468,222821,536289,28
r06-10-27,新潟県,日本維新の会,59692,,59692,28
r06-10-27,新潟県,公明党,,,,28
r06-10-27,富山県,自由民主党,251338,,251338,28
r06-10-27,富山県,立憲民主党,86635,,86635,28
r06-10-27,富山県,日本維新の会,12995,,12995,28
r06-10-27,富山県,公明党,,,,28
r06-10-27,石川県,自由民主党,226922.644,,226922.644,28
r06-10-27,石川県,立憲民主党,128753,62588,191341,28
r06-10-27,石川県,日本維新の会,27257,,27257,28
r06-10-27,石川県,公明党,,,,28
r06-10-27,福井県,自由民主党,,86906,86906,28
r06-10-27,福井県,立憲民主党,124428,,124428,28
r06-10-27,福井県,日本維新の会,38749,,38749,28
r06-10-27,福井県,公明党,,,,28
r06-10-27,山梨県,自由民主党,99129,99080,198209,28
r06-10-27,山梨県,立憲民主党,107050,,107050,28
r06-10-27,山梨県,日本維新の会,,,,28
r06-10-27,山梨県,公明党,,,,28
r06-10-27,長野県,自由民主党,396340,,396340,28
r06-10-27,長野県,立憲民主党,394139,,394139,28
r06-10-27,長野県,日本維新の会,84431,,84431,28
r06-10-27,長野県,公明党,,,,28
r06-10-27,岐阜県,自由民主党,348361,100226,448587,28
r06-10-27,岐阜県,立憲民主党,173005,,173005,28
r06-10-27,岐阜県,日本維新の会,19973,,19973,28
r06-10-27,岐阜県,公明党,,,,28
r06-10-27,静岡県,自由民主党,673436,114278,787714,28
r06-10-27,静岡県,立憲民主党,496038,47375,543413,28
r06-10-27,静岡県,日本維新の会,38490,17573,56063,28
r06-10-27,静岡県,公明党,,,,28
r06-10-27,愛知県,自由民主党,1064609.695,,1064609.695,28
r06-10-27,愛知県,立憲民主党,863215,107600,970815,28
r06-10-27,愛知県,日本維新の会,190252,56229,246481,28
r06-10-27,愛知県,公明党,63095,,63095,28
r06-10-27,三重県,自由民主党,347038,,347038,28
r06-10-27,三重県,立憲民主党,282243,63770,346013,28
r06-10-27,三重県,日本維新の会,31998,23904,55902,28
r06-10-27,三重県,公明党,,,,28
r06-10-27,滋賀県,自由民主党,265254,,265254,28
r06-10-27,滋賀県,立憲民主党,65324,,65324,28
r06-10-27,滋賀県,日本維新の会,201400,,201400,28
r06-10-27,滋賀県,公明党,,,,28
r06-10-27,京都府,自由民主党,313831,,313831,28
r06-10-27,京都府,立憲民主党,216597,32355,248952,28
r06-10-27,京都府,日本維新の会,144847,37876,182723,28
r06-10-27,京都府,公明党,,,,28
r06-10-27,大阪府,自由民主党,771491,125992,897483,28
r06-10-27,大阪府,立憲民主党,102689,78848,181537,28
r06-10-27,大阪府,日本維新の会,1644485,,1644485,28
r06-10-27,大阪府,公明党,187037,55474,242511,28
r06-10-27,兵庫県,自由民主党,680302,,680302,28
r06-10-27,兵庫県,立憲民主党,402058,103157,505215,28
r06-10-27,兵庫県,日本維新の会,448976,132499,581475,28
r06-10-27,兵庫県,公明党,141802,,141802,28
r06-10-27,奈良県,自由民主党,165593,128554,294147,28
r06-10-27,奈良県,立憲民主党,159795,,159795,28
r06-10-27,奈良県,日本維新の会,85297,34354,119651,28
r06-10-27,奈良県,公明党,,,,28
r06-10-27,和歌山県,自由民主党,141983,,141983,28
r06-10-27,和歌山県,立憲民主党,25067,33147,58214,28
r06-10-27,和歌山県,日本維新の会,,70745,70745,28
r06-10-27,和歌山県,公明党,,,,28
r06-10-27,鳥取県,自由民主党,188196,,188196,28
r06-10-27,鳥取県,立憲民主党,56085,,56085,28
r06-10-27,鳥取県,日本維新の会,,,,28
r06-10-27,鳥取県,公明党,,,,28
r06-10-27,島根県,自由民主党,99829,63238,163067,28
r06-10-27,島根県,立憲民主党,,122786,122786,28
r06-10-27,島根県,日本維新の会,,,,28
r06-10-27,島根県,公明党,,,,28
r06-10-27,岡山県,自由民主党,371951,,371951,28
r06-10-27,岡山県,立憲民主党,232590,59781,292371,28
r06-10-27,岡山県,日本維新の会,11094,,11094,28
r06-10-27,岡山県,公明党,,,,28
r06-10-27,広島県,自由民主党,433623,,433623,28
r06-10-27,広島県,立憲民主党,253594,,253594,28
r06-10-27,広島県,日本維新の会,142402,,142402,28
r06-10-27,広島県,公明党,86654,,86654,28
r06-10-27,山口県,自由民主党,320216,,320216,28
r06-10-27,山口県,立憲民主党,103161,40237,143398,28
r06-10-27,山口県,日本維新の会,32259,,32259,28
r06-10-27,山口県,公明党,,,,28
r06-10-27,徳島県,自由民主党,141216,,141216,28
r06-10-27,徳島県,立憲民主党,54839,,54839,28
r06-10-27,徳島県,日本維新の会,11122,20270,31392,28
r06-10-27,徳島県,公明党,,,,28
r06-10-27,香川県,自由民主党,153278,,153278,28
r06-10-27,香川県,立憲民主党,82549,29900,112449,28
r06-10-27,香川県,日本維新の会,15902,11730,27632,28
r06-10-27,香川県,公明党,,,,28
r06-10-27,愛媛県,自由民主党,288141,,288141,28
r06-10-27,愛媛県,立憲民主党,184855,,184855,28
r06-10-27,愛媛県,日本維新の会,17417,,17417,28
r06-10-27,愛媛県,公明党,,,,28
r06-10-27,高知県,自由民主党,191611,,191611,28
r06-10-27,高知県,立憲民主党,55750,,55750,28
r06-10-27,高知県,日本維新の会,,,,28
r06-10-27,高知県,公明党,,,,28
r06-10-27,福岡県,自由民主党,796881,,796881,28
r06-10-27,福岡県,立憲民主党,339146.819,83588,422734.819,28
r06-10-27,福岡県,日本維新の会,224592.178,,224592.178,28
r06-10-27,福岡県,公明党,,,,28
r06-10-27,佐賀県,自由民主党,156277,,156277,28
r06-10-27,佐賀県,立憲民主党,191664,,191664,28
r06-10-27,佐賀県,日本維新の会,,,,28
r06-10-27,佐賀県,公明党,,,,28
r06-10-27,長崎県,自由民主党,235407,,235407,28
r06-10-27,長崎県,立憲民主党,150302,,150302,28
r06-10-27,長崎県,日本維新の会,46151,,46151,28
r06-10-27,長崎県,公明党,,,,28
r06-10-27,熊本県,自由民主党,437323,,437323,28
r06-10-27,熊本県,立憲民主党,64238,49672,113910,28
r06-10-27,熊本県,日本維新の会,36203,,36203,28
r06-10-27,熊本県,公明党,,,,28
r06-10-27,大分県,自由民主党,185438,,185438,28
r06-10-27,大分県,立憲民主党,57234,60207,117441,28
r06-10-27,大分県,日本維新の会,,,,28
r06-10-27,大分県,公明党,,,,28
r06-10-27,宮崎県,自由民主党,217686,,217686,28
r06-10-27,宮崎県,立憲民主党,79605,,79605,28
r06-10-27,宮崎県,日本維新の会,24846,,24846,28
r06-10-27,宮崎県,公明党,,,,28
r06-10-27,鹿児島県,自由民主党,318182.422,,318182.422,28
r06-10-27,鹿児島県,立憲民主党,183680,,183680,28
