election_id,tier,period,party,votes,share_pct,source_page
r06-10-27,pr,current,自由民主党,14582690,26.73,27
r06-10-27,pr,current,立憲民主党,11565122.620,21.20,27
r06-10-27,pr,current,日本維新の会,5105127,9.36,27
r06-10-27,pr,current,公明党,5964415,10.93,27
r06-10-27,pr,current,日本共産党,3362966,6.16,27
r06-10-27,pr,current,国民民主党,6171533.489,11.31,27
r06-10-27,pr,current,れいわ新選組,3805060,6.98,27
r06-10-27,pr,previous,自由民主党,19914883,34.66,27
r06-10-27,pr,previous,立憲民主党,11492094.722,20.00,27
r06-10-27,pr,previous,日本維新の会,8050830,14.01,27
r06-10-27,pr,previous,公明党,7114282,12.38,27
r06-10-27,pr,previous,日本共産党,4166076,7.25,27
r06-10-27,pr,previous,国民民主党,2593396.241,4.51,27
r06-10-27,pr,previous,れいわ新選組,2215648,3.86,27
r06-10-27,pr,diff,自由民主党,-5332193,-26.77,27
r06-10-27,pr,diff,立憲民主党,73027.898,0.64,27
r06-10-27,pr,diff,日本維新の会,-2945703,-36.59,27
r06-10-27,pr,diff,公明党,-1149867,-16.16,27
r06-10-27,pr,diff,日本共産党,-803110,-19.28,27
r06-10-27,pr,diff,国民民主党,3578137.248,137.97,27
r06-10-27,pr,diff,れいわ新選組,1589412,71.74,27
r06-10-27,pr,current,社会民主党,934598,1.71,27
r06-10-27,pr,current,参政党,1870347,3.43,27
r06-10-27,pr,current,みんなでつくる党,23784,0.04,27
r06-10-27,pr,current,安楽死制度を考える会,18455,0.03,27
r06-10-27,pr,current,日本保守党,1145622,2.10,27
r06-10-27,pr,current,諸派,,,27
r06-10-27,pr,current,__TOTAL__,54549720.109,100.00,27
r06-10-27,pr,previous,社会民主党,1018588,1.77,27
r06-10-27,pr,previous,参政党,,,27
r06-10-27,pr,previous,みんなでつくる党,796788,1.39,27
r06-10-27,pr,previous,安楽死制度を考える会,,,27
r06-10-27,pr,previous,日本保守党,,,27
r06-10-27,pr,previous,諸派,103393,0.18,27
r06-10-27,pr,previous,__TOTAL__,57465978.963,100.00,27
r06-10-27,pr,diff,社会民主党,-83990,-8.25,27
r06-10-27,pr,diff,参政党,1870347,,27
r06-10-27,pr,diff,みんなでつくる党,-773004,-97.02,27
r06-10-27,pr,diff,安楽死制度を考える会,18455,,27
r06-10-27,pr,diff,日本保守党,1145622,,27
r06-10-27,pr,diff,諸派,-103393,-100.00,27
r06-10-27,pr,diff,__TOTAL__,-2916258.854,-5.07,27
