election_id,block,party,list_rank,name,elected_order,elected_pr,smd_result,sekihai_rate,sekihai_excluded,dual_candidacy,source_page
r06-10-27,北海道,日本維新の会,1,山崎泉,,false,落,34.119,false,true,48
r06-10-27,北海道,自由民主党,1,伊東よしたか,1,true,,,false,false,48
r06-10-27,北海道,れいわ新選組,1,のむらパターソン和孝,,false,,,false,false,48
r06-10-27,北海道,参政党,1,田中よしひと,,false,落,,true,true,48
r06-10-27,北海道,日本維新の会,1,とりこし良孝,,false,落,,true,true,48
r06-10-27,北海道,自由民主党,2,東くによし,,false,当,100.000,false,true,48
r06-10-27,北海道,日本維新の会,1,小林さとる,,false,落,,true,true,48
r06-10-27,北海道,自由民主党,2,鈴木たかこ,,false,当,100.000,false,true,48
r06-10-27,北海道,日本維新の会,4,喜多義典,,false,,,false,false,48
r06-10-27,北海道,自由民主党,2,武部あらた,,false,当,100.000,false,true,48
r06-10-27,北海道,自由民主党,2,中村ひろゆき,2,true,落,92.714,false,true,48
r06-10-27,北海道,自由民主党,2,向山じゅん,3,true,落,84.909,false,true,48
r06-10-27,北海道,自由民主党,2,高木ひろひさ,,false,落,82.976,false,true,48
r06-10-27,北海道,自由民主党,2,髙橋ゆうすけ,,false,落,81.737,false,true,48
r06-10-27,北海道,自由民主党,2,中川ゆうこ,,false,落,79.123,false,true,48
r06-10-27,北海道,自由民主党,2,かとう貴弘,,false,落,73.927,false,true,48
r06-10-27,北海道,自由民主党,2,松下ひでき,,false,落,58.796,false,true,48
r06-10-27,北海道,自由民主党,12,渡辺孝一,,false,,,false,false,48
r06-10-27,北海道,自由民主党,13,三輪綾子,,false,,,false,false,48
r06-10-27,北海道,自由民主党,14,相馬亜紀,,false,,,false,false,48
r06-10-27,北海道,自由民主党,15,久保じゅん,,false,,,false,false,48
r06-10-27,北海道,安楽死制度を考える会,1,佐野秀光,,false,,,false,false,49
r06-10-27,北海道,社会民主党,1,鳴海一芳,,false,,,false,false,49
r06-10-27,北海道,公明党,1,佐藤英道,1,true,,,false,false,49
r06-10-27,北海道,日本保守党,1,小野寺まさる,,false,,,false,false,49
r06-10-27,北海道,安楽死制度を考える会,2,中村治,,false,,,false,false,49
r06-10-27,北海道,公明党,2,齊道勇太,,false,,,false,false,49
r06-10-27,北海道,日本保守党,2,堀田真作,,false,,,false,false,49
r06-10-27,北海道,日本共産党,1,はたやま和也,,false,,,false,false,50
r06-10-27,北海道,国民民主党,1,臼木ひでたけ,1,true,,,false,false,50
r06-10-27,北海道,立憲民主党,1,池田まき,,false,当,100.000,false,true,50
r06-10-27,北海道,日本共産党,2,宮内しおり,,false,落,33.887,false,true,50
r06-10-27,北海道,立憲民主党,1,しのだ奈保子,1,true,落,71.108,false,true,50
r06-10-27,北海道,立憲民主党,3,道下大樹,,false,当,100.000,false,true,50
r06-10-27,北海道,立憲民主党,3,松木けんこう,,false,当,100.000,false,true,50
r06-10-27,北海道,立憲民主党,3,荒井ゆたか,,false,当,100.000,false,true,50
r06-10-27,北海道,立憲民主党,3,おおつきくれは,,false,当,100.000,false,true,50
r06-10-27,北海道,立憲民主党,3,山岡達丸,,false,当,100.000,false,true,50
r06-10-27,北海道,立憲民主党,3,神谷ひろし,,false,当,100.000,false,true,50
r06-10-27,北海道,立憲民主党,3,石川かおり,,false,当,100.000,false,true,50
r06-10-27,北海道,立憲民主党,3,にしかわ将人,2,true,落,93.543,false,true,50
r06-10-27,北海道,立憲民主党,3,かわはらだ英世,3,true,落,91.052,false,true,50
r06-10-27,北海道,立憲民主党,12,石川知裕,,false,,,false,false,50
r06-10-27,北海道,立憲民主党,13,石川秀行,,false,,,false,false,50
r06-10-27,北海道,立憲民主党,14,鈴木敦子,,false,,,false,false,50
r06-10-27,北海道,立憲民主党,15,田島央一,,false,,,false,false,50
r06-10-27,東北,自由民主党,1,江渡あきのり,1,true,,,false,false,51
r06-10-27,東北,日本共産党,1,高橋ちづ子,,false,,,false,false,51
r06-10-27,東北,社会民主党,1,伊藤正通,,false,,,false,false,51
r06-10-27,東北,国民民主党,1,村岡としひで,,false,当,100.000,false,true,51
r06-10-27,東北,自由民主党,2,もりした千里,2,true,,,false,false,51
r06-10-27,東北,日本共産党,2,吉田恭子,,false,落,16.277,false,true,51
r06-10-27,東北,国民民主党,1,きくち大二郎,1,true,落,53.463,false,true,51
r06-10-27,東北,自由民主党,3,つしま淳,,false,当,100.000,false,true,51
r06-10-27,東北,日本共産党,3,大内まり,,false,,,false,false,51
r06-10-27,東北,国民民主党,1,かねはまあきら,,false,落,40.550,false,true,51
r06-10-27,東北,自由民主党,3,神田潤一,,false,当,100.000,false,true,51
r06-10-27,東北,自由民主党,3,とがし博之,,false,当,100.000,false,true,51
r06-10-27,東北,自由民主党,3,すずきのりかず,,false,当,100.000,false,true,51
r06-10-27,東北,自由民主党,3,かとう鮎子,,false,当,100.000,false,true,51
r06-10-27,東北,自由民主党,3,坂本竜太郎,,false,当,100.000,false,true,51
r06-10-27,東北,自由民主党,3,福原じゅんじ,3,true,落,91.966,false,true,51
r06-10-27,東北,自由民主党,3,みのり川信英,4,true,落,90.025,false,true,51
r06-10-27,東北,自由民主党,3,根本拓,5,true,落,75.141,false,true,51
r06-10-27,東北,自由民主党,3,土井とおる,,false,落,71.150,false,true,51
r06-10-27,東北,自由民主党,3,いとう信太郎,,false,落,64.185,false,true,51
r06-10-27,東北,自由民主党,3,秋葉けんや,,false,落,61.545,false,true,51
r06-10-27,東北,自由民主党,3,米内ひろまさ,,false,落,46.206,false,true,51
r06-10-27,東北,自由民主党,16,伊藤聡,,false,,,false,false,51
r06-10-27,東北,自由民主党,17,藤田誠,,false,,,false,false,51
r06-10-27,東北,自由民主党,18,小林文紀,,false,,,false,false,51
r06-10-27,東北,自由民主党,19,佐々木あすか,,false,,,false,false,51
r06-10-27,東北,公明党,1,庄子賢一,1,true,,,false,false,52
r06-10-27,東北,日本維新の会,1,松浦だいご,,false,落,29.584,false,true,52
r06-10-27,東北,参政党,1,山中泉,,false,,,false,false,52
r06-10-27,東北,立憲民主党,1,馬場ゆうき,1,true,,,false,false,52
r06-10-27,東北,公明党,2,小野寺泰明,,false,,,false,false,52
r06-10-27,東北,日本維新の会,1,早坂あつし,,false,落,26.606,false,true,52
r06-10-27,東北,立憲民主党,2,岡田はなこ,,false,当,100.000,false,true,52
r06-10-27,東北,公明党,3,佐々木伸和,,false,,,false,false,52
r06-10-27,東北,日本維新の会,1,高橋こうじ,,false,落,22.452,false,true,52
r06-10-27,東北,立憲民主党,2,しなたけし,,false,当,100.000,false,true,52
r06-10-27,東北,日本維新の会,1,さかいつねはる,,false,落,20.022,false,true,52
r06-10-27,東北,立憲民主党,2,小沢一郎,,false,当,100.000,false,true,52
r06-10-27,東北,日本維新の会,1,さとうゆういち,,false,落,,true,true,52
r06-10-27,東北,立憲民主党,2,岡本あき子,,false,当,100.000,false,true,52
r06-10-27,東北,日本維新の会,1,長坂じゅんや,,false,落,,true,true,52
r06-10-27,東北,立憲民主党,2,鎌田さゆり,,false,当,100.000,false,true,52
r06-10-27,東北,立憲民主党,2,柳沢つよし,,false,当,100.000,false,true,52
r06-10-27,東北,立憲民主党,2,安住淳,,false,当,100.000,false,true,52
r06-10-27,東北,立憲民主党,2,緑川たかし,,false,当,100.000,false,true,52
r06-10-27,東北,立憲民主党,2,かねこ恵美,,false,当,100.000,false,true,52
r06-10-27,東北,立憲民主党,2,げんば光一郎,,false,当,100.000,false,true,52
r06-10-27,東北,立憲民主党,2,おぐま慎司,,false,当,100.000,false,true,52
r06-10-27,東北,立憲民主党,2,寺田学,2,true,落,98.555,false,true,52
r06-10-27,東北,立憲民主党,2,ますた世喜男,3,true,落,93.373,false,true,52
r06-10-27,東北,立憲民主党,2,斎藤ゆうき,4,true,落,91.786,false,true,52
r06-10-27,東北,立憲民主党,2,原田まさひろ,,false,落,70.163,false,true,52
r06-10-27,東北,立憲民主党,2,石黒さとる,,false,落,67.194,false,true,52
r06-10-27,東北,立憲民主党,2,中村ゆきこ,,false,落,61.081,false,true,52
r06-10-27,東北,立憲民主党,2,小川のりよ,,false,落,26.557,false,true,52
r06-10-27,東北,立憲民主党,20,伊藤勢至,,false,,,false,false,52
r06-10-27,東北,立憲民主党,21,岸田清実,,false,,,false,false,52
r06-10-27,東北,れいわ新選組,1,にとうべとうま,,false,落,,true,true,53
r06-10-27,東北,れいわ新選組,1,大林まさひで,,false,落,,true,true,53
r06-10-27,東北,れいわ新選組,3,佐原若子,1,true,,,false,false,53
r06-10-27,北関東,日本共産党,1,塩川鉄也,1,true,,,false,false,54
r06-10-27,北関東,日本保守党,1,伊藤純子,,false,,,false,false,54
r06-10-27,北関東,自由民主党,1,はなし康弘,,false,当,100.000,false,true,54
r06-10-27,北関東,国民民主党,1,浅野さとし,,false,当,100.000,false,true,54
r06-10-27,北関東,日本共産党,2,梅村さえこ,,false,,,false,false,54
r06-10-27,北関東,日本保守党,2,野寺直美,,false,,,false,false,54
r06-10-27,北関東,自由民主党,1,梶山ひろし,,false,当,100.000,false,true,54
r06-10-27,北関東,国民民主党,1,鈴木よしひろ,,false,当,100.000,false,true,54
r06-10-27,北関東,日本共産党,3,高橋誠一郎,,false,落,,true,true,54
r06-10-27,北関東,日本保守党,3,五位野一法,,false,,,false,false,54
r06-10-27,北関東,自由民主党,1,船田はじめ,,false,当,100.000,false,true,54
r06-10-27,北関東,国民民主党,1,橋本みきひこ,,false,当,100.000,false,true,54
r06-10-27,北関東,日本保守党,4,宮入良明,,false,,,false,false,54
r06-10-27,北関東,自由民主党,1,茂木としみつ,,false,当,100.000,false,true,54
r06-10-27,北関東,国民民主党,1,岸田光広,1,true,落,64.204,false,true,54
r06-10-27,北関東,自由民主党,1,中曽根やすたか,,false,当,100.000,false,true,54
r06-10-27,北関東,自由民主党,1,いのとしろう,,false,当,100.000,false,true,54
r06-10-27,北関東,自由民主党,1,ささがわ博義,,false,当,100.000,false,true,54
r06-10-27,北関東,自由民主党,1,おぶち優子,,false,当,100.000,false,true,54
r06-10-27,北関東,自由民主党,1,村井ひでき,,false,当,100.000,false,true,54
r06-10-27,北関東,自由民主党,1,しんどう義孝,,false,当,100.000,false,true,54
r06-10-27,北関東,自由民主党,1,きかわだひとし,,false,当,100.000,false,true,54
r06-10-27,北関東,自由民主党,1,ほさかやすし,,false,当,100.000,false,true,54
