election_id,kind,prefecture,age_band,count,source_page
r06-10-27,winners,北海道,25歳～29歳,,24
r06-10-27,winners,北海道,30歳～34歳,,24
r06-10-27,winners,北海道,35歳～39歳,1,24
r06-10-27,winners,北海道,40歳～44歳,2,24
r06-10-27,winners,北海道,45歳～49歳,3,24
r06-10-27,winners,北海道,50歳～54歳,2,24
r06-10-27,winners,北海道,55歳～59歳,2,24
r06-10-27,winners,北海道,60歳～64歳,,24
r06-10-27,winners,北海道,65歳～69歳,2,24
r06-10-27,winners,北海道,70歳以上,,24
r06-10-27,winners,北海道,計,12,24
r06-10-27,winners,青森県,25歳～29歳,,24
r06-10-27,winners,青森県,30歳～34歳,,24
r06-10-27,winners,青森県,35歳～39歳,,24
r06-10-27,winners,青森県,40歳～44歳,1,24
r06-10-27,winners,青森県,45歳～49歳,,24
r06-10-27,winners,青森県,50歳～54歳,1,24
r06-10-27,winners,青森県,55歳～59歳,1,24
r06-10-27,winners,青森県,60歳～64歳,,24
r06-10-27,winners,青森県,65歳～69歳,,24
r06-10-27,winners,青森県,70歳以上,,24
r06-10-27,winners,青森県,計,3,24
r06-10-27,winners,岩手県,25歳～29歳,,24
r06-10-27,winners,岩手県,30歳～34歳,,24
r06-10-27,winners,岩手県,35歳～39歳,,24
r06-10-27,winners,岩手県,40歳～44歳,,24
r06-10-27,winners,岩手県,45歳～49歳,,24
r06-10-27,winners,岩手県,50歳～54歳,,24
r06-10-27,winners,岩手県,55歳～59歳,1,24
r06-10-27,winners,岩手県,60歳～64歳,,24
r06-10-27,winners,岩手県,65歳～69歳,,24
r06-10-27,winners,岩手県,70歳以上,2,24
r06-10-27,winners,岩手県,計,3,24
r06-10-27,winners,宮城県,25歳～29歳,,24
r06-10-27,winners,宮城県,30歳～34歳,,24
r06-10-27,winners,宮城県,35歳～39歳,,24
r06-10-27,winners,宮城県,40歳～44歳,,24
r06-10-27,winners,宮城県,45歳～49歳,,24
r06-10-27,winners,宮城県,50歳～54歳,,24
r06-10-27,winners,宮城県,55歳～59歳,1,24
r06-10-27,winners,宮城県,60歳～64歳,4,24
r06-10-27,winners,宮城県,65歳～69歳,,24
r06-10-27,winners,宮城県,70歳以上,,24
r06-10-27,winners,宮城県,計,5,24
r06-10-27,winners,秋田県,25歳～29歳,,24
r06-10-27,winners,秋田県,30歳～34歳,,24
r06-10-27,winners,秋田県,35歳～39歳,1,24
r06-10-27,winners,秋田県,40歳～44歳,,24
r06-10-27,winners,秋田県,45歳～49歳,,24
r06-10-27,winners,秋田県,50歳～54歳,,24
r06-10-27,winners,秋田県,55歳～59歳,,24
r06-10-27,winners,秋田県,60歳～64歳,1,24
r06-10-27,winners,秋田県,65歳～69歳,1,24
r06-10-27,winners,秋田県,70歳以上,,24
r06-10-27,winners,秋田県,計,3,24
r06-10-27,winners,山形県,25歳～29歳,,24
r06-10-27,winners,山形県,30歳～34歳,,24
r06-10-27,winners,山形県,35歳～39歳,,24
r06-10-27,winners,山形県,40歳～44歳,1,24
r06-10-27,winners,山形県,45歳～49歳,1,24
r06-10-27,winners,山形県,50歳～54歳,,24
r06-10-27,winners,山形県,55歳～59歳,,24
r06-10-27,winners,山形県,60歳～64歳,,24
r06-10-27,winners,山形県,65歳～69歳,,24
r06-10-27,winners,山形県,70歳以上,1,24
r06-10-27,winners,山形県,計,3,24
r06-10-27,winners,福島県,25歳～29歳,,24
