election_id,kind,prefecture,seats,party,new,incumbent,former,total,source_page
r06-10-27,winners,北海道,12,自由民主党,,3,,3,21
r06-10-27,winners,北海道,12,立憲民主党,,8,1,9,21
r06-10-27,winners,北海道,12,日本維新の会,,,,,21
r06-10-27,winners,北海道,12,公明党,,,,,21
r06-10-27,winners,北海道,12,日本共産党,,,,,21
r06-10-27,winners,北海道,12,国民民主党,,,,,21
r06-10-27,winners,北海道,12,れいわ新選組,,,,,21
r06-10-27,winners,北海道,12,社会民主党,,,,,21
r06-10-27,winners,青森県,3,自由民主党,,2,,2,21
r06-10-27,winners,青森県,3,立憲民主党,1,,,1,21
r06-10-27,winners,青森県,3,日本維新の会,,,,,21
r06-10-27,winners,青森県,3,公明党,,,,,21
r06-10-27,winners,青森県,3,日本共産党,,,,,21
r06-10-27,winners,青森県,3,国民民主党,,,,,21
r06-10-27,winners,青森県,3,れいわ新選組,,,,,21
r06-10-27,winners,青森県,3,社会民主党,,,,,21
r06-10-27,winners,岩手県,3,自由民主党,,1,,1,21
r06-10-27,winners,岩手県,3,立憲民主党,,2,,2,21
r06-10-27,winners,岩手県,3,日本維新の会,,,,,21
r06-10-27,winners,岩手県,3,公明党,,,,,21
r06-10-27,winners,岩手県,3,日本共産党,,,,,21
r06-10-27,winners,岩手県,3,国民民主党,,,,,21
r06-10-27,winners,岩手県,3,れいわ新選組,,,,,21
r06-10-27,winners,岩手県,3,社会民主党,,,,,21
r06-10-27,winners,宮城県,5,自由民主党,,1,,1,21
r06-10-27,winners,宮城県,5,立憲民主党,1,3,,4,21
r06-10-27,winners,宮城県,5,日本維新の会,,,,,21
r06-10-27,winners,宮城県,5,公明党,,,,,21
r06-10-27,winners,宮城県,5,日本共産党,,,,,21
r06-10-27,winners,宮城県,5,国民民主党,,,,,21
r06-10-27,winners,宮城県,5,れいわ新選組,,,,,21
r06-10-27,winners,宮城県,5,社会民主党,,,,,21
r06-10-27,winners,秋田県,3,自由民主党,,1,,1,21
r06-10-27,winners,秋田県,3,立憲民主党,,1,,1,21
r06-10-27,winners,秋田県,3,日本維新の会,,,,,21
r06-10-27,winners,秋田県,3,公明党,,,,,21
r06-10-27,winners,秋田県,3,日本共産党,,,,,21
r06-10-27,winners,秋田県,3,国民民主党,,,1,1,21
r06-10-27,winners,秋田県,3,れいわ新選組,,,,,21
r06-10-27,winners,秋田県,3,社会民主党,,,,,21
r06-10-27,winners,山形県,3,自由民主党,,3,,3,21
r06-10-27,winners,山形県,3,立憲民主党,,,,,21
r06-10-27,winners,山形県,3,日本維新の会,,,,,21
r06-10-27,winners,山形県,3,公明党,,,,,21
r06-10-27,winners,山形県,3,日本共産党,,,,,21
r06-10-27,winners,山形県,3,国民民主党,,,,,21
r06-10-27,winners,山形県,3,れいわ新選組,,,,,21
r06-10-27,winners,山形県,3,社会民主党,,,,,21
r06-10-27,winners,福島県,4,自由民主党,1,,,1,21
r06-10-27,winners,福島県,4,立憲民主党,,3,,3,21
r06-10-27,winners,福島県,4,日本維新の会,,,,,21
r06-10-27,winners,福島県,4,公明党,,,,,21
r06-10-27,winners,福島県,4,日本共産党,,,,,21
r06-10-27,winners,福島県,4,国民民主党,,,,,21
r06-10-27,winners,福島県,4,れいわ新選組,,,,,21
r06-10-27,winners,福島県,4,社会民主党,,,,,21
r06-10-27,winners,茨城県,7,自由民主党,,3,,3,21
