election_id,tier,block,prefecture,total_ballots,valid_votes,invalid_votes,invalid_rate_pct,source_page
r08-02-08,pr,北海道,北海道,2502973,2463323,39650,1.58,35
r08-02-08,pr,東北,青森県,501802,492138,9664,1.93,35
r08-02-08,pr,東北,岩手県,580861,569029,11832,2.04,35
r08-02-08,pr,東北,宮城県,1056364,1041830,14534,1.38,35
r08-02-08,pr,東北,秋田県,451430,442894,8536,1.89,35
r08-02-08,pr,東北,山形県,520463,510916,9547,1.83,35
r08-02-08,pr,東北,福島県,877031,860704,16327,1.86,35
r08-02-08,pr,東北,計,3987951,3917511,70440,1.77,35
r08-02-08,pr,北関東,茨城県,1239215,1218164,21051,1.70,35
r08-02-08,pr,北関東,栃木県,839332,823493,15839,1.89,35
r08-02-08,pr,北関東,群馬県,835344,822332,13012,1.56,35
r08-02-08,pr,北関東,埼玉県,3268409,3232102,36307,1.11,35
r08-02-08,pr,北関東,計,6182300,6096091,86209,1.39,35
r08-02-08,pr,南関東,千葉県,2819864,2793159,26705,0.95,35
r08-02-08,pr,南関東,神奈川県,4282729,4239710,43019,1.00,35
r08-02-08,pr,南関東,山梨県,390499,384594,5905,1.51,35
r08-02-08,pr,南関東,計,7493092,7417463,75629,1.01,35
r08-02-08,pr,東京都,東京都,6840219,6778416,61803,0.90,35
r08-02-08,pr,北陸信越,新潟県,1054343,1034260,20083,1.90,35
r08-02-08,pr,北陸信越,富山県,450577,440202,10375,2.30,35
r08-02-08,pr,北陸信越,石川県,515329,504235,11094,2.15,35
r08-02-08,pr,北陸信越,福井県,333272,327702,5570,1.67,35
r08-02-08,pr,北陸信越,長野県,1012342,990469,21873,2.16,35
r08-02-08,pr,北陸信越,計,3365863,3296868,68995,2.05,35
r08-02-08,pr,東海,岐阜県,928662,916341,12321,1.33,35
r08-02-08,pr,東海,静岡県,1740005,1714107,25898,1.49,35
r08-02-08,pr,東海,愛知県,3575861,3535330,40531,1.13,35
r08-02-08,pr,東海,三重県,824302,813578,10724,1.30,35
r08-02-08,pr,東海,計,7068830,6979356,89474,1.27,35
r08-02-08,pr,近畿,滋賀県,655010,648280,6730,1.03,35
r08-02-08,pr,近畿,京都府,1132429,1119154,13275,1.17,35
r08-02-08,pr,近畿,大阪府,4071538,4023115,48423,1.19,35
r08-02-08,pr,近畿,兵庫県,2495005,2466549,28456,1.14,35
r08-02-08,pr,近畿,奈良県,683385,674358,9027,1.32,35
r08-02-08,pr,近畿,和歌山県,424088,416219,7869,1.86,35
r08-02-08,pr,近畿,計,9461455,9347675,113780,1.20,35
r08-02-08,pr,中国,鳥取県,212322,207035,5287,2.49,35
r08-02-08,pr,中国,島根県,295697,290610,5087,1.72,35
r08-02-08,pr,中国,岡山県,816976,804502,12474,1.53,35
r08-02-08,pr,中国,広島県,1126520,1107320,19200,1.70,35
r08-02-08,pr,中国,山口県,608408,595334,13074,2.15,35
r08-02-08,pr,中国,計,3059923,3004801,55122,1.80,35
r08-02-08,pr,四国,徳島県,324314,316497,7817,2.41,35
r08-02-08,pr,四国,香川県,442654,434439,8215,1.86,35
r08-02-08,pr,四国,愛媛県,605752,593267,12485,2.06,35
r08-02-08,pr,四国,高知県,310365,300590,9775,3.15,35
r08-02-08,pr,四国,計,1683085,1644793,38292,2.28,35
r08-02-08,pr,九州,福岡県,2278943,2248185,30758,1.35,35
r08-02-08,pr,九州,佐賀県,385478,378617,6861,1.78,35
r08-02-08,pr,九州,長崎県,604124,592513,11611,1.92,35
r08-02-08,pr,九州,熊本県,801090,787714,13376,1.67,35
r08-02-08,pr,九州,大分県,535379,525121,10258,1.92,35
r08-02-08,pr,九州,宮崎県,462158,455856,6302,1.36,35
r08-02-08,pr,九州,鹿児島県,706480,697082,9398,1.33,35
r08-02-08,pr,九州,沖縄県,640370,628572,11798,1.84,35
r08-02-08,pr,九州,計,6414022,6313660,100362,1.56,35
r08-02-08,pr,,合計,58059713,57259957,799756,1.38,35
