election_id,kind,prefecture,seats,party,new,incumbent,former,total,source_page
r08-02-08,candidacy,北海道,12,自由民主党,3,5,4,12,6
r08-02-08,candidacy,北海道,12,中道改革連合,,12,,12,6
r08-02-08,candidacy,北海道,12,日本維新の会,1,,,1,6
r08-02-08,candidacy,北海道,12,国民民主党,,1,,1,6
r08-02-08,candidacy,北海道,12,参政党,6,,,6,6
r08-02-08,candidacy,北海道,12,日本共産党,6,,,6,6
r08-02-08,candidacy,北海道,12,れいわ新選組,,,,,6
r08-02-08,candidacy,青森県,3,自由民主党,,2,1,3,6
r08-02-08,candidacy,青森県,3,中道改革連合,1,2,,3,6
r08-02-08,candidacy,青森県,3,日本維新の会,,,,,6
r08-02-08,candidacy,青森県,3,国民民主党,1,,,1,6
r08-02-08,candidacy,青森県,3,参政党,1,,,1,6
r08-02-08,candidacy,青森県,3,日本共産党,2,,,2,6
r08-02-08,candidacy,青森県,3,れいわ新選組,,1,,1,6
r08-02-08,candidacy,岩手県,3,自由民主党,1,1,1,3,6
r08-02-08,candidacy,岩手県,3,中道改革連合,,2,,2,6
r08-02-08,candidacy,岩手県,3,日本維新の会,,,,,6
r08-02-08,candidacy,岩手県,3,国民民主党,1,,,1,6
r08-02-08,candidacy,岩手県,3,参政党,2,,,2,6
r08-02-08,candidacy,岩手県,3,日本共産党,1,,,1,6
r08-02-08,candidacy,岩手県,3,れいわ新選組,,,,,6
r08-02-08,candidacy,宮城県,5,自由民主党,1,2,2,5,6
r08-02-08,candidacy,宮城県,5,中道改革連合,1,4,,5,6
r08-02-08,candidacy,宮城県,5,日本維新の会,1,,1,2,6
r08-02-08,candidacy,宮城県,5,国民民主党,1,,,1,6
r08-02-08,candidacy,宮城県,5,参政党,4,,,4,6
r08-02-08,candidacy,宮城県,5,日本共産党,2,,,2,6
r08-02-08,candidacy,宮城県,5,れいわ新選組,,,,,6
r08-02-08,candidacy,秋田県,3,自由民主党,,3,,3,6
r08-02-08,candidacy,秋田県,3,中道改革連合,1,1,,2,6
r08-02-08,candidacy,秋田県,3,日本維新の会,1,,,1,6
r08-02-08,candidacy,秋田県,3,国民民主党,1,1,,2,6
r08-02-08,candidacy,秋田県,3,参政党,1,,,1,6
r08-02-08,candidacy,秋田県,3,日本共産党,1,,,1,6
r08-02-08,candidacy,秋田県,3,れいわ新選組,,,,,6
r08-02-08,candidacy,山形県,3,自由民主党,1,2,,3,6
r08-02-08,candidacy,山形県,3,中道改革連合,1,1,,2,6
r08-02-08,candidacy,山形県,3,日本維新の会,,,,,6
r08-02-08,candidacy,山形県,3,国民民主党,1,1,,2,6
r08-02-08,candidacy,山形県,3,参政党,2,,,2,6
r08-02-08,candidacy,山形県,3,日本共産党,1,,,1,6
r08-02-08,candidacy,山形県,3,れいわ新選組,,,,,6
r08-02-08,candidacy,福島県,4,自由民主党,1,2,1,4,6
r08-02-08,candidacy,福島県,4,中道改革連合,,4,,4,6
r08-02-08,candidacy,福島県,4,日本維新の会,,,,,6
r08-02-08,candidacy,福島県,4,国民民主党,1,,,1,6
r08-02-08,candidacy,福島県,4,参政党,1,,,1,6
r08-02-08,candidacy,福島県,4,日本共産党,2,,,2,6
r08-02-08,candidacy,福島県,4,れいわ新選組,,,,,6
r08-02-08,candidacy,茨城県,7,自由民主党,1,6,,7,6
r08-02-08,candidacy,茨城県,7,中道改革連合,2,,,2,6
r08-02-08,candidacy,茨城県,7,日本維新の会,,,,,6
r08-02-08,candidacy,茨城県,7,国民民主党,1,1,,2,6
r08-02-08,candidacy,茨城県,7,参政党,4,,,4,6
r08-02-08,candidacy,茨城県,7,日本共産党,3,,,3,6
r08-02-08,candidacy,茨城県,7,れいわ新選組,1,,,1,6
r08-02-08,candidacy,栃木県,5,自由民主党,1,4,,5,6
r08-02-08,candidacy,栃木県,5,中道改革連合,2,2,,4,6
r08-02-08,candidacy,栃木県,5,日本維新の会,,,1,1,6
r08-02-08,candidacy,栃木県,5,国民民主党,1,,,1,6
r08-02-08,candidacy,栃木県,5,参政党,4,,,4,6
r08-02-08,candidacy,栃木県,5,日本共産党,2,,,2,6
r08-02-08,candidacy,栃木県,5,れいわ新選組,,,,,6
r08-02-08,candidacy,群馬県,5,自由民主党,,5,,5,6
r08-02-08,candidacy,群馬県,5,中道改革連合,2,1,,3,6
r08-02-08,candidacy,群馬県,5,日本維新の会,,,,,6
r08-02-08,candidacy,群馬県,5,国民民主党,1,,,1,6
r08-02-08,candidacy,群馬県,5,参政党,3,,,3,6
r08-02-08,candidacy,群馬県,5,日本共産党,3,,,3,6
r08-02-08,candidacy,群馬県,5,れいわ新選組,,,,,6
r08-02-08,candidacy,埼玉県,16,自由民主党,3,10,3,16,6
r08-02-08,candidacy,埼玉県,16,中道改革連合,2,10,,12,6
r08-02-08,candidacy,埼玉県,16,日本維新の会,3,1,,4,6
r08-02-08,candidacy,埼玉県,16,国民民主党,2,3,,5,6
r08-02-08,candidacy,埼玉県,16,参政党,8,,,8,6
r08-02-08,candidacy,埼玉県,16,日本共産党,6,,,6,6
r08-02-08,candidacy,埼玉県,16,れいわ新選組,,1,,1,6
r08-02-08,candidacy,千葉県,14,自由民主党,4,8,2,14,6
r08-02-08,candidacy,千葉県,14,中道改革連合,1,11,,12,6
r08-02-08,candidacy,千葉県,14,日本維新の会,1,,1,2,6
r08-02-08,candidacy,千葉県,14,国民民主党,2,1,,3,6
r08-02-08,candidacy,千葉県,14,参政党,9,,,9,6
r08-02-08,candidacy,千葉県,14,日本共産党,8,,,8,6
r08-02-08,candidacy,千葉県,14,れいわ新選組,,,,,6
r08-02-08,candidacy,東京都,30,自由民主党,6,18,6,30,6
r08-02-08,candidacy,東京都,30,中道改革連合,5,18,1,24,6
r08-02-08,candidacy,東京都,30,日本維新の会,8,2,1,11,6
r08-02-08,candidacy,東京都,30,国民民主党,23,2,2,27,6
r08-02-08,candidacy,東京都,30,参政党,29,1,,30,6
r08-02-08,candidacy,東京都,30,日本共産党,12,,1,13,6
r08-02-08,candidacy,東京都,30,れいわ新選組,1,1,,2,6
r08-02-08,candidacy,神奈川県,20,自由民主党,7,13,,20,6
r08-02-08,candidacy,神奈川県,20,中道改革連合,2,14,,16,6
r08-02-08,candidacy,神奈川県,20,日本維新の会,4,1,1,6,6
r08-02-08,candidacy,神奈川県,20,国民民主党,4,2,,6,6
r08-02-08,candidacy,神奈川県,20,参政党,10,,,10,6
r08-02-08,candidacy,神奈川県,20,日本共産党,9,,,9,6
r08-02-08,candidacy,神奈川県,20,れいわ新選組,1,,,1,6
r08-02-08,candidacy,新潟県,5,自由民主党,1,2,2,5,6
r08-02-08,candidacy,新潟県,5,中道改革連合,,5,,5,6
r08-02-08,candidacy,新潟県,5,日本維新の会,2,,,2,6
r08-02-08,candidacy,新潟県,5,国民民主党,1,,,1,6
r08-02-08,candidacy,新潟県,5,参政党,5,,,5,6
r08-02-08,candidacy,新潟県,5,日本共産党,1,,,1,6
r08-02-08,candidacy,新潟県,5,れいわ新選組,,,,,6
r08-02-08,candidacy,富山県,3,自由民主党,,2,1,3,6
r08-02-08,candidacy,富山県,3,中道改革連合,1,1,,2,6
r08-02-08,candidacy,富山県,3,日本維新の会,,,,,6
r08-02-08,candidacy,富山県,3,国民民主党,1,,,1,6
r08-02-08,candidacy,富山県,3,参政党,2,,,2,6
r08-02-08,candidacy,富山県,3,日本共産党,2,,,2,6
r08-02-08,candidacy,富山県,3,れいわ新選組,,,,,6
