election_id,block,rank,party,votes,share_pct,is_total_row,source_page
r08-02-08,北海道,1,自由民主党,911742,37.01,false,36
r08-02-08,北海道,2,中道改革連合,605889,24.60,false,36
r08-02-08,北海道,3,国民民主党,218850,8.88,false,36
r08-02-08,北海道,4,参政党,163329,6.63,false,36
r08-02-08,北海道,5,チームみらい,134613,5.46,false,36
r08-02-08,北海道,6,日本共産党,134084,5.44,false,36
r08-02-08,北海道,7,日本維新の会,93966,3.81,false,36
r08-02-08,北海道,8,れいわ新選組,76099,3.09,false,36
r08-02-08,北海道,9,日本保守党,60119,2.44,false,36
r08-02-08,北海道,10,減税日本・ゆうこく連合,32878,1.33,false,36
r08-02-08,北海道,11,社会民主党,31754,1.29,false,36
r08-02-08,北海道,,__TOTAL__,2463323,100.00,true,36
r08-02-08,東北,1,自由民主党,1612576,41.16,false,37
r08-02-08,東北,2,中道改革連合,828883,21.16,false,37
r08-02-08,東北,3,国民民主党,389503,9.94,false,37
r08-02-08,東北,4,参政党,278410,7.11,false,37
r08-02-08,東北,5,チームみらい,234050,5.97,false,37
r08-02-08,東北,6,日本維新の会,165104,4.21,false,37
r08-02-08,東北,7,日本共産党,158466,4.05,false,37
r08-02-08,東北,8,れいわ新選組,121631,3.10,false,37
r08-02-08,東北,9,日本保守党,72889,1.86,false,37
r08-02-08,東北,10,社会民主党,55999,1.43,false,37
r08-02-08,東北,,__TOTAL__,3917511,100.00,true,37
r08-02-08,北関東,1,自由民主党,2256845,37.02,false,38
r08-02-08,北関東,2,中道改革連合,1174717,19.27,false,38
r08-02-08,北関東,3,国民民主党,626695,10.28,false,38
r08-02-08,北関東,4,参政党,506071,8.30,false,38
r08-02-08,北関東,5,チームみらい,467561,7.67,false,38
r08-02-08,北関東,6,日本維新の会,326128,5.35,false,38
r08-02-08,北関東,7,日本共産党,254497,4.17,false,38
r08-02-08,北関東,8,れいわ新選組,182261,2.99,false,38
r08-02-08,北関東,9,日本保守党,150809,2.47,false,38
r08-02-08,北関東,10,社会民主党,77406,1.27,false,38
r08-02-08,北関東,11,減税日本・ゆうこく連合,73101,1.20,false,38
r08-02-08,北関東,,__TOTAL__,6096091,100.00,true,38
r08-02-08,南関東,1,自由民主党,2637938,35.56,false,39
r08-02-08,南関東,2,中道改革連合,1424763,19.21,false,39
r08-02-08,南関東,3,国民民主党,788564,10.63,false,39
r08-02-08,南関東,4,チームみらい,682469,9.20,false,39
r08-02-08,南関東,5,参政党,531288,7.16,false,39
r08-02-08,南関東,6,日本維新の会,463287,6.25,false,39
r08-02-08,南関東,7,日本共産党,314224,4.24,false,39
r08-02-08,南関東,8,れいわ新選組,202655,2.73,false,39
r08-02-08,南関東,9,日本保守党,184802,2.49,false,39
r08-02-08,南関東,10,減税日本・ゆうこく連合,95646,1.29,false,39
