election_id,block,prefecture,party,votes,source_page
r08-02-08,北海道,北海道,自由民主党,911742,31
r08-02-08,北海道,北海道,中道改革連合,605889,31
r08-02-08,北海道,北海道,日本維新の会,93966,31
r08-02-08,北海道,北海道,国民民主党,218850,31
r08-02-08,北海道,北海道,参政党,163329,31
r08-02-08,北海道,北海道,日本共産党,134084,31
r08-02-08,東北,青森県,自由民主党,207510,31
r08-02-08,東北,青森県,中道改革連合,111047,31
r08-02-08,東北,青森県,日本維新の会,17605,31
r08-02-08,東北,青森県,国民民主党,41857,31
r08-02-08,東北,青森県,参政党,32441,31
r08-02-08,東北,青森県,日本共産党,21576,31
r08-02-08,東北,岩手県,自由民主党,218970,31
r08-02-08,東北,岩手県,中道改革連合,126468,31
r08-02-08,東北,岩手県,日本維新の会,21286,31
r08-02-08,東北,岩手県,国民民主党,56518,31
r08-02-08,東北,岩手県,参政党,41841,31
r08-02-08,東北,岩手県,日本共産党,27502,31
r08-02-08,東北,宮城県,自由民主党,407292,31
r08-02-08,東北,宮城県,中道改革連合,227663,31
r08-02-08,東北,宮城県,日本維新の会,50301,31
r08-02-08,東北,宮城県,国民民主党,86489,31
r08-02-08,東北,宮城県,参政党,84169,31
r08-02-08,東北,宮城県,日本共産党,41769,31
r08-02-08,東北,秋田県,自由民主党,196090,31
r08-02-08,東北,秋田県,中道改革連合,75552,31
r08-02-08,東北,秋田県,日本維新の会,24424,31
r08-02-08,東北,秋田県,国民民主党,65635,31
r08-02-08,東北,秋田県,参政党,23402,31
r08-02-08,東北,秋田県,日本共産党,15087,31
r08-02-08,東北,山形県,自由民主党,219233,31
r08-02-08,東北,山形県,中道改革連合,85374,31
r08-02-08,東北,山形県,日本維新の会,19816,31
r08-02-08,東北,山形県,国民民主党,71453,31
r08-02-08,東北,山形県,参政党,33992,31
r08-02-08,東北,山形県,日本共産党,17177,31
r08-02-08,東北,福島県,自由民主党,363481,31
r08-02-08,東北,福島県,中道改革連合,202779,31
r08-02-08,東北,福島県,日本維新の会,31672,31
r08-02-08,東北,福島県,国民民主党,67551,31
r08-02-08,東北,福島県,参政党,62565,31
r08-02-08,東北,福島県,日本共産党,35355,31
r08-02-08,東北,計,自由民主党,1612576,31
r08-02-08,東北,計,中道改革連合,828883,31
r08-02-08,東北,計,日本維新の会,165104,31
r08-02-08,東北,計,国民民主党,389503,31
r08-02-08,東北,計,参政党,278410,31
r08-02-08,東北,計,日本共産党,158466,31
r08-02-08,北関東,茨城県,自由民主党,496556,31
r08-02-08,北関東,茨城県,中道改革連合,225690,31
r08-02-08,北関東,茨城県,日本維新の会,65793,31
r08-02-08,北関東,茨城県,国民民主党,119899,31
r08-02-08,北関東,茨城県,参政党,101621,31
r08-02-08,北関東,茨城県,日本共産党,40387,31
r08-02-08,北関東,栃木県,自由民主党,336827,31
r08-02-08,北関東,栃木県,中道改革連合,155029,31
r08-02-08,北関東,栃木県,日本維新の会,44569,31
r08-02-08,北関東,栃木県,国民民主党,78988,31
r08-02-08,北関東,栃木県,参政党,70006,31
r08-02-08,北関東,栃木県,日本共産党,22434,31
r08-02-08,北関東,群馬県,自由民主党,316716,31
r08-02-08,北関東,群馬県,中道改革連合,153578,31
r08-02-08,北関東,群馬県,日本維新の会,37518,31
r08-02-08,北関東,群馬県,国民民主党,72305,31
r08-02-08,北関東,群馬県,参政党,84065,31
r08-02-08,北関東,群馬県,日本共産党,35707,31
r08-02-08,北関東,埼玉県,自由民主党,1106746,31
r08-02-08,北関東,埼玉県,中道改革連合,640420,31
r08-02-08,北関東,埼玉県,日本維新の会,178248,31
r08-02-08,北関東,埼玉県,国民民主党,355503,31
r08-02-08,北関東,埼玉県,参政党,250379,31
r08-02-08,北関東,埼玉県,日本共産党,155969,31
r08-02-08,北関東,計,自由民主党,2256845,31
r08-02-08,北関東,計,中道改革連合,1174717,31
r08-02-08,北関東,計,日本維新の会,326128,31
r08-02-08,北関東,計,国民民主党,626695,31
r08-02-08,北関東,計,参政党,506071,31
r08-02-08,北関東,計,日本共産党,254497,31
r08-02-08,南関東,千葉県,自由民主党,1032177,31
r08-02-08,南関東,千葉県,中道改革連合,565903,31
r08-02-08,南関東,千葉県,日本維新の会,145642,31
r08-02-08,南関東,千葉県,国民民主党,284514,31
r08-02-08,南関東,千葉県,参政党,205959,31
r08-02-08,南関東,千葉県,日本共産党,112123,31
r08-02-08,南関東,神奈川県,自由民主党,1449114,31
r08-02-08,南関東,神奈川県,中道改革連合,773316,31
r08-02-08,南関東,神奈川県,日本維新の会,301571,31
r08-02-08,南関東,神奈川県,国民民主党,473528,31
r08-02-08,南関東,神奈川県,参政党,296591,31
r08-02-08,南関東,神奈川県,日本共産党,187028,31
r08-02-08,南関東,山梨県,自由民主党,156647,31
r08-02-08,南関東,山梨県,中道改革連合,85544,31
r08-02-08,南関東,山梨県,日本維新の会,16074,31
r08-02-08,南関東,山梨県,国民民主党,30522,31
r08-02-08,南関東,山梨県,参政党,28738,31
r08-02-08,南関東,山梨県,日本共産党,15073,31
r08-02-08,南関東,計,自由民主党,2637938,31
r08-02-08,南関東,計,中道改革連合,1424763,31
r08-02-08,南関東,計,日本維新の会,463287,31
r08-02-08,南関東,計,国民民主党,788564,31
r08-02-08,南関東,計,参政党,531288,31
r08-02-08,南関東,計,日本共産党,314224,31
r08-02-08,東京都,東京都,自由民主党,2243625,31
r08-02-08,東京都,東京都,中道改革連合,1119155,31
r08-02-08,東京都,東京都,日本維新の会,384487,31
r08-02-08,東京都,東京都,国民民主党,746660,31
r08-02-08,東京都,東京都,参政党,427028,31
r08-02-08,東京都,東京都,日本共産党,407146,31
r08-02-08,北陸信越,新潟県,自由民主党,449769,31
r08-02-08,北陸信越,新潟県,中道改革連合,233757,31
r08-02-08,北陸信越,新潟県,日本維新の会,59620,31
r08-02-08,北陸信越,新潟県,国民民主党,87646,31
r08-02-08,北陸信越,新潟県,参政党,78539,31
r08-02-08,北陸信越,新潟県,日本共産党,38503,31
r08-02-08,北陸信越,富山県,自由民主党,200772,31
r08-02-08,北陸信越,富山県,中道改革連合,62844,31
r08-02-08,北陸信越,富山県,日本維新の会,37312,31
r08-02-08,北陸信越,富山県,国民民主党,50750,31
r08-02-08,北陸信越,富山県,参政党,39486,31
r08-02-08,北陸信越,富山県,日本共産党,13967,31
r08-02-08,北陸信越,石川県,自由民主党,225413,31
r08-02-08,北陸信越,石川県,中道改革連合,77185,31
r08-02-08,北陸信越,石川県,日本維新の会,43755,31
r08-02-08,北陸信越,石川県,国民民主党,54796,31
r08-02-08,北陸信越,石川県,参政党,48221,31
r08-02-08,北陸信越,石川県,日本共産党,15312,31
r08-02-08,北陸信越,福井県,自由民主党,149675,31
r08-02-08,北陸信越,福井県,中道改革連合,51062,31
r08-02-08,北陸信越,福井県,日本維新の会,24957,31
r08-02-08,北陸信越,福井県,国民民主党,32811,31
r08-02-08,北陸信越,福井県,参政党,39009,31
r08-02-08,北陸信越,福井県,日本共産党,7439,31
r08-02-08,北陸信越,長野県,自由民主党,362087,31
r08-02-08,北陸信越,長野県,中道改革連合,226483,31
r08-02-08,北陸信越,長野県,日本維新の会,66042,31
r08-02-08,北陸信越,長野県,国民民主党,96736,31
r08-02-08,北陸信越,長野県,参政党,80642,31
r08-02-08,北陸信越,長野県,日本共産党,65090,31
r08-02-08,北陸信越,計,自由民主党,1387716,31
r08-02-08,北陸信越,計,中道改革連合,651331,31
r08-02-08,北陸信越,計,日本維新の会,231686,31
r08-02-08,北陸信越,計,国民民主党,322739,31
r08-02-08,北陸信越,計,参政党,285897,31
r08-02-08,北陸信越,計,日本共産党,140311,31
r08-02-08,東海,岐阜県,自由民主党,375047,31
r08-02-08,東海,岐阜県,中道改革連合,158556,31
r08-02-08,東海,岐阜県,日本維新の会,49645,31
r08-02-08,東海,岐阜県,国民民主党,91137,31
r08-02-08,東海,岐阜県,参政党,75278,31
r08-02-08,東海,岐阜県,日本共産党,30150,31
r08-02-08,東海,静岡県,自由民主党,665801,31
r08-02-08,東海,静岡県,中道改革連合,288323,31
r08-02-08,東海,静岡県,日本維新の会,80430,31
r08-02-08,東海,静岡県,国民民主党,247894,31
r08-02-08,東海,静岡県,参政党,125151,31
r08-02-08,東海,静岡県,日本共産党,57911,31
r08-02-08,東海,愛知県,自由民主党,1271367,31
r08-02-08,東海,愛知県,中道改革連合,577412,31
r08-02-08,東海,愛知県,日本維新の会,222807,31
r08-02-08,東海,愛知県,国民民主党,430231,31
r08-02-08,東海,愛知県,参政党,261046,31
r08-02-08,東海,愛知県,日本共産党,128068,31
r08-02-08,東海,三重県,自由民主党,315793,31
r08-02-08,東海,三重県,中道改革連合,175289,31
r08-02-08,東海,三重県,日本維新の会,48082,31
r08-02-08,東海,三重県,国民民主党,66840,31
r08-02-08,東海,三重県,参政党,65816,31
r08-02-08,東海,三重県,日本共産党,25719,31
r08-02-08,東海,計,自由民主党,2628008,31
r08-02-08,東海,計,中道改革連合,1199580,31
r08-02-08,東海,計,日本維新の会,400964,31
r08-02-08,東海,計,国民民主党,836102,31
r08-02-08,東海,計,参政党,527291,31
r08-02-08,東海,計,日本共産党,241848,31
r08-02-08,近畿,滋賀県,自由民主党,236085,31
r08-02-08,近畿,滋賀県,中道改革連合,82538,31
r08-02-08,近畿,滋賀県,日本維新の会,101354,31
r08-02-08,近畿,滋賀県,国民民主党,57672,31
r08-02-08,近畿,滋賀県,参政党,47678,31
r08-02-08,近畿,滋賀県,日本共産党,31730,31
r08-02-08,近畿,京都府,自由民主党,361012,31
r08-02-08,近畿,京都府,中道改革連合,170309,31
r08-02-08,近畿,京都府,日本維新の会,167242,31
r08-02-08,近畿,京都府,国民民主党,83729,31
r08-02-08,近畿,京都府,参政党,72695,31
r08-02-08,近畿,京都府,日本共産党,102297,31
r08-02-08,近畿,大阪府,自由民主党,949883,31
r08-02-08,近畿,大阪府,中道改革連合,535117,31
r08-02-08,近畿,大阪府,日本維新の会,1301168,31
r08-02-08,近畿,大阪府,国民民主党,250773,31
r08-02-08,近畿,大阪府,参政党,270778,31
r08-02-08,近畿,大阪府,日本共産党,194218,31
r08-02-08,近畿,兵庫県,自由民主党,834997,31
r08-02-08,近畿,兵庫県,中道改革連合,396411,31
r08-02-08,近畿,兵庫県,日本維新の会,440016,31
r08-02-08,近畿,兵庫県,国民民主党,174564,31
r08-02-08,近畿,兵庫県,参政党,173131,31
r08-02-08,近畿,兵庫県,日本共産党,103389,31
r08-02-08,近畿,奈良県,自由民主党,294009,31
r08-02-08,近畿,奈良県,中道改革連合,84814,31
r08-02-08,近畿,奈良県,日本維新の会,102590,31
r08-02-08,近畿,奈良県,国民民主党,53521,31
r08-02-08,近畿,奈良県,参政党,35115,31
r08-02-08,近畿,奈良県,日本共産党,28304,31
r08-02-08,近畿,和歌山県,自由民主党,166890,31
r08-02-08,近畿,和歌山県,中道改革連合,63563,31
r08-02-08,近畿,和歌山県,日本維新の会,56265,31
r08-02-08,近畿,和歌山県,国民民主党,31526,31
r08-02-08,近畿,和歌山県,参政党,31782,31
r08-02-08,近畿,和歌山県,日本共産党,20250,31
r08-02-08,近畿,計,自由民主党,2842876,31
r08-02-08,近畿,計,中道改革連合,1332752,31
r08-02-08,近畿,計,日本維新の会,2168635,31
r08-02-08,近畿,計,国民民主党,651785,31
r08-02-08,近畿,計,参政党,631179,31
r08-02-08,近畿,計,日本共産党,480188,31
r08-02-08,中国,鳥取県,自由民主党,81949,31
r08-02-08,中国,鳥取県,中道改革連合,57993,31
r08-02-08,中国,鳥取県,日本維新の会,10703,31
r08-02-08,中国,鳥取県,国民民主党,16746,31
r08-02-08,中国,鳥取県,参政党,15882,31
r08-02-08,中国,鳥取県,日本共産党,8359,31
r08-02-08,中国,島根県,自由民主党,132042,31
r08-02-08,中国,島根県,中道改革連合,65288,31
r08-02-08,中国,島根県,日本維新の会,15239,31
r08-02-08,中国,島根県,国民民主党,22523,31
r08-02-08,中国,島根県,参政党,22359,31
r08-02-08,中国,島根県,日本共産党,12191,31
r08-02-08,中国,岡山県,自由民主党,358269,31
r08-02-08,中国,岡山県,中道改革連合,161741,31
r08-02-08,中国,岡山県,日本維新の会,54177,31
r08-02-08,中国,岡山県,国民民主党,69570,31
r08-02-08,中国,岡山県,参政党,66307,31
r08-02-08,中国,岡山県,日本共産党,32310,31
r08-02-08,中国,広島県,自由民主党,444534,31
r08-02-08,中国,広島県,中道改革連合,233067,31
r08-02-08,中国,広島県,日本維新の会,91918,31
r08-02-08,中国,広島県,国民民主党,114518,31
r08-02-08,中国,広島県,参政党,91137,31
r08-02-08,中国,広島県,日本共産党,38584,31
r08-02-08,中国,山口県,自由民主党,280284,31
r08-02-08,中国,山口県,中道改革連合,102122,31
r08-02-08,中国,山口県,日本維新の会,41391,31
r08-02-08,中国,山口県,国民民主党,49906,31
r08-02-08,中国,山口県,参政党,56351,31
r08-02-08,中国,山口県,日本共産党,18524,31
r08-02-08,中国,計,自由民主党,1297078,31
r08-02-08,中国,計,中道改革連合,620211,31
r08-02-08,中国,計,日本維新の会,213428,31
r08-02-08,中国,計,国民民主党,273263,31
r08-02-08,中国,計,参政党,252036,31
r08-02-08,中国,計,日本共産党,109968,31
r08-02-08,四国,徳島県,自由民主党,131576,31
r08-02-08,四国,徳島県,中道改革連合,56684,31
r08-02-08,四国,徳島県,日本維新の会,34527,31
r08-02-08,四国,徳島県,国民民主党,33528,31
r08-02-08,四国,徳島県,参政党,26558,31
r08-02-08,四国,徳島県,日本共産党,11868,31
r08-02-08,四国,香川県,自由民主党,171375,31
r08-02-08,四国,香川県,中道改革連合,65162,31
r08-02-08,四国,香川県,日本維新の会,29780,31
r08-02-08,四国,香川県,国民民主党,101373,31
r08-02-08,四国,香川県,参政党,28858,31
r08-02-08,四国,香川県,日本共産党,11864,31
r08-02-08,四国,愛媛県,自由民主党,265167,31
r08-02-08,四国,愛媛県,中道改革連合,117881,31
r08-02-08,四国,愛媛県,日本維新の会,40387,31
r08-02-08,四国,愛媛県,国民民主党,52501,31
r08-02-08,四国,愛媛県,参政党,57330,31
r08-02-08,四国,愛媛県,日本共産党,18887,31
r08-02-08,四国,高知県,自由民主党,123284,31
r08-02-08,四国,高知県,中道改革連合,60050,31
r08-02-08,四国,高知県,日本維新の会,16523,31
r08-02-08,四国,高知県,国民民主党,26259,31
r08-02-08,四国,高知県,参政党,25441,31
r08-02-08,四国,高知県,日本共産党,25705,31
r08-02-08,四国,計,自由民主党,691402,31
r08-02-08,四国,計,中道改革連合,299777,31
r08-02-08,四国,計,日本維新の会,121217,31
r08-02-08,四国,計,国民民主党,213661,31
r08-02-08,四国,計,参政党,138187,31
r08-02-08,四国,計,日本共産党,68324,31
r08-02-08,九州,福岡県,自由民主党,839679,31
r08-02-08,九州,福岡県,中道改革連合,416055,31
r08-02-08,九州,福岡県,日本維新の会,155488,31
r08-02-08,九州,福岡県,国民民主党,194931,31
r08-02-08,九州,福岡県,参政党,186404,31
r08-02-08,九州,福岡県,日本共産党,78039,31
r08-02-08,九州,佐賀県,自由民主党,162419,31
