election_id,prefecture,district_no,deposit_forfeit_point,source_page
r08-02-08,北海道,1,25824.200,102
r08-02-08,北海道,2,23874.400,102
r08-02-08,北海道,3,24603.600,102
r08-02-08,北海道,4,22322.800,102
r08-02-08,北海道,5,24907.300,102
r08-02-08,北海道,6,21620.800,102
r08-02-08,北海道,7,13592.400,102
r08-02-08,北海道,8,19575.500,103
r08-02-08,北海道,9,20408.900,103
r08-02-08,北海道,10,14979.500,103
r08-02-08,北海道,11,17158.300,103
r08-02-08,北海道,12,15711.900,103
r08-02-08,青森県,1,14159.800,103
r08-02-08,青森県,2,19156.000,103
r08-02-08,青森県,3,15972.100,103
r08-02-08,岩手県,1,16578.100,104
r08-02-08,岩手県,2,19100.500,104
r08-02-08,岩手県,3,21114.000,104
r08-02-08,宮城県,1,24474.800,104
r08-02-08,宮城県,2,24477.600,104
r08-02-08,宮城県,3,15298.100,104
r08-02-08,宮城県,4,21741.500,104
r08-02-08,宮城県,5,17848.300,105
r08-02-08,秋田県,1,14184.900,105
r08-02-08,秋田県,2,12801.800,105
r08-02-08,秋田県,3,17263.600,105
r08-02-08,山形県,1,17319.800,105
r08-02-08,山形県,2,18223.500,105
r08-02-08,山形県,3,15590.400,105
r08-02-08,福島県,1,22001.500,106
r08-02-08,福島県,2,24791.400,106
r08-02-08,福島県,3,18874.400,106
r08-02-08,福島県,4,20426.000,106
r08-02-08,茨城県,1,21044.200,106
r08-02-08,茨城県,2,13755.600,106
r08-02-08,茨城県,3,20126.200,106
r08-02-08,茨城県,4,12789.600,107
r08-02-08,茨城県,5,11657.900,107
r08-02-08,茨城県,6,24855.900,107
r08-02-08,茨城県,7,16163.000,107
r08-02-08,栃木県,1,21028.500,107
r08-02-08,栃木県,2,12863.700,107
r08-02-08,栃木県,3,13306.900,107
r08-02-08,栃木県,4,18643.200,108
r08-02-08,栃木県,5,16239.700,108
r08-02-08,群馬県,1,16760.200,108
r08-02-08,群馬県,2,15959.500,108
r08-02-08,群馬県,3,15648.700,108
r08-02-08,群馬県,4,15902.700,108
r08-02-08,群馬県,5,15654.300,108
r08-02-08,埼玉県,1,21742.600,109
r08-02-08,埼玉県,2,17999.200,109
r08-02-08,埼玉県,3,18456.600,109
r08-02-08,埼玉県,4,20846.700,109
r08-02-08,埼玉県,5,22140.600,109
r08-02-08,埼玉県,6,22215.500,109
r08-02-08,埼玉県,7,18790.300,109
r08-02-08,埼玉県,8,22628.200,110
r08-02-08,埼玉県,9,20386.700,110
r08-02-08,埼玉県,10,17333.200,110
r08-02-08,埼玉県,11,16632.600,110
r08-02-08,埼玉県,12,18348.500,110
r08-02-08,埼玉県,13,19314.900,110
r08-02-08,埼玉県,14,19042.300,110
r08-02-08,埼玉県,15,21853.200,110
r08-02-08,埼玉県,16,17591.800,111
r08-02-08,千葉県,1,23436.300,111
r08-02-08,千葉県,2,15998.700,111
r08-02-08,千葉県,3,16671.700,111
r08-02-08,千葉県,4,22045.900,111
r08-02-08,千葉県,5,23338.900,111
r08-02-08,千葉県,6,22160.500,112
r08-02-08,千葉県,7,15678.600,112
r08-02-08,千葉県,8,19422.200,112
r08-02-08,千葉県,9,20164.800,112
r08-02-08,千葉県,10,15611.500,112
r08-02-08,千葉県,11,16718.700,112
r08-02-08,千葉県,12,18186.800,112
r08-02-08,千葉県,13,22612.800,113
r08-02-08,千葉県,14,22081.300,113
r08-02-08,東京都,1,19216.600,113
r08-02-08,東京都,2,19570.200,113
r08-02-08,東京都,3,21849.500,113
r08-02-08,東京都,4,23090.800,113
r08-02-08,東京都,5,22808.000,114
r08-02-08,東京都,6,23864.900,114
r08-02-08,東京都,7,23332.400,114
r08-02-08,東京都,8,24391.100,114
r08-02-08,東京都,9,18341.000,114
r08-02-08,東京都,10,25695.800,115
r08-02-08,東京都,11,21938.500,115
r08-02-08,東京都,12,22485.700,115
r08-02-08,東京都,13,20321.200,115
r08-02-08,東京都,14,21878.300,115
r08-02-08,東京都,15,25768.600,116
r08-02-08,東京都,16,20808.500,116
r08-02-08,東京都,17,20242.700,116
r08-02-08,東京都,18,24605.300,116
r08-02-08,東京都,19,20430.700,116
r08-02-08,東京都,20,22447.000,117
r08-02-08,東京都,21,22882.000,117
r08-02-08,東京都,22,25788.000,117
r08-02-08,東京都,23,20351.600,117
r08-02-08,東京都,24,20896.800,117
r08-02-08,東京都,25,21712.800,117
r08-02-08,東京都,26,26619.600,118
r08-02-08,東京都,27,22346.800,118
r08-02-08,東京都,28,18842.300,118
r08-02-08,東京都,29,19473.600,118
r08-02-08,東京都,30,24462.500,118
r08-02-08,神奈川県,1,22946.200,119
r08-02-08,神奈川県,2,23555.800,119
r08-02-08,神奈川県,3,23983.600,119
r08-02-08,神奈川県,4,19754.800,119
r08-02-08,神奈川県,5,20063.100,119
r08-02-08,神奈川県,6,19892.300,119
r08-02-08,神奈川県,7,17298.800,119
r08-02-08,神奈川県,8,23838.800,120
r08-02-08,神奈川県,9,18774.100,120
r08-02-08,神奈川県,10,16621.600,120
r08-02-08,神奈川県,11,18751.900,120
r08-02-08,神奈川県,12,21943.500,120
r08-02-08,神奈川県,13,19623.300,120
r08-02-08,神奈川県,14,20641.100,120
r08-02-08,神奈川県,15,22640.400,121
r08-02-08,神奈川県,16,20044.800,121
r08-02-08,神奈川県,17,22105.100,121
r08-02-08,神奈川県,18,23655.500,121
r08-02-08,神奈川県,19,20521.500,121
r08-02-08,神奈川県,20,18426.500,121
r08-02-08,新潟県,1,19790.300,121
r08-02-08,新潟県,2,22827.900,122
r08-02-08,新潟県,3,21232.100,122
r08-02-08,新潟県,4,20002.900,122
r08-02-08,新潟県,5,19999.400,122
r08-02-08,富山県,1,12913.500,122
r08-02-08,富山県,2,11894.300,122
r08-02-08,富山県,3,19261.300,122
r08-02-08,石川県,1,18613.700,123
r08-02-08,石川県,2,16728.400,123
r08-02-08,石川県,3,14077.800,123
