election_id,tier,scope,block,prefecture,rate_male,rate_female,rate_total,prev_rate_male,prev_rate_female,prev_rate_total,diff_male,diff_female,diff_total,source_page
r08-02-08,smd,all,,北海道,59.16,56.84,57.93,56.98,55.43,56.15,2.18,1.41,1.78,11
r08-02-08,smd,all,,青森県,51.31,47.59,49.34,52.67,50.68,51.61,-1.36,-3.09,-2.27,11
r08-02-08,smd,all,,岩手県,60.34,57.88,59.06,56.50,54.68,55.55,3.84,3.20,3.51,11
r08-02-08,smd,all,,宮城県,57.15,55.08,56.08,52.84,51.53,52.16,4.31,3.55,3.92,11
r08-02-08,smd,all,,秋田県,59.23,55.74,57.38,60.62,58.40,59.44,-1.39,-2.66,-2.06,11
r08-02-08,smd,all,,山形県,62.36,59.31,60.78,62.06,59.68,60.82,0.30,-0.37,-0.04,11
r08-02-08,smd,all,,福島県,59.16,57.90,58.51,54.39,53.49,53.93,4.77,4.41,4.58,11
r08-02-08,smd,all,,茨城県,53.71,51.57,52.64,52.92,51.98,52.45,0.79,-0.41,0.19,11
r08-02-08,smd,all,,栃木県,54.21,51.80,53.00,51.14,49.35,50.24,3.07,2.45,2.76,11
r08-02-08,smd,all,,群馬県,54.48,52.31,53.38,50.65,49.22,49.92,3.83,3.09,3.46,11
r08-02-08,smd,all,,埼玉県,54.53,52.34,53.42,51.83,50.47,51.14,2.70,1.87,2.28,11
r08-02-08,smd,all,,千葉県,54.66,52.97,53.80,52.43,51.85,52.14,2.23,1.12,1.66,11
r08-02-08,smd,all,,東京都,59.79,58.56,59.16,56.28,55.85,56.06,3.51,2.71,3.10,11
r08-02-08,smd,all,,神奈川県,56.63,54.69,55.65,54.75,54.32,54.53,1.88,0.37,1.12,11
r08-02-08,smd,all,,新潟県,60.94,56.96,58.88,60.08,57.14,58.56,0.86,-0.18,0.32,11
r08-02-08,smd,all,,富山県,55.31,51.32,53.25,55.66,53.78,54.69,-0.35,-2.46,-1.44,11
r08-02-08,smd,all,,石川県,57.34,55.27,56.26,55.81,54.44,55.09,1.53,0.83,1.17,11
r08-02-08,smd,all,,福井県,55.39,53.25,54.29,58.32,56.52,57.39,-2.93,-3.27,-3.10,11
r08-02-08,smd,all,,山梨県,59.22,57.85,58.52,56.93,56.61,56.76,2.29,1.24,1.76,11
r08-02-08,smd,all,,長野県,61.72,58.99,60.32,58.33,56.15,57.21,3.39,2.84,3.11,11
r08-02-08,smd,all,,岐阜県,59.47,56.91,58.15,56.25,54.58,55.39,3.22,2.33,2.76,11
r08-02-08,smd,all,,静岡県,59.59,58.24,58.91,55.90,55.29,55.59,3.69,2.95,3.32,11
r08-02-08,smd,all,,愛知県,60.09,57.85,58.96,55.39,53.61,54.50,4.70,4.24,4.46,11
r08-02-08,smd,all,,三重県,58.65,57.05,57.82,56.50,55.94,56.21,2.15,1.11,1.61,11
r08-02-08,smd,all,,滋賀県,58.24,56.36,57.28,55.67,54.23,54.93,2.57,2.13,2.35,11
r08-02-08,smd,all,,京都府,56.66,54.13,55.32,54.07,52.28,53.12,2.59,1.85,2.20,11
r08-02-08,smd,all,,大阪府,56.16,56.26,56.21,52.40,52.80,52.61,3.76,3.46,3.60,11
