election_id,kind,section,status,party,male,female,total,dual_male,dual_female,dual_total,source_page
r08-02-08,winners,smd,新,自由民主党,34,6,40,,,,17
r08-02-08,winners,smd,新,中道改革連合,,,,,,,17
r08-02-08,winners,smd,新,日本維新の会,1,,1,,,,17
r08-02-08,winners,smd,新,国民民主党,,,,,,,17
r08-02-08,winners,smd,新,参政党,,,,,,,17
r08-02-08,winners,smd,新,日本共産党,,,,,,,17
r08-02-08,winners,smd,前,自由民主党,159,17,176,,,,17
r08-02-08,winners,smd,前,中道改革連合,7,,7,,,,17
r08-02-08,winners,smd,前,日本維新の会,19,,19,,,,17
r08-02-08,winners,smd,前,国民民主党,5,3,8,,,,17
r08-02-08,winners,smd,前,参政党,,,,,,,17
r08-02-08,winners,smd,前,日本共産党,,,,,,,17
r08-02-08,winners,smd,元,自由民主党,30,2,32,,,,17
r08-02-08,winners,smd,元,中道改革連合,,,,,,,17
r08-02-08,winners,smd,元,日本維新の会,,,,,,,17
r08-02-08,winners,smd,元,国民民主党,,,,,,,17
r08-02-08,winners,smd,元,参政党,,,,,,,17
r08-02-08,winners,smd,元,日本共産党,,,,,,,17
r08-02-08,winners,smd,計,自由民主党,223,25,248,,,,17
r08-02-08,winners,smd,計,中道改革連合,7,,7,,,,17
r08-02-08,winners,smd,計,日本維新の会,20,,20,,,,17
r08-02-08,winners,smd,計,国民民主党,5,3,8,,,,17
r08-02-08,winners,smd,計,参政党,,,,,,,17
r08-02-08,winners,smd,計,日本共産党,,,,,,,17
r08-02-08,winners,pr,新,自由民主党,17,9,26,,,,17
r08-02-08,winners,pr,新,中道改革連合,3,1,4,,,,17
r08-02-08,winners,pr,新,日本維新の会,4,,4,,,,17
r08-02-08,winners,pr,新,国民民主党,4,3,7,,,,17
r08-02-08,winners,pr,新,参政党,7,6,13,,,,17
r08-02-08,winners,pr,新,日本共産党,,,,,,,17
r08-02-08,winners,pr,前,自由民主党,16,2,18,,,,17
r08-02-08,winners,pr,前,中道改革連合,28,7,35,,,,17
r08-02-08,winners,pr,前,日本維新の会,7,1,8,,,,17
r08-02-08,winners,pr,前,国民民主党,11,1,12,,,,17
r08-02-08,winners,pr,前,参政党,,1,1,,,,17
r08-02-08,winners,pr,前,日本共産党,2,1,3,,,,17
r08-02-08,winners,pr,元,自由民主党,20,3,23,,,,17
r08-02-08,winners,pr,元,中道改革連合,3,,3,,,,17
r08-02-08,winners,pr,元,日本維新の会,4,,4,,,,17
r08-02-08,winners,pr,元,国民民主党,,1,1,,,,17
r08-02-08,winners,pr,元,参政党,,1,1,,,,17
r08-02-08,winners,pr,元,日本共産党,,1,1,,,,17
r08-02-08,winners,pr,計,自由民主党,53,14,67,,,,17
r08-02-08,winners,pr,計,中道改革連合,34,8,42,,,,17
r08-02-08,winners,pr,計,日本維新の会,15,1,16,,,,17
r08-02-08,winners,pr,計,国民民主党,15,5,20,,,,17
r08-02-08,winners,pr,計,参政党,7,8,15,,,,17
r08-02-08,winners,pr,計,日本共産党,2,2,4,,,,17
r08-02-08,winners,total,新,自由民主党,51,15,66,,,,17
r08-02-08,winners,total,新,中道改革連合,3,1,4,,,,17
r08-02-08,winners,total,新,日本維新の会,5,,5,,,,17
r08-02-08,winners,total,新,国民民主党,4,3,7,,,,17
r08-02-08,winners,total,新,参政党,7,6,13,,,,17
r08-02-08,winners,total,新,日本共産党,,,,,,,17
r08-02-08,winners,total,前,自由民主党,175,19,194,,,,17
r08-02-08,winners,total,前,中道改革連合,35,7,42,,,,17
r08-02-08,winners,total,前,日本維新の会,26,1,27,,,,17
r08-02-08,winners,total,前,国民民主党,16,4,20,,,,17
r08-02-08,winners,total,前,参政党,,1,1,,,,17
r08-02-08,winners,total,前,日本共産党,2,1,3,,,,17
r08-02-08,winners,total,元,自由民主党,50,5,55,,,,17
r08-02-08,winners,total,元,中道改革連合,3,,3,,,,17
r08-02-08,winners,total,元,日本維新の会,4,,4,,,,17
r08-02-08,winners,total,元,国民民主党,,1,1,,,,17
r08-02-08,winners,total,元,参政党,,1,1,,,,17
r08-02-08,winners,total,元,日本共産党,,1,1,,,,17
r08-02-08,winners,total,計,自由民主党,276,39,315,,,,17
r08-02-08,winners,total,計,中道改革連合,41,8,49,,,,17
r08-02-08,winners,total,計,日本維新の会,35,1,36,,,,17
r08-02-08,winners,total,計,国民民主党,20,8,28,,,,17
r08-02-08,winners,total,計,参政党,7,8,15,,,,17
r08-02-08,winners,total,計,日本共産党,2,2,4,,,,17
r08-02-08,winners,smd,新,れいわ新選組,,,,,,,18
r08-02-08,winners,smd,新,減税日本・ゆうこく連合,,,,,,,18
r08-02-08,winners,smd,新,日本保守党,,,,,,,18
r08-02-08,winners,smd,新,社会民主党,,,,,,,18
r08-02-08,winners,smd,新,チームみらい,,,,,,,18
r08-02-08,winners,smd,新,安楽死制度を考える会,,,,,,,18
r08-02-08,winners,smd,前,れいわ新選組,,,,,,,18
r08-02-08,winners,smd,前,減税日本・ゆうこく連合,1,,1,,,,18
r08-02-08,winners,smd,前,日本保守党,,,,,,,18
r08-02-08,winners,smd,前,社会民主党,,,,,,,18
r08-02-08,winners,smd,前,チームみらい,,,,,,,18
r08-02-08,winners,smd,前,安楽死制度を考える会,,,,,,,18
r08-02-08,winners,smd,元,れいわ新選組,,,,,,,18
